,swi,tango,tango_aggregation_positions,net_charge,pI,iupred3,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap,scm_positive,scm_negative,rg
swi,1.0,-0.07614022722381465,-0.2376152995866674,-0.15144425875142922,-0.06764680341895277,0.4934680554749418,0.2631250667858808,-0.19477671599803928,-0.10387075900208921,-0.14424302374445097,-0.20527057850265376,0.25181866570578787,-0.34336468324216,0.06897253805873306
tango,-0.07614022722381465,1.0,0.30077671936617484,-0.14007310597652517,-0.018592788125108006,-0.03107572830715971,0.004187141938919925,0.18145714133850732,0.4464919623613988,0.3092467341687783,0.3631687865220461,0.446410063125523,-0.4240495830710322,0.5699532088406513
tango_aggregation_positions,-0.2376152995866674,0.30077671936617484,1.0,0.005333370224064191,0.03956511152269702,-0.3106719594811182,-0.11896584783772507,-0.036106110118900754,0.4284211753651511,0.37302887642278604,0.5397987877253286,0.0750180762711758,-0.061825280779385636,0.20257935864245258
net_charge,-0.15144425875142922,-0.14007310597652517,0.005333370224064191,1.0,0.85516991870678,-0.2128112947977947,-0.1868761253322851,0.13212994642934822,-0.09957685839368549,-0.04338593431744365,-0.04233093333219356,0.32659199265177646,0.5237855779721571,-0.08452832677329333
pI,-0.06764680341895277,-0.018592788125108006,0.03956511152269702,0.85516991870678,1.0,-0.13833712569231155,-0.1157523022667199,0.20756605943574064,-0.03171712814599929,-0.011511958160120902,-0.004103327109452837,0.43910820859510136,0.2989295367991654,0.01919915259078824
iupred3,0.4934680554749418,-0.03107572830715971,-0.3106719594811182,-0.2128112947977947,-0.13833712569231155,1.0,0.7413349189163517,-0.2547161192922207,-0.10485960416452002,-0.1312192109345015,-0.12841196814240197,0.0371074159322964,-0.18247056398195874,0.10706518052823116
iupred3_fraction_disordered,0.2631250667858808,0.004187141938919925,-0.11896584783772507,-0.1868761253322851,-0.1157523022667199,0.7413349189163517,1.0,-0.17202019185585365,0.017127923939941746,0.0023727938471621297,0.025279965420440715,-0.01976574917116935,-0.12257225255767591,0.12940086279630722
shannon_entropy,-0.19477671599803928,0.18145714133850732,-0.036106110118900754,0.13212994642934822,0.20756605943574064,-0.2547161192922207,-0.17202019185585365,1.0,0.11531282322516495,0.12121473918666313,0.05016712511225572,0.25463401514880213,-0.13690030842238696,0.08415320287255522
hydrophobic_patch_total_area,-0.10387075900208921,0.4464919623613988,0.4284211753651511,-0.09957685839368549,-0.03171712814599929,-0.10485960416452002,0.017127923939941746,0.11531282322516495,1.0,0.9079810396068254,0.9012060930871177,0.3079070411426925,-0.35863476425632584,0.6323436104133495
hydrophobic_patch_n_large,-0.14424302374445097,0.3092467341687783,0.37302887642278604,-0.04338593431744365,-0.011511958160120902,-0.1312192109345015,0.0023727938471621297,0.12121473918666313,0.9079810396068254,1.0,0.8370789269052186,0.18151488582180392,-0.20649733874910134,0.5160847569526511
sap,-0.20527057850265376,0.3631687865220461,0.5397987877253286,-0.04233093333219356,-0.004103327109452837,-0.12841196814240197,0.025279965420440715,0.05016712511225572,0.9012060930871177,0.8370789269052186,1.0,0.15975665865852792,-0.18577635431737133,0.47699010091330113
scm_positive,0.25181866570578787,0.446410063125523,0.0750180762711758,0.32659199265177646,0.43910820859510136,0.0371074159322964,-0.01976574917116935,0.25463401514880213,0.3079070411426925,0.18151488582180392,0.15975665865852792,1.0,-0.5178272916780113,0.5104026721594253
scm_negative,-0.34336468324216,-0.4240495830710322,-0.061825280779385636,0.5237855779721571,0.2989295367991654,-0.18247056398195874,-0.12257225255767591,-0.13690030842238696,-0.35863476425632584,-0.20649733874910134,-0.18577635431737133,-0.5178272916780113,1.0,-0.5052921804304161
rg,0.06897253805873306,0.5699532088406513,0.20257935864245258,-0.08452832677329333,0.01919915259078824,0.10706518052823116,0.12940086279630722,0.08415320287255522,0.6323436104133495,0.5160847569526511,0.47699010091330113,0.5104026721594253,-0.5052921804304161,1.0
