probe,n_params,fold,epoch,train_loss,r2_mean,elapsed_s,r2_swi,r2_tango,r2_net_charge,r2_pI,r2_iupred3,r2_iupred3_fraction_disordered,r2_shannon_entropy,r2_hydrophobic_patch_total_area,r2_hydrophobic_patch_n_large,r2_sap,r2_scm_positive,r2_scm_negative,r2_rg
linear,117,0,0,0.9418116293428059,0.09956645507078904,3.9024839401245117,0.0886043906211853,0.05666208267211914,0.09479749202728271,0.11425167322158813,0.18392246961593628,0.08168643712997437,0.294126033782959,0.0285261869430542,0.0175398588180542,0.02044731378555298,0.1730460524559021,0.12824678421020508,0.012507140636444092
linear,117,0,1,0.8720655917034179,0.1344833098925077,2.875598192214966,0.11781167984008789,0.07891333103179932,0.1361953616142273,0.15115922689437866,0.24685972929000854,0.11206316947937012,0.39076387882232666,0.036920368671417236,0.02580583095550537,0.03292989730834961,0.23635482788085938,0.16731864213943481,0.015187084674835205
linear,117,0,2,0.8470767165440402,0.14877296869571394,2.6890223026275635,0.12908905744552612,0.08679038286209106,0.15294581651687622,0.1662386655807495,0.27826982736587524,0.1277194619178772,0.4255024194717407,0.041041553020477295,0.02963852882385254,0.0394248366355896,0.26046431064605713,0.18131226301193237,0.015611469745635986
linear,117,0,3,0.8365156015973542,0.1552381423803476,2.8516299724578857,0.13327378034591675,0.09067916870117188,0.15885645151138306,0.17225724458694458,0.29545289278030396,0.1350589394569397,0.440302312374115,0.04261672496795654,0.03229576349258423,0.04306381940841675,0.2721153497695923,0.18654167652130127,0.015581727027893066
linear,117,0,4,0.8311247065202477,0.15915007774646467,2.5915186405181885,0.13530635833740234,0.09274929761886597,0.16400176286697388,0.17934012413024902,0.30449795722961426,0.14023911952972412,0.44768738746643066,0.04450714588165283,0.0339888334274292,0.045613110065460205,0.27650076150894165,0.18934005498886108,0.015179097652435303
linear,117,0,5,0.8285631959065854,0.16080331802368164,2.683993339538574,0.13559621572494507,0.09416741132736206,0.1651226282119751,0.18024474382400513,0.3097224235534668,0.1428607702255249,0.4515920877456665,0.04505777359008789,0.03506112098693848,0.046728670597076416,0.2795218825340271,0.19035744667053223,0.014409959316253662
linear,117,0,6,0.827007457034915,0.1620543278180636,3.0982446670532227,0.13700413703918457,0.09573149681091309,0.165485680103302,0.1817963719367981,0.31146347522735596,0.14408671855926514,0.45329880714416504,0.04597562551498413,0.03558957576751709,0.047673702239990234,0.2806364893913269,0.19194793701171875,0.016016244888305664
linear,117,0,7,0.8260602943486963,0.16297470147793108,3.0870585441589355,0.13667112588882446,0.09591531753540039,0.16704082489013672,0.18356770277023315,0.31543833017349243,0.1458459496498108,0.45467597246170044,0.04626983404159546,0.035876452922821045,0.047669053077697754,0.28139954805374146,0.19244354963302612,0.015857458114624023
linear,117,0,8,0.8256186428852822,0.16312656035790077,2.881812810897827,0.1374732255935669,0.0958370566368103,0.16802000999450684,0.1843460202217102,0.31370794773101807,0.14535421133041382,0.4558902382850647,0.04655855894088745,0.03652489185333252,0.04847574234008789,0.2808627486228943,0.19196081161499023,0.015633821487426758
linear,117,0,9,0.8248489387185681,0.1619579975421612,2.750612497329712,0.13654053211212158,0.09572845697402954,0.1682080626487732,0.1843985915184021,0.3169037103652954,0.14208447933197021,0.45650267601013184,0.04223513603210449,0.031874239444732666,0.04620516300201416,0.2804880142211914,0.1910538673400879,0.013231039047241211
linear,117,0,10,0.8249696699590744,0.16386935802606437,2.9584317207336426,0.13733363151550293,0.09646785259246826,0.16837728023529053,0.18491363525390625,0.3173414468765259,0.14688926935195923,0.45606768131256104,0.046937644481658936,0.03657722473144531,0.048835694789886475,0.2818604111671448,0.1929638385772705,0.015736043453216553
linear,117,0,11,0.8246966054829976,0.16349374330960786,2.8914437294006348,0.1366444230079651,0.09663718938827515,0.16711735725402832,0.18270772695541382,0.3182995319366455,0.14670628309249878,0.4563710689544678,0.04595237970352173,0.03665989637374878,0.04849308729171753,0.28151750564575195,0.19293731451034546,0.015374898910522461
linear,117,0,12,0.8248626092518255,0.16400936475166908,3.052004337310791,0.13745170831680298,0.09607583284378052,0.1683950424194336,0.18512487411499023,0.3182961940765381,0.14696449041366577,0.456787645816803,0.04701966047286987,0.037049174308776855,0.04893392324447632,0.28156131505966187,0.19282466173171997,0.015637218952178955
linear,117,0,13,0.8251112463288038,0.16377381178048941,3.055446147918701,0.13719195127487183,0.09634566307067871,0.16797059774398804,0.18469876050949097,0.3183947801589966,0.1469082236289978,0.4558980464935303,0.046534180641174316,0.036196768283843994,0.04884028434753418,0.28139829635620117,0.19294381141662598,0.015738189220428467
linear,117,0,14,0.824482312273828,0.1638918289771447,2.9537746906280518,0.13753879070281982,0.09606683254241943,0.168265700340271,0.18535125255584717,0.31656283140182495,0.1468304991722107,0.457460880279541,0.046643733978271484,0.03660839796066284,0.0483054518699646,0.28235793113708496,0.19274383783340454,0.01585763692855835
linear,117,0,15,0.8244587620343602,0.1633377350293673,2.8315234184265137,0.13723671436309814,0.09392589330673218,0.1685047745704651,0.1853877305984497,0.3188698887825012,0.147136390209198,0.45664310455322266,0.046165406703948975,0.03677535057067871,0.04763376712799072,0.2801274061203003,0.1914575695991516,0.013526558876037598
linear,117,0,16,0.8244113786697009,0.16378948780206534,2.7156128883361816,0.13765627145767212,0.09498834609985352,0.1684308648109436,0.1851176619529724,0.31836801767349243,0.14706319570541382,0.45643073320388794,0.04706627130508423,0.03706091642379761,0.04892683029174805,0.28004157543182373,0.19224286079406738,0.01586979627609253
mlp_h32_L1,717,0,0,0.8864063586889043,0.15688335437041062,2.991612195968628,0.13700348138809204,0.08931076526641846,0.15997833013534546,0.1805667281150818,0.3286285996437073,0.14313888549804688,0.46196067333221436,0.03141146898269653,0.02728968858718872,0.03418391942977905,0.2688753604888916,0.17066699266433716,0.006468713283538818
mlp_h32_L1,717,0,1,0.8251822664565647,0.1747599610915551,3.121175765991211,0.13908010721206665,0.09599095582962036,0.1759764552116394,0.19869941473007202,0.3379533290863037,0.14676004648208618,0.5155843496322632,0.05218374729156494,0.04448962211608887,0.058378398418426514,0.2936705946922302,0.19776582717895508,0.015346646308898926
mlp_h32_L1,717,0,2,0.8154525528650828,0.18223994511824387,3.3631198406219482,0.13854891061782837,0.09780919551849365,0.1871201992034912,0.20872151851654053,0.3437155485153198,0.14857369661331177,0.5479356050491333,0.05910813808441162,0.054586172103881836,0.06704342365264893,0.2978564500808716,0.20379793643951416,0.014302492141723633
mlp_h32_L1,717,0,3,0.8084131196720273,0.18851410425626314,3.3355045318603516,0.1407729983329773,0.09972363710403442,0.19161558151245117,0.2177220582962036,0.34445351362228394,0.15148913860321045,0.5673128962516785,0.0700005292892456,0.06699472665786743,0.08077168464660645,0.2971740961074829,0.20543336868286133,0.017219126224517822
mlp_h32_L1,717,0,4,0.8029551597092002,0.19399192241521981,3.3792006969451904,0.14114892482757568,0.10057169198989868,0.19845664501190186,0.22668612003326416,0.34662890434265137,0.15326231718063354,0.594910740852356,0.07481378316879272,0.07268744707107544,0.08478868007659912,0.30055052042007446,0.21023762226104736,0.017151594161987305
mlp_h32_L1,717,0,5,0.800194716141585,0.19798018382145807,3.4116971492767334,0.1417819857597351,0.10282516479492188,0.19657176733016968,0.22892653942108154,0.3486759066581726,0.15659070014953613,0.6037129163742065,0.08384072780609131,0.0809091329574585,0.09888291358947754,0.2978780269622803,0.2133583426475525,0.019788265228271484
mlp_h32_L1,717,0,6,0.7974129361850132,0.19976651668548584,3.4554238319396973,0.14186131954193115,0.10008829832077026,0.20049691200256348,0.23239827156066895,0.3464241027832031,0.15856754779815674,0.6069762110710144,0.0852663516998291,0.08269840478897095,0.10158544778823853,0.3052263855934143,0.2150776982307434,0.020297765731811523
mlp_h32_L1,717,0,7,0.7964363239475132,0.20179964487369245,3.4114627838134766,0.14287221431732178,0.10298806428909302,0.20342421531677246,0.23248469829559326,0.3477506637573242,0.16121327877044678,0.6134828329086304,0.08683139085769653,0.08500832319259644,0.10592907667160034,0.30365854501724243,0.21609151363372803,0.021660566329956055
mlp_h32_L1,717,0,8,0.7951257690066482,0.20231014948624831,3.352959394454956,0.1428234577178955,0.10432517528533936,0.20241904258728027,0.23644763231277466,0.3470553159713745,0.16264599561691284,0.6191520690917969,0.08611512184143066,0.08649194240570068,0.1060146689414978,0.30436277389526367,0.21151763200759888,0.020661115646362305
mlp_h32_L1,717,0,9,0.7932573910521951,0.20544905387438261,3.284712076187134,0.1432933211326599,0.10054129362106323,0.2084844708442688,0.23914426565170288,0.3522148132324219,0.1653183102607727,0.6211259365081787,0.09363812208175659,0.09173989295959473,0.11991238594055176,0.29881393909454346,0.2154596447944641,0.021151304244995117
mlp_h32_L1,717,0,10,0.7917942264479932,0.2057038087111253,3.3479714393615723,0.14374911785125732,0.10712087154388428,0.2042090892791748,0.2334771752357483,0.348013699054718,0.16858410835266113,0.6171790957450867,0.09459662437438965,0.09189313650131226,0.12039560079574585,0.3039449453353882,0.218941330909729,0.022044718265533447
mlp_h32_L1,717,0,11,0.7904026616869891,0.2047540178665748,3.095914602279663,0.14476436376571655,0.10824239253997803,0.20785224437713623,0.2367979884147644,0.35305482149124146,0.16805672645568848,0.6131905317306519,0.08659422397613525,0.08339589834213257,0.11307942867279053,0.30458033084869385,0.21999651193618774,0.02219676971435547
mlp_h32_L1,717,0,12,0.7897266138176612,0.20892738837462205,3.2343087196350098,0.1425139307975769,0.10630017518997192,0.20883828401565552,0.2400873303413391,0.35204017162323,0.17081314325332642,0.6291537284851074,0.09504693746566772,0.0915575623512268,0.1250273585319519,0.3070554733276367,0.2235998511314392,0.02402210235595703
mlp_h32_L1,717,0,13,0.7896684277256172,0.2105577542231633,3.296535015106201,0.14512932300567627,0.10795056819915771,0.208329439163208,0.24023646116256714,0.35343754291534424,0.17209023237228394,0.6309865713119507,0.09803366661071777,0.09635549783706665,0.12770944833755493,0.30878323316574097,0.22420918941497803,0.02399963140487671
