property,t,input_variant,knn,linear,mlp
camsol_intrinsic,0.3,latent_only,0.08198391199111939,0.17844918815909167,0.1708223342895508
camsol_intrinsic,0.3,latent_plus_backbone,0.06941009759902954,0.17678361068258347,0.16217234134674072
camsol_intrinsic,0.5,latent_only,0.38446037769317626,0.4578611075795651,0.4478000164031982
camsol_intrinsic,0.5,latent_plus_backbone,0.3547624945640564,0.45731093896038644,0.4403922915458679
camsol_intrinsic,0.8,latent_only,0.6194126605987549,0.6974498369560436,0.6839881896972656
camsol_intrinsic,0.8,latent_plus_backbone,0.5627091884613037,0.6970746800449985,0.6202723145484924
camsol_intrinsic,1.0,latent_only,0.6757699966430664,0.7265615153418528,0.7137905716896057
camsol_intrinsic,1.0,latent_plus_backbone,0.6455580472946167,0.7262865566188199,0.7029375553131103
canya,0.3,latent_only,0.09477741718292236,0.18092531632658235,0.17512227296829225
canya,0.3,latent_plus_backbone,0.08885233402252198,0.17959900377523944,0.16604347229003907
canya,0.5,latent_only,0.38167438507080076,0.4593416868453234,0.45344520807266236
canya,0.5,latent_plus_backbone,0.3621997833251953,0.45848682665382584,0.4456396222114563
canya,0.8,latent_only,0.6068324089050293,0.6945734421291508,0.6738780736923218
canya,0.8,latent_plus_backbone,0.5631362438201905,0.6935171873773724,0.6206360816955566
canya,1.0,latent_only,0.6609855175018311,0.7207928947440632,0.7053689122200012
canya,1.0,latent_plus_backbone,0.6451633095741272,0.7196308948299168,0.6833047151565552
iupred3,0.3,latent_only,0.08518786430358886,0.17906733601832997,0.1705561399459839
iupred3,0.3,latent_plus_backbone,0.06732721328735351,0.17727550247797738,0.16348397731781006
iupred3,0.5,latent_only,0.3804862260818481,0.44853116188427106,0.44233413934707644
iupred3,0.5,latent_plus_backbone,0.35925530195236205,0.44790703668307363,0.43385460376739504
iupred3,0.8,latent_only,0.6098851203918457,0.6899198339304642,0.6735037326812744
iupred3,0.8,latent_plus_backbone,0.5367664217948913,0.689483044761153,0.6230032563209533
iupred3,1.0,latent_only,0.6635549902915955,0.7207096008592433,0.698896336555481
iupred3,1.0,latent_plus_backbone,0.6299379706382752,0.7201695155234258,0.6911802768707276
net_charge,0.3,latent_only,-0.4425482749938965,-0.2005945753256059,-0.5632534742355346
net_charge,0.3,latent_plus_backbone,-0.5781805515289307,-0.460357362011574,-3.250759172439575
net_charge,0.5,latent_only,-0.31692311763763426,-0.32867342592004783,-0.6431215524673461
net_charge,0.5,latent_plus_backbone,-0.6967046976089477,-0.5869904894040905,-1.9817051410675048
net_charge,0.8,latent_only,-0.6356059074401855,-0.47706313501840664,-0.9317332983016968
net_charge,0.8,latent_plus_backbone,-0.8677172660827637,-1.035102691038855,-1.5405105233192444
net_charge,1.0,latent_only,-0.195181143283844,-0.6828838161486528,-1.0225305318832398
net_charge,1.0,latent_plus_backbone,-0.21058735847473145,-0.2634382683332007,-2.7881933450698853
rg,0.3,latent_only,-0.5218116402626037,-0.32825341496931115,-0.6583247900009155
rg,0.3,latent_plus_backbone,-0.6349111557006836,-0.4350649732598207,-1.566633653640747
rg,0.5,latent_only,-0.6060167908668518,-0.3343391189779802,-0.7094334840774537
rg,0.5,latent_plus_backbone,-0.4761083245277405,-0.7619562009426064,-1.6827461481094361
rg,0.8,latent_only,-1.6980279684066772,-0.42495315295611674,-1.298023772239685
rg,0.8,latent_plus_backbone,-0.761654543876648,-0.3462147077280827,-2.0579522848129272
rg,1.0,latent_only,-0.5194008350372314,-0.5472698795075523,-1.723274040222168
rg,1.0,latent_plus_backbone,-0.40013895034790037,-0.38043226144293824,-1.3295456171035767
sap,0.3,latent_only,0.08197200298309326,0.17184071683062901,0.16618745326995848
sap,0.3,latent_plus_backbone,0.06525646448135376,0.17131633360712165,0.15616098642349244
sap,0.5,latent_only,0.3877495527267456,0.45974413618181414,0.45320656299591067
sap,0.5,latent_plus_backbone,0.36526859998703004,0.46005513405613,0.44385806322097776
sap,0.8,latent_only,0.6115458369255066,0.6977617363500164,0.6813962459564209
sap,0.8,latent_plus_backbone,0.5630928039550781,0.6980311859691299,0.6320916652679444
sap,1.0,latent_only,0.67032390832901,0.7315930153289307,0.7123178720474244
sap,1.0,latent_plus_backbone,0.6481163263320923,0.7315947045475386,0.7014975190162659
swi,0.3,latent_only,0.09471645355224609,0.17933458190315718,0.17142724990844727
swi,0.3,latent_plus_backbone,0.07605248689651489,0.17846470592126398,0.1599388003349304
swi,0.5,latent_only,0.3786921501159668,0.4549617787433857,0.4483534812927246
swi,0.5,latent_plus_backbone,0.3547665596008301,0.453732478604817,0.4392947435379028
swi,0.8,latent_only,0.6026939988136292,0.6922684477565275,0.6746020674705505
swi,0.8,latent_plus_backbone,0.5556371927261352,0.6911090421666094,0.6031132340431213
swi,1.0,latent_only,0.653084135055542,0.7195749655455836,0.7017194509506226
swi,1.0,latent_plus_backbone,0.6329790353775024,0.7184534649262011,0.6879435777664185
tango,0.3,latent_only,0.07711308002471924,0.165530935791323,0.15638082027435302
tango,0.3,latent_plus_backbone,0.05957515239715576,0.1641925870252907,0.14805587530136108
tango,0.5,latent_only,0.3778201103210449,0.4481763363001476,0.43867863416671754
tango,0.5,latent_plus_backbone,0.35251139402389525,0.44687479419665593,0.4292166233062744
tango,0.8,latent_only,0.611252760887146,0.6938520087643472,0.6668664693832398
tango,0.8,latent_plus_backbone,0.5507583379745483,0.6929032560473208,0.60972740650177
tango,1.0,latent_only,0.6607026815414428,0.7243185674297223,0.7000155210494995
tango,1.0,latent_plus_backbone,0.6349166393280029,0.7233606072954977,0.6866988897323608
