index,swi,tango,net_charge,pI,iupred3,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap,scm_positive,scm_negative,rg,camsol_intrinsic
swi,1.0,-0.06420992269918513,-0.22613249933158464,-0.13601574454241144,0.6154624502775482,0.3319752826916404,-0.2630381913772134,-0.0874930061602184,-0.1429458313695567,-0.21427131174940925,0.2911949698350769,-0.43605042976053077,0.07922017696430451,0.7264151752551762
tango,-0.06420992269918513,1.0,-0.14474648156509817,-0.01754778606292297,0.001093285793395506,0.011317104710201573,0.20413989919817274,0.465793216838784,0.32587465488283773,0.3987198909384636,0.466840327104951,-0.45229610417319727,0.5806550708139314,-0.37206942415929467
net_charge,-0.22613249933158464,-0.14474648156509817,1.0,0.863691366343285,-0.2468863453379818,-0.18803811051840302,0.12058515059804559,-0.09081046029426829,-0.04092695694026059,-0.03106716676267407,0.30919163860975873,0.5213717656270374,-0.07375604135712957,-0.055007013401927575
pI,-0.13601574454241144,-0.01754778606292297,0.863691366343285,1.0,-0.19333442119797192,-0.140266301275107,0.2016558451439424,-0.023801289227190672,-0.01455999665692181,0.0156010783464937,0.4386045849852412,0.2986673852224473,0.024521495604717086,-0.0061738771359477786
iupred3,0.6154624502775482,0.001093285793395506,-0.2468863453379818,-0.19333442119797192,1.0,0.7326992711816545,-0.2898650208865881,-0.05950477002433969,-0.0873860651180615,-0.07323972869841935,0.013426057240477976,-0.1769183525599966,0.12322388193992151,0.5048431752906182
iupred3_fraction_disordered,0.3319752826916404,0.011317104710201573,-0.18803811051840302,-0.140266301275107,0.7326992711816545,1.0,-0.19792222017715685,0.041505785480411804,0.03357875553942125,0.057641095123271105,-0.01650097535588948,-0.11292079500791419,0.14134287496888212,0.24554997008414217
shannon_entropy,-0.2630381913772134,0.20413989919817274,0.12058515059804559,0.2016558451439424,-0.2898650208865881,-0.19792222017715685,1.0,0.09686714460110299,0.10318411594117365,0.031887671809222,0.26660989442962213,-0.15099901319505044,0.08534765409195492,-0.1571285942126242
hydrophobic_patch_total_area,-0.0874930061602184,0.465793216838784,-0.09081046029426829,-0.023801289227190672,-0.05950477002433969,0.041505785480411804,0.09686714460110299,1.0,0.9057368452124319,0.8931342045244376,0.3494823323773762,-0.39391222996801334,0.6743124082359369,-0.2267083931175211
hydrophobic_patch_n_large,-0.1429458313695567,0.32587465488283773,-0.04092695694026059,-0.01455999665692181,-0.0873860651180615,0.03357875553942125,0.10318411594117365,0.9057368452124319,1.0,0.8207052369689407,0.2210252088734119,-0.24119778272959544,0.5778062303279425,-0.23843813364128577
sap,-0.21427131174940925,0.3987198909384636,-0.03106716676267407,0.0156010783464937,-0.07323972869841935,0.057641095123271105,0.031887671809222,0.8931342045244376,0.8207052369689407,1.0,0.22899027190018603,-0.2416074674152017,0.5242574929617722,-0.3414324096284209
scm_positive,0.2911949698350769,0.466840327104951,0.30919163860975873,0.4386045849852412,0.013426057240477976,-0.01650097535588948,0.26660989442962213,0.3494823323773762,0.2210252088734119,0.22899027190018603,1.0,-0.5387573566055507,0.49140201242153836,0.23052605132221418
scm_negative,-0.43605042976053077,-0.45229610417319727,0.5213717656270374,0.2986673852224473,-0.1769183525599966,-0.11292079500791419,-0.15099901319505044,-0.39391222996801334,-0.24119778272959544,-0.2416074674152017,-0.5387573566055507,1.0,-0.4852625679518182,-0.2834108799529132
rg,0.07922017696430451,0.5806550708139314,-0.07375604135712957,0.024521495604717086,0.12322388193992151,0.14134287496888212,0.08534765409195492,0.6743124082359369,0.5778062303279425,0.5242574929617722,0.49140201242153836,-0.4852625679518182,1.0,-0.08776412261221506
camsol_intrinsic,0.7264151752551762,-0.37206942415929467,-0.055007013401927575,-0.0061738771359477786,0.5048431752906182,0.24554997008414217,-0.1571285942126242,-0.2267083931175211,-0.23843813364128577,-0.3414324096284209,0.23052605132221418,-0.2834108799529132,-0.08776412261221506,1.0
