index,swi,tango,net_charge,pI,iupred3,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap,scm_positive,scm_negative,rg,camsol_intrinsic
swi,1.0,-0.08199432170274003,-0.22211842811242064,-0.16845034613457224,0.5981549453331035,0.38993059190384616,-0.39096471588608933,-0.0248629478622477,-0.09191998324303739,-0.11370086486327162,0.278759967371442,-0.4441693776632953,0.08674171630223321,0.6666103729288678
tango,-0.08199432170274003,1.0,-0.08190292552855376,0.014177056988259653,-0.03483710354127377,-0.008683123940126195,0.2672362175751551,0.4363891007215834,0.3005837948103394,0.37937482955912,0.4314032232068817,-0.36610332255437494,0.6290085467384088,-0.40831622582035854
net_charge,-0.22211842811242064,-0.08190292552855376,1.0,0.9453013043329874,-0.23593141507988163,-0.20692117713104138,0.11521607310839875,-0.0979579463122841,-0.05402237746081531,-0.06185091520931001,0.3297113774762872,0.4810285189949499,-0.06720057790274651,-0.056387776357020435
pI,-0.16845034613457224,0.014177056988259653,0.9453013043329874,1.0,-0.21172640801316325,-0.18516895603817354,0.2102228338152264,-0.008309056286887379,0.0018961028591660994,0.012123011422631053,0.46482345750906834,0.3299087817437232,0.046677625316562596,-0.020051226400340502
iupred3,0.5981549453331035,-0.03483710354127377,-0.23593141507988163,-0.21172640801316325,1.0,0.7603539003138435,-0.34120394432485884,-0.07454552646189881,-0.13800678359360866,-0.02922470786842296,0.017915846573305156,-0.18592008560711815,0.04662856504653483,0.4985898052310136
iupred3_fraction_disordered,0.38993059190384616,-0.008683123940126195,-0.20692117713104138,-0.18516895603817354,0.7603539003138435,1.0,-0.2391610649890671,-0.050764707253962274,-0.1185415030476404,0.018929217815238725,0.015655718801616723,-0.14865473026169723,0.052476085008816765,0.31080957072289783
shannon_entropy,-0.39096471588608933,0.2672362175751551,0.11521607310839875,0.2102228338152264,-0.34120394432485884,-0.2391610649890671,1.0,0.119587775783039,0.13688146091295017,0.07397875927761989,0.17894381988715016,-0.0864112108452548,0.1873765237553417,-0.3801254791376023
hydrophobic_patch_total_area,-0.0248629478622477,0.4363891007215834,-0.0979579463122841,-0.008309056286887379,-0.07454552646189881,-0.050764707253962274,0.119587775783039,1.0,0.8467723229530788,0.8732463866390641,0.3729529353780912,-0.42393619464302473,0.7039284922460962,-0.1264292648857299
hydrophobic_patch_n_large,-0.09191998324303739,0.3005837948103394,-0.05402237746081531,0.0018961028591660994,-0.13800678359360866,-0.1185415030476404,0.13688146091295017,0.8467723229530788,1.0,0.7443716063522667,0.2216114369721453,-0.25252718387897877,0.523939291073985,-0.14186024568735842
sap,-0.11370086486327162,0.37937482955912,-0.06185091520931001,0.012123011422631053,-0.02922470786842296,0.018929217815238725,0.07397875927761989,0.8732463866390641,0.7443716063522667,1.0,0.26625504151345164,-0.29768124339357177,0.5669862199217947,-0.17765220606378138
scm_positive,0.278759967371442,0.4314032232068817,0.3297113774762872,0.46482345750906834,0.017915846573305156,0.015655718801616723,0.17894381988715016,0.3729529353780912,0.2216114369721453,0.26625504151345164,1.0,-0.48630468269089916,0.5805848918316616,0.19270529475074194
scm_negative,-0.4441693776632953,-0.36610332255437494,0.4810285189949499,0.3299087817437232,-0.18592008560711815,-0.14865473026169723,-0.0864112108452548,-0.42393619464302473,-0.25252718387897877,-0.29768124339357177,-0.48630468269089916,1.0,-0.5762157754861057,-0.26794449637681883
rg,0.08674171630223321,0.6290085467384088,-0.06720057790274651,0.046677625316562596,0.04662856504653483,0.052476085008816765,0.1873765237553417,0.7039284922460962,0.523939291073985,0.5669862199217947,0.5805848918316616,-0.5762157754861057,1.0,-0.08848202026187578
camsol_intrinsic,0.6666103729288678,-0.40831622582035854,-0.056387776357020435,-0.020051226400340502,0.4985898052310136,0.31080957072289783,-0.3801254791376023,-0.1264292648857299,-0.14186024568735842,-0.17765220606378138,0.19270529475074194,-0.26794449637681883,-0.08848202026187578,1.0
