protein_id,coScRMSD_ca
s42_n300,4.8440
s42_n400,2.1258
s42_n500,8.4201
s43_n300,1.3017
s43_n400,1.9739
s43_n500,1.6635
s44_n300,0.8729
s44_n400,3.0108
s44_n500,1.6278
s45_n300,1.1639
s45_n400,0.9325
s45_n500,20.5449
s46_n300,0.8423
s46_n400,3.8076
s46_n500,11.9111
s47_n300,0.9809
s47_n400,1.6725
s47_n500,4.4741
s48_n300,16.5444
s48_n400,3.3421
s48_n500,8.1773
s49_n300,1.5373
s49_n400,2.7952
s49_n500,0.9320
s50_n300,1.4408
s50_n400,11.0256
s50_n500,27.0919
s51_n300,1.1894
s51_n400,2.1844
s51_n500,8.7437
s52_n300,0.8680
s52_n400,1.2565
s52_n500,11.6062
s53_n300,0.8443
s53_n400,0.8654
s53_n500,3.1069
s54_n300,0.6560
s54_n400,1.8428
s54_n500,24.8434
s55_n300,1.2927
s55_n400,1.2393
s55_n500,0.9519
s56_n300,14.5128
s56_n400,9.3514
s56_n500,10.5257
s57_n300,1.2610
s57_n400,9.8880
s57_n500,15.4507
