set,residue,overall,overall_lo,overall_hi,buried,buried_lo,buried_hi,intermediate,intermediate_lo,intermediate_hi,exposed,exposed_lo,exposed_hi,ratio_bur_exp,ratio_bur_exp_lo,ratio_bur_exp_hi
gen,W,0.00484557484443604,0.0031613229930788677,0.006777326340734357,0.006810459314118801,0.004304251664821862,0.00951015348250555,0.002751233096595579,0.0011400473457394032,0.004821089464919101,0.0012659639802169971,0.000133545777710138,0.0032139127524978307,9.801679069920604,1.8126001357724115,46.95490078759332
gen,F,0.0168847998630242,0.013592720940854076,0.020219382388367187,0.02230470152768145,0.018371903412828624,0.026563037453984542,0.010549941496394983,0.005611137907897914,0.016061230285306163,0.009597209858842187,0.0045597655902739325,0.01566473721406628,2.581780443188849,1.2924677215446263,4.985984778559511
gen,Y,0.028858030338830977,0.0232391011118923,0.03533880671525033,0.03665401419344947,0.028997394289932032,0.04546592918922924,0.022096949159820155,0.016599435345355854,0.02816102295070504,0.0071836173415558615,0.004429634211602652,0.010367118327246013,5.3177799364504645,3.360595883592706,8.652197583548816
gen,H,0.010028244530803285,0.007411705487564153,0.01283548636324343,0.007788551043084075,0.00536975929156886,0.01039093352323298,0.014400062266032503,0.009029223958926942,0.020190281159987958,0.006797442810941367,0.003307227340934419,0.011046833095220188,1.2862094269627122,0.6172843721616593,2.387979673413804
gen,Aromatic,0.0607293972011965,0.053956836070255365,0.06768404683887258,0.07368915651016558,0.06272865665690901,0.08370974967184053,0.0497600222137249,0.040926413258925536,0.059788214781827526,0.024749657338144486,0.017331468757584827,0.03282138853809859,3.0045819408044627,2.01948944520062,4.297981230211014
ref,W,0.013970531952556726,0.013342684926002135,0.014621084447647599,0.019747613294564405,0.018686021751663208,0.020783358129395007,0.011473985404132823,0.010652968315626055,0.012282923276043576,0.00820592886508448,0.00739786411256426,0.008978487332299171,2.4110195912743513,2.1639852667826616,2.673846410855195
ref,F,0.0397452552878524,0.038605638988757726,0.040778281075455884,0.05987008321367693,0.05832464832540449,0.0614711630545978,0.02685457531357564,0.02543740800260744,0.028370526941299608,0.023804033950272516,0.0224933161442729,0.02509318250710516,2.5201954845463526,2.3853878277098546,2.66721026455679
ref,Y,0.03004551903856378,0.029144337691166068,0.03090838707138101,0.042821932138388585,0.04153435692947732,0.04418383503859458,0.02586411372375833,0.024689194270601306,0.027065988753103155,0.015807389728440237,0.014610714609672396,0.017059833784595364,2.708444465233223,2.4931482777722414,2.95580190215625
ref,H,0.022956332581603206,0.02215538124356085,0.023736130213230396,0.02079291865995163,0.019899831194787054,0.02171967175479898,0.02486976537255761,0.02372412587540869,0.026074300824199106,0.02417853584998751,0.02290651839539119,0.025690643370220617,0.8606996892104742,0.8042674671847018,0.9233184175493304
ref,Aromatic,0.10668075096837015,0.1046375399697835,0.10881967324366851,0.14318787419319437,0.14032359951990375,0.14594529432411965,0.08910927563027504,0.08620752027160009,0.09188308179420861,0.07200903472287457,0.06917206294095558,0.07464999625294921,1.9906984148662599,1.9084779003314087,2.085741698590716
