protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7884180000000001,594.395,661,-7.763166568622957,5.558819389343261,0.332710159414358,0.19,3.877535133079308,2639.0868046278492,6,9.096456447716738,32.946402621611426,-36.83778878316203,18.077070236206055
s42_n400,400,0.8161572500000002,1061.57,986,-31.20295785148987,4.633821678161621,0.32695297592936995,0.04,3.5605094659463754,2305.198606768,7,5.551242719661502,40.0272359834126,-79.97559706400155,20.91811752319336
s42_n500,500,0.8088824,1019.68,392,-6.02583434366457,5.758324241638183,0.3523584715753432,0.074,3.660836503042542,2152.0729990794425,5,6.32586091783851,63.029991935254984,-65.17674965178547,22.073293685913086
s43_n300,300,0.7841746666666668,602.574,1081,-6.936088763780447,5.498854255676269,0.3052257394475694,0.006666666666666667,3.863685776342154,2414.4539724843917,7,10.917958398019561,30.309311936216474,-31.02586217311806,17.695926666259766
s43_n400,400,0.81793525,1049.5,2871,-2.378790211289413,5.983975028991699,0.18688061962573413,0.0,3.4308936916592208,2108.907359792435,6,5.008031668484005,69.56134878286849,-60.58518042893921,23.214269638061523
s43_n500,500,0.7921269999999999,562.278,685,-8.11657267001533,5.949757957458496,0.41412473170885605,0.192,3.6656892544708097,1579.6712292818354,1,8.825492744303347,57.80831146831406,-60.09209565429637,21.854602813720703
s44_n300,300,0.8037436666666667,716.217,669,-5.421151493088487,5.387449836730957,0.12403361859286668,0.0,3.2263584324340386,1492.2601617607074,2,2.4375599201403286,42.14399237733013,-49.49976422850257,18.39925193786621
s44_n400,400,0.7725839999999999,1429.3,2204,-12.214689831801923,4.103229713439941,0.4383500378700381,0.2325,3.4186687135187643,2108.5230811812453,4,8.944631537181104,4.1512591784726,-7.37117117683185,19.45396614074707
s44_n500,500,0.8105332,1551.53,60,7.805851005228007,8.789958000183105,0.337990955052801,0.056,3.683643631617001,1610.3305011669713,2,3.909260860561857,85.26359204076648,-46.31354146801756,23.68781089782715
s45_n300,300,0.795391,548.098,64,-20.664931206954137,4.913298988342285,0.2700108171803399,0.02666666666666667,3.714284228675463,1057.052201358557,2,3.9701074911722785,32.12856518884832,-60.23980305760005,17.29465103149414
s45_n400,400,0.8049137500000001,838.811,202,-27.42958837825843,5.155035209655761,0.6493007706964012,0.81,3.715507490089611,1124.103535337266,1,3.1307752802582915,40.69018041662787,-70.85605234275019,19.22388458251953
s45_n500,500,0.8114414,749.152,1040,-25.396763533882464,5.3141275405883786,0.39296265043897743,0.176,3.7486082054879777,2886.467545371951,4,8.357952834355343,75.80791364876293,-88.38565809544917,24.035991668701172
s46_n300,300,0.8052283333333334,513.382,1261,-39.86850028837944,4.215600395202637,0.4311237656789655,0.3333333333333333,3.6049447337157314,1521.3068962926347,4,5.651972827637445,15.894552321787359,-73.42555715033501,17.885574340820312
s46_n400,400,0.76995425,1840.27,1375,-10.396164436588329,4.589828300476075,0.2653602644715851,0.0,3.5730588639325673,5220.773919995751,24,15.286633955315155,15.10468781641474,-13.095219220518855,19.846878051757812
s46_n500,500,0.8065935999999999,559.733,42,-2.955561812162742,6.50024356842041,0.5801385225562956,0.758,3.5498405707822633,678.9860889131115,1,0.17143674332105413,44.02944221982307,-55.80855387684356,23.82508659362793
s47_n300,300,0.7988933333333333,536.032,2734,-14.776867049043446,5.024021339416504,0.38562369883911546,0.21,3.3982237381426055,1673.8717379748218,4,5.059920413865601,33.322377822825096,-45.299663064615686,17.29257583618164
s47_n400,400,0.7975085,480.46,42,8.594970959720698,9.432772254943849,0.4714960967938426,0.4175,3.476904307977966,613.5960454261538,1,1.8452123309286395,127.39135869010906,-88.37049616742581,20.728408813476562
s47_n500,500,0.785974,1145.33,632,1.4535306368536078,8.328622245788573,0.2854537864449263,0.038,2.125254498320819,973.9716839516409,3,0.9278837759316523,12.47111449742536,-4.044623414120295,23.33492088317871
s48_n300,300,0.8008633333333334,509.8,797,-13.8107401768086,5.194254112243651,0.20700943637630126,0.0,3.854008040706771,1946.5165832488851,6,3.6055298284461426,45.84431299847506,-62.031393910948566,18.06977081298828
s48_n400,400,0.8225765000000002,1036.85,1244,-61.03764640129306,4.254648780822754,0.3982964190599841,0.17,3.6518627473395187,1895.228481422239,5,4.4018205006561235,23.698337512219503,-119.39554662795216,20.53252410888672
s48_n500,500,0.7956931999999999,1471.37,4809,61.71837498349184,10.00886173248291,0.20500725778402762,0.004,3.6267497767969297,2851.9463216574673,7,11.324620819818819,151.7815369759593,-11.628627595626009,21.497413635253906
s49_n300,300,0.7707376666666668,894.748,2226,6.193535508868935,9.846981620788572,0.38465918047729536,0.08666666666666667,3.5088228021947443,2041.4028927665877,6,6.760415984471027,14.006091543564864,-7.082274705721099,17.386260986328125
s49_n400,400,0.7849842499999999,643.448,575,-6.197280970093928,5.391655921936036,0.32281041326850984,0.1225,3.9765143863370214,4261.0200106870525,11,12.55879452011417,46.63036040675712,-37.3607175752818,20.29378890991211
s49_n500,500,0.807087,1002.76,3424,-1.265756059165767,6.439994239807128,0.066674716150472,0.0,3.0702708169549373,1363.4928003000196,1,2.2571344660183734,88.471959859908,-79.63505838488966,23.24839210510254
s50_n300,300,0.7789733333333334,585.598,1040,-5.89973310102523,5.671872138977051,0.2408999523129347,0.04666666666666667,4.03606277961561,2573.9218390256497,9,9.689398931635756,34.28491824158736,-29.11594349304883,17.91081428527832
s50_n400,400,0.808042,841.183,388,-48.09629968062369,4.608471488952636,0.5831270420663902,0.72,3.8632766598153596,1561.9214806179343,2,5.316889356849222,18.947606042167322,-92.0212613002493,20.804344177246094
s50_n500,500,0.7830423999999999,951.369,6131,-0.20412541214591307,5.57001667022705,0.16880073069802418,0.0,2.2146230757247474,9877.208173839246,25,65.36611944349465,0.0,0.0,20.621339797973633
s51_n300,300,0.7976736666666666,516.95,1372,-4.0432509578312334,5.8058984756469725,0.40673108530431545,0.22,3.5121834890237955,1481.4835981096332,4,5.20159724445858,45.105054983897205,-37.506999028270144,17.42287254333496
s51_n400,400,0.7964205,885.295,4565,-0.41750774650766687,6.697759056091309,0.07219260270155246,0.0,3.4521836712726945,2299.7552122996103,4,4.581198027094188,73.37818237739339,-56.12199951067471,21.156518936157227
s51_n500,500,0.7822646,1601.7,72,-8.397175628170675,4.773816108703613,0.4736952376024966,0.33,3.657343844833121,1898.7527066692026,5,8.20529294926833,9.88661176059997,-35.43969910048921,22.851213455200195
s52_n300,300,0.7916103333333333,545.777,1371,-14.150482547195658,4.87731990814209,0.3076386988665119,0.03666666666666667,3.6729624244614136,2270.6010090453588,6,6.527178452621107,33.95368636091817,-46.379080089371065,17.588970184326172
s52_n400,400,0.80861525,930.401,1119,-33.00612689130652,4.6418359756469725,0.2958967666983227,0.0875,3.8972100568150454,2266.17460625452,4,5.428925558027858,44.66040215056174,-89.65406416368228,20.68528175354004
s52_n500,500,0.7892594,877.375,0,-13.76187551887331,5.104277992248535,0.15479785957890216,0.094,3.42717656003991,1345.747501123637,1,1.8182353305699854,71.962374089328,-69.17182371185334,23.25348663330078
s53_n300,300,0.8104356666666667,474.267,666,-40.68626590302715,4.201220130920409,0.6154188525447976,0.7766666666666666,3.525590633729475,1053.0933518988331,2,3.734565459877609,15.603690829816404,-79.68541171997195,17.133453369140625
s53_n400,400,0.8087172499999999,820.099,2303,38.54914926501175,9.64023151397705,0.07521774869731324,0.0,3.169479306440123,1312.285361817971,2,1.8276484848402594,119.18039907648895,-35.66866103495987,20.548038482666016
s53_n500,500,0.793955,1217.72,1215,1.5167617941250189,8.75263080596924,0.4775610393537405,0.36,3.216194724933047,1264.5321045435667,2,3.8016164347315367,19.06225603632514,-10.40434005761695,24.52077865600586
