label,n_pairs,mean,median,p10,p90,set,direction,w,L
camsol_max_w128_L300,120,0.4955104217574176,0.34623952005396974,0.2914866240748091,0.8390014250436386,steered,camsol_max,128,300
camsol_max_w128_L400,120,0.3310407543929859,0.29790254025153917,0.2527335298420001,0.4650345229660758,steered,camsol_max,128,400
camsol_max_w128_L500,120,0.3941654835175764,0.37407097357467056,0.28988943832620023,0.5378430807107137,steered,camsol_max,128,500
camsol_max_w16_L300,120,0.49512064427213826,0.34643252116351153,0.28886365219240173,0.8394703124133679,steered,camsol_max,16,300
camsol_max_w16_L400,120,0.33109401824254936,0.2980372843199891,0.24947410519111035,0.46427073046170725,steered,camsol_max,16,400
camsol_max_w16_L500,120,0.39500893098879764,0.3757731560177254,0.2916462418769916,0.5379107041961084,steered,camsol_max,16,500
camsol_max_w32_L300,120,0.4958784774504969,0.34593344478173316,0.292418200693771,0.8396485284325776,steered,camsol_max,32,300
camsol_max_w32_L400,120,0.3312341079440955,0.30001633047246345,0.25048341862390033,0.4635443063231582,steered,camsol_max,32,400
camsol_max_w32_L500,120,0.3946773734161015,0.37458735503491736,0.29338615465386964,0.5336178741722737,steered,camsol_max,32,500
camsol_max_w64_L300,120,0.4951401976423864,0.34557665295313034,0.28757638337877556,0.8394506185263595,steered,camsol_max,64,300
camsol_max_w64_L400,120,0.33204114508234334,0.2995782638869802,0.25082031104082475,0.46413792904131973,steered,camsol_max,64,400
camsol_max_w64_L500,120,0.3948660351395636,0.3733504639306335,0.2906450376917709,0.5381177965817282,steered,camsol_max,64,500
