label,n_pairs,mean,median,p10,p90,set,direction,w,L
camsol_max_w128_L300,120,0.4954266490953215,0.34559877491593005,0.2907720700154709,0.8382135759493217,steered,camsol_max,128,300
camsol_max_w128_L400,120,0.33201625783485045,0.3015187670853857,0.25306073554928266,0.4617166338262074,steered,camsol_max,128,400
camsol_max_w128_L500,120,0.3942737083824781,0.37519272633457956,0.2920890872495595,0.5384690992739309,steered,camsol_max,128,500
camsol_max_w16_L300,120,0.4948087200539913,0.3462835450686354,0.2892458622777962,0.839166914210813,steered,camsol_max,16,300
camsol_max_w16_L400,120,0.33186508197445935,0.29884732302969463,0.2515155559716343,0.4615830743359609,steered,camsol_max,16,400
camsol_max_w16_L500,120,0.3938381876421109,0.3748671724990664,0.2891564926074091,0.537930853304682,steered,camsol_max,16,500
camsol_max_w32_L300,120,0.4956527408184806,0.34959353363740164,0.2904864575946188,0.8384366465646389,steered,camsol_max,32,300
camsol_max_w32_L400,120,0.3319438060135219,0.2991299158720797,0.24734034111321518,0.4634350423897697,steered,camsol_max,32,400
camsol_max_w32_L500,120,0.39487113903484333,0.3740225726925044,0.29397127773919807,0.5380161494149105,steered,camsol_max,32,500
camsol_max_w64_L300,120,0.4958397170354684,0.3470407891161641,0.2902809637822768,0.837845383571702,steered,camsol_max,64,300
camsol_max_w64_L400,120,0.3316302635269747,0.2984943047227113,0.24904890750611586,0.4638103272245125,steered,camsol_max,64,400
camsol_max_w64_L500,120,0.3953653527119869,0.37600954390032615,0.2906601683398159,0.5383117221115294,steered,camsol_max,64,500
