fold,property,r2_clean_on_noisy
0,swi,-4.013582706451416
0,tango,0.1773579716682434
0,net_charge,-1.901322603225708
0,pI,-1.0361683368682861
0,iupred3,-18.921100616455078
0,iupred3_fraction_disordered,-73.44868469238281
0,shannon_entropy,-1.2967181205749512
0,hydrophobic_patch_total_area,-0.34506213665008545
0,hydrophobic_patch_n_large,-0.9247159957885742
0,sap,-1.1458690166473389
0,scm_positive,-0.33248305320739746
0,scm_negative,-4.4015021324157715
0,rg,-9.205708503723145
0,camsol_intrinsic,-9.358978271484375
1,swi,-6.093631267547607
1,tango,0.21060144901275635
1,net_charge,-1.3177895545959473
1,pI,-0.2593179941177368
1,iupred3,-17.33526611328125
1,iupred3_fraction_disordered,-50.865806579589844
1,shannon_entropy,-0.4784517288208008
1,hydrophobic_patch_total_area,-0.7479612827301025
1,hydrophobic_patch_n_large,-1.8619673252105713
1,sap,-0.13032197952270508
1,scm_positive,-0.7939639091491699
1,scm_negative,-3.8860702514648438
1,rg,-30.683610916137695
1,camsol_intrinsic,-6.397485256195068
2,swi,-6.252335548400879
2,tango,0.5123199224472046
2,net_charge,-4.650748252868652
2,pI,-4.219386577606201
2,iupred3,-12.066431045532227
2,iupred3_fraction_disordered,-15.661056518554688
2,shannon_entropy,0.027254700660705566
2,hydrophobic_patch_total_area,-2.7372097969055176
2,hydrophobic_patch_n_large,-4.352635860443115
2,sap,-0.560938835144043
2,scm_positive,-1.990297794342041
2,scm_negative,-1.0032916069030762
2,rg,-36.25978469848633
2,camsol_intrinsic,-8.446267127990723
3,swi,-5.7758049964904785
3,tango,0.3687952160835266
3,net_charge,-7.034727096557617
3,pI,-5.721545219421387
3,iupred3,-7.400895118713379
3,iupred3_fraction_disordered,-17.2564640045166
3,shannon_entropy,-1.3106520175933838
3,hydrophobic_patch_total_area,-0.42271196842193604
3,hydrophobic_patch_n_large,-1.3896663188934326
3,sap,-0.3708707094192505
3,scm_positive,-2.3979525566101074
3,scm_negative,-0.35574424266815186
3,rg,-18.67060661315918
3,camsol_intrinsic,-8.514996528625488
4,swi,-5.714605331420898
4,tango,0.34325265884399414
4,net_charge,-2.0320045948028564
4,pI,-1.2669627666473389
4,iupred3,-13.070581436157227
4,iupred3_fraction_disordered,-38.97273635864258
4,shannon_entropy,0.17934280633926392
4,hydrophobic_patch_total_area,-0.46574866771698
4,hydrophobic_patch_n_large,-1.3908803462982178
4,sap,-0.5282881259918213
4,scm_positive,-0.37540316581726074
4,scm_negative,-1.4356110095977783
4,rg,-4.945825576782227
4,camsol_intrinsic,-5.806594371795654
