protein_id,coScRMSD_ca
s42_n300,4.6022
s42_n400,1.9766
s42_n500,7.6760
s43_n300,1.6373
s43_n400,0.7742
s43_n500,2.6301
s44_n300,1.2770
s44_n400,3.0472
s44_n500,1.8116
s45_n300,1.1390
s45_n400,3.1507
s45_n500,20.5841
s46_n300,1.2627
s46_n400,3.8265
s46_n500,15.5101
s47_n300,1.1450
s47_n400,2.6985
s47_n500,4.8932
s48_n300,16.3886
s48_n400,5.5403
s48_n500,11.8315
s49_n300,1.6120
s49_n400,2.8612
s49_n500,0.8003
s50_n300,2.6753
s50_n400,11.4719
s50_n500,23.8571
s51_n300,0.9487
s51_n400,1.0145
s51_n500,15.0704
s52_n300,0.8240
s52_n400,1.5066
s52_n500,10.9158
s53_n300,1.1783
s53_n400,1.0160
s53_n500,10.6476
s54_n300,0.8290
s54_n400,3.0221
s54_n500,25.0500
s55_n300,1.2640
s55_n400,1.1062
s55_n500,8.9109
s56_n300,24.1824
s56_n400,11.1123
s56_n500,15.0443
s57_n300,2.4051
s57_n400,12.3345
s57_n500,18.4945
