label,n_pairs,mean,median,p10,p90,set,direction,w,L
combo_devel4_w128_L300,120,0.49545451468370133,0.34593210282810727,0.2915130798704033,0.837970956152691,steered,combo_devel4,128,300
combo_devel4_w128_L400,120,0.33109723819081355,0.3004998345971012,0.24815715902492655,0.46474299169067007,steered,combo_devel4,128,400
combo_devel4_w128_L500,120,0.39462256526201805,0.37249556347563795,0.2889293267632178,0.5386811814447927,steered,combo_devel4,128,500
combo_devel4_w32_L300,120,0.4952774878467591,0.3470450472575704,0.2894918525717874,0.8402596523669301,steered,combo_devel4,32,300
combo_devel4_w32_L400,120,0.3320654676346245,0.3014613217231379,0.2523976390715992,0.4638720103217849,steered,combo_devel4,32,400
combo_devel4_w32_L500,120,0.3948676050813962,0.37619307239706223,0.29150818079816165,0.5370429934438993,steered,combo_devel4,32,500
combo_devel4_w48_L300,120,0.4956879657292935,0.34546075654818503,0.29208628938870934,0.8408957724814327,steered,combo_devel4,48,300
combo_devel4_w48_L400,120,0.3318802589088296,0.3026336227093477,0.2515820226647108,0.4639907363208555,steered,combo_devel4,48,400
combo_devel4_w48_L500,120,0.3950148365810398,0.3750187162916783,0.2916172653086559,0.5382873570139345,steered,combo_devel4,48,500
combo_devel4_w64_L300,120,0.4954360586087982,0.34749489667311617,0.2902530963446624,0.8389269664914576,steered,combo_devel4,64,300
combo_devel4_w64_L400,120,0.33091902764792813,0.2984990563136274,0.2510390269853686,0.4595704591564426,steered,combo_devel4,64,400
combo_devel4_w64_L500,120,0.3945368576578057,0.37272567152954217,0.29031018450123125,0.5377850027042413,steered,combo_devel4,64,500
