protein_id,coScRMSD_ca
s42_n300,6.3527
s42_n400,2.4263
s42_n500,3.5086
s43_n300,3.8021
s43_n400,1.8994
s43_n500,13.9722
s44_n300,2.4274
s44_n400,4.7231
s44_n500,1.8938
s45_n300,6.0016
s45_n400,7.5486
s45_n500,18.4368
s46_n300,2.9492
s46_n400,5.6371
s46_n500,17.0106
s47_n300,1.8711
s47_n400,2.9049
s47_n500,5.8050
s48_n300,12.3668
s48_n400,1.7796
s48_n500,13.0876
s49_n300,2.9645
s49_n400,2.9041
s49_n500,1.5886
s50_n300,3.1739
s50_n400,11.8159
s50_n500,26.7071
s51_n300,1.4989
s51_n400,3.3086
s51_n500,16.9141
s52_n300,1.9813
s52_n400,2.2459
s52_n500,8.6546
s53_n300,3.8042
s53_n400,2.4867
s53_n500,4.6229
s54_n300,2.1204
s54_n400,2.3858
s54_n500,26.2846
s55_n300,2.5500
s55_n400,2.1445
s55_n500,6.5961
s56_n300,1.6300
s56_n400,8.6707
s56_n500,13.8026
s57_n300,2.1596
s57_n400,7.9742
s57_n500,19.6841
