arm,L,sample_idx,ca_esmfold,bb3o_esmfold,wall_s
baseline,50,0,2.2901782989501953,2.2901782989501953,13.767354249954224
baseline,50,1,4.205006122589111,4.205006122589111,12.251952409744263
baseline,50,2,2.116171360015869,2.116171360015869,12.367544412612915
baseline,100,0,1.737654447555542,1.737654447555542,19.81873655319214
baseline,100,1,7.415769577026367,7.415769577026367,19.50051736831665
baseline,100,2,1.0326513051986694,1.0326513051986694,19.215770959854126
hybrid,50,0,2.186279296875,2.186279296875,11.40408205986023
hybrid,50,1,4.077427864074707,4.077427864074707,12.789485216140747
hybrid,50,2,1.3964617252349854,1.3964617252349854,13.04369068145752
hybrid,100,0,6.633812427520752,6.633812427520752,19.181991577148438
hybrid,100,1,8.382416725158691,8.382416725158691,20.37697982788086
hybrid,100,2,7.2548136711120605,7.2548136711120605,19.12699842453003
