arm,L,sample_idx,ca_esmfold,bb3o_esmfold,wall_s
baseline,200,0,0.8169823288917542,0.8169823288917542,60.42617130279541
baseline,200,1,1.9308263063430786,1.9308263063430786,58.40805006027222
baseline,200,2,1.8766199350357056,1.8766199350357056,58.21877074241638
baseline,200,3,1.070436954498291,1.070436954498291,58.70090627670288
baseline,200,4,1.445141315460205,1.445141315460205,59.495824337005615
hybrid,200,0,0.7880224585533142,0.7880224585533142,59.59251809120178
hybrid,200,1,1.2263357639312744,1.2263357639312744,60.227142333984375
hybrid,200,2,1.0054805278778076,1.0054805278778076,61.96515607833862
hybrid,200,3,1.5284792184829712,1.5284792184829712,58.70748472213745
hybrid,200,4,4.034651756286621,4.034651756286621,58.85768437385559
