arm,L,sample_idx,ca_esmfold,bb3o_esmfold,wall_s
baseline,50,0,0.6726357936859131,0.6726357936859131,13.896645545959473
baseline,50,1,0.7753243446350098,0.7753243446350098,11.12130069732666
baseline,50,2,0.9284569025039673,0.9284569025039673,11.141098499298096
baseline,50,3,0.8507887721061707,0.8507887721061707,11.196012258529663
baseline,50,4,0.7990735769271851,0.7990735769271851,10.716301441192627
baseline,50,5,1.3827385902404785,1.3827385902404785,10.693188905715942
baseline,100,0,0.8619539141654968,0.8619539141654968,20.30971360206604
baseline,100,1,1.0968830585479736,1.0968830585479736,19.3437180519104
baseline,100,2,1.781675934791565,1.781675934791565,19.60786771774292
baseline,100,3,1.955373764038086,1.955373764038086,20.519086837768555
baseline,100,4,1.8852769136428833,1.8852769136428833,20.50634741783142
baseline,100,5,2.955264091491699,2.955264091491699,22.816062211990356
hybrid,50,0,0.8543226718902588,0.8543226718902588,11.44188141822815
hybrid,50,1,0.7583476305007935,0.7583476305007935,10.515016794204712
hybrid,50,2,0.8516348600387573,0.8516348600387573,12.91947054862976
hybrid,50,3,0.7483958601951599,0.7483958601951599,11.81787919998169
hybrid,50,4,1.9228631258010864,1.9228631258010864,11.664722681045532
hybrid,50,5,1.8962926864624023,1.8962926864624023,11.440693378448486
hybrid,100,0,1.0477931499481201,1.0477931499481201,19.173715829849243
hybrid,100,1,1.3002619743347168,1.3002619743347168,19.62516212463379
hybrid,100,2,0.6856079697608948,0.6856079697608948,19.98276996612549
hybrid,100,3,3.205537796020508,3.205537796020508,19.479119300842285
hybrid,100,4,3.583484411239624,3.583484411239624,20.077640295028687
hybrid,100,5,8.46090316772461,8.46090316772461,19.226276874542236
