arm,L,sample_idx,ca_esmfold,bb3o_esmfold,wall_s
baseline,50,0,0.7323534488677979,0.7323534488677979,13.542659282684326
baseline,50,1,2.111947536468506,2.111947536468506,11.88411831855774
baseline,50,2,2.542837619781494,2.542837619781494,11.86142897605896
baseline,50,3,2.741783380508423,2.741783380508423,11.55469822883606
baseline,50,4,0.5444459915161133,0.5444459915161133,12.222445249557495
baseline,50,5,0.7513871192932129,0.7513871192932129,10.259997844696045
baseline,50,6,4.45378303527832,4.45378303527832,10.958767414093018
baseline,50,7,0.9644563794136047,0.9644563794136047,10.282016515731812
baseline,50,8,0.4618348777294159,0.4618348777294159,10.380327463150024
baseline,50,9,4.4908881187438965,4.4908881187438965,11.1097891330719
baseline,50,10,1.1364518404006958,1.1364518404006958,11.061633825302124
baseline,50,11,0.6918020844459534,0.6918020844459534,9.978283405303955
baseline,50,12,1.0128695964813232,1.0128695964813232,9.856769800186157
baseline,50,13,0.8873512744903564,0.8873512744903564,10.02880597114563
baseline,50,14,0.9906221628189087,0.9906221628189087,9.758025646209717
baseline,50,15,0.8792533874511719,0.8792533874511719,10.060203790664673
baseline,50,16,0.9510075449943542,0.9510075449943542,10.768948793411255
baseline,50,17,0.7046297788619995,0.7046297788619995,11.369358777999878
baseline,50,18,0.766232430934906,0.766232430934906,10.728613376617432
baseline,50,19,0.777435302734375,0.777435302734375,10.191881656646729
baseline,50,20,1.845489740371704,1.845489740371704,11.419432640075684
baseline,50,21,9.810582160949707,9.810582160949707,9.931791067123413
baseline,50,22,1.1525306701660156,1.1525306701660156,10.147562026977539
baseline,50,23,0.48648369312286377,0.48648369312286377,10.993613481521606
baseline,50,24,0.7908627390861511,0.7908627390861511,10.399837017059326
baseline,50,25,1.084555745124817,1.084555745124817,11.015239953994751
baseline,50,26,0.687099814414978,0.687099814414978,10.175489664077759
baseline,50,27,0.7055856585502625,0.7055856585502625,10.748000860214233
baseline,50,28,6.84195613861084,6.84195613861084,10.696918725967407
baseline,50,29,2.599954128265381,2.599954128265381,10.279057025909424
baseline,50,30,2.6979427337646484,2.6979427337646484,10.112869024276733
baseline,50,31,1.5513105392456055,1.5513105392456055,10.111483335494995
baseline,50,32,0.6490978598594666,0.6490978598594666,10.104975461959839
baseline,50,33,0.817948043346405,0.817948043346405,9.999683380126953
baseline,50,34,0.47691264748573303,0.47691264748573303,10.06936526298523
baseline,50,35,0.9196169972419739,0.9196169972419739,10.29505181312561
baseline,100,0,1.1292458772659302,1.1292458772659302,18.549320697784424
baseline,100,1,0.869863748550415,0.869863748550415,19.807555437088013
baseline,100,2,1.1360487937927246,1.1360487937927246,19.780322551727295
baseline,100,3,0.9642869234085083,0.9642869234085083,20.48992896080017
baseline,100,4,1.0971072912216187,1.0971072912216187,20.34430694580078
baseline,100,5,1.4167450666427612,1.4167450666427612,19.602420806884766
baseline,100,6,0.6852864027023315,0.6852864027023315,20.170823097229004
baseline,100,7,1.3161617517471313,1.3161617517471313,18.589568376541138
baseline,100,8,2.209059476852417,2.209059476852417,19.73673129081726
baseline,100,9,1.1955817937850952,1.1955817937850952,19.112701892852783
baseline,100,10,0.7965778708457947,0.7965778708457947,19.562258005142212
baseline,100,11,2.4154112339019775,2.4154112339019775,18.868330240249634
baseline,100,12,0.8995081186294556,0.8995081186294556,20.824495553970337
baseline,100,13,4.571897983551025,4.571897983551025,20.43561816215515
baseline,100,14,0.98381108045578,0.98381108045578,21.749796628952026
baseline,100,15,0.8761129975318909,0.8761129975318909,21.18855381011963
baseline,100,16,1.4083540439605713,1.4083540439605713,22.99564003944397
baseline,100,17,0.8599534034729004,0.8599534034729004,23.985630989074707
baseline,100,18,1.1251859664916992,1.1251859664916992,20.882302045822144
baseline,100,19,1.4936505556106567,1.4936505556106567,20.498257160186768
baseline,100,20,1.0789142847061157,1.0789142847061157,23.579049587249756
baseline,100,21,0.9846863150596619,0.9846863150596619,20.39828896522522
baseline,100,22,1.4222344160079956,1.4222344160079956,20.935294151306152
baseline,100,23,1.144627332687378,1.144627332687378,20.99398159980774
baseline,100,24,1.197407603263855,1.197407603263855,22.59856939315796
baseline,100,25,0.8004640340805054,0.8004640340805054,21.77657413482666
baseline,100,26,1.8664454221725464,1.8664454221725464,21.224337577819824
baseline,100,27,0.7827255129814148,0.7827255129814148,22.442640781402588
baseline,100,28,1.0820918083190918,1.0820918083190918,22.027100086212158
baseline,100,29,1.29468834400177,1.29468834400177,20.879889726638794
baseline,100,30,1.1094194650650024,1.1094194650650024,19.675381898880005
baseline,100,31,1.0666992664337158,1.0666992664337158,22.53197479248047
baseline,100,32,0.9198875427246094,0.9198875427246094,20.796469688415527
baseline,100,33,0.7890639901161194,0.7890639901161194,21.006027460098267
baseline,100,34,1.1341593265533447,1.1341593265533447,22.72696542739868
baseline,100,35,1.077040195465088,1.077040195465088,23.175580739974976
baseline,200,0,0.8124244213104248,0.8124244213104248,62.59023571014404
baseline,200,1,1.585754632949829,1.585754632949829,62.57201552391052
baseline,200,2,1.53011953830719,1.53011953830719,60.36125183105469
baseline,200,3,2.0140702724456787,2.0140702724456787,62.01373839378357
baseline,200,4,3.0881338119506836,3.0881338119506836,58.8422577381134
baseline,200,5,1.6553515195846558,1.6553515195846558,59.683587312698364
baseline,200,6,3.6441712379455566,3.6441712379455566,59.1155047416687
baseline,200,7,1.510101318359375,1.510101318359375,62.036174058914185
baseline,200,8,1.1674619913101196,1.1674619913101196,58.631988286972046
baseline,200,9,2.5250771045684814,2.5250771045684814,58.43724226951599
baseline,200,10,0.9058136940002441,0.9058136940002441,61.65689134597778
baseline,200,11,1.6455081701278687,1.6455081701278687,61.75048851966858
baseline,200,12,3.2203528881073,3.2203528881073,61.82552361488342
baseline,200,13,1.3184398412704468,1.3184398412704468,60.1250946521759
baseline,200,14,1.477367639541626,1.477367639541626,60.411240100860596
baseline,200,15,1.611405849456787,1.611405849456787,60.52681040763855
baseline,200,16,6.813512325286865,6.813512325286865,60.21635866165161
baseline,200,17,1.1565932035446167,1.1565932035446167,60.11422634124756
baseline,200,18,0.8448593616485596,0.8448593616485596,59.36282515525818
baseline,200,19,1.0485351085662842,1.0485351085662842,59.98225688934326
