protein_id,coScRMSD_ca
s42_n300,5.5653
s42_n400,27.7340
s42_n500,13.0590
s43_n300,6.8053
s43_n400,13.7072
s43_n500,3.7680
s44_n300,22.5790
s44_n400,21.1419
s44_n500,2.4709
s45_n300,5.3834
s45_n400,14.2521
s45_n500,14.6795
s46_n300,2.1288
s46_n400,22.4347
s46_n500,6.5258
s47_n300,5.8860
s47_n400,2.6510
s47_n500,17.2627
s48_n300,30.8914
s48_n400,26.2020
s48_n500,27.5921
s49_n300,22.1811
s49_n400,2.6902
s49_n500,28.9708
s50_n300,3.5946
s50_n400,13.2932
s50_n500,45.2983
s51_n300,4.4450
s51_n400,19.7690
s51_n500,7.9627
s52_n300,6.9284
s52_n400,1.6939
s52_n500,12.0010
s53_n300,1.8977
s53_n400,30.6552
s53_n500,17.2552
s54_n300,21.7229
s54_n400,5.6951
s54_n500,22.9253
s55_n300,1.7609
s55_n400,2.7055
s55_n500,24.4611
s56_n300,27.3297
s56_n400,16.0855
s56_n500,16.7646
s57_n300,21.9016
s57_n400,13.3253
s57_n500,30.5550
