protein_id,coScRMSD_ca
s42_n300,5.4299
s42_n400,1.9201
s42_n500,8.1850
s43_n300,1.1564
s43_n400,2.1445
s43_n500,2.4563
s44_n300,8.3745
s44_n400,3.1611
s44_n500,1.8075
s45_n300,1.7040
s45_n400,1.3018
s45_n500,19.8098
s46_n300,0.9470
s46_n400,4.0401
s46_n500,14.9963
s47_n300,0.6515
s47_n400,1.1770
s47_n500,4.5124
s48_n300,6.1787
s48_n400,3.4771
s48_n500,9.0129
s49_n300,1.1203
s49_n400,2.6973
s49_n500,1.0661
s50_n300,1.4604
s50_n400,7.1779
s50_n500,26.8239
s51_n300,0.9334
s51_n400,14.5049
s51_n500,8.3456
s52_n300,0.7640
s52_n400,0.9742
s52_n500,12.3256
s53_n300,0.9251
s53_n400,9.4435
s53_n500,3.9553
s54_n300,1.0176
s54_n400,2.2659
s54_n500,24.9501
s55_n300,1.5778
s55_n400,1.2605
s55_n500,1.9635
s56_n300,14.9493
s56_n400,5.4156
s56_n500,2.7588
s57_n300,3.4121
s57_n400,13.1475
s57_n500,18.3124
