protein_id,seed,length,pdb,pt
s1000_n492,1000,492,samples/s1000_n492.pdb,samples/s1000_n492.pt
s1001_n331,1001,331,samples/s1001_n331.pdb,samples/s1001_n331.pt
s1002_n526,1002,526,samples/s1002_n526.pdb,samples/s1002_n526.pt
s1003_n302,1003,302,samples/s1003_n302.pdb,samples/s1003_n302.pt
s1004_n374,1004,374,samples/s1004_n374.pdb,samples/s1004_n374.pt
s1005_n343,1005,343,samples/s1005_n343.pdb,samples/s1005_n343.pt
s1006_n400,1006,400,samples/s1006_n400.pdb,samples/s1006_n400.pt
s1007_n329,1007,329,samples/s1007_n329.pdb,samples/s1007_n329.pt
s1008_n333,1008,333,samples/s1008_n333.pdb,samples/s1008_n333.pt
s1009_n341,1009,341,samples/s1009_n341.pdb,samples/s1009_n341.pt
s1010_n364,1010,364,samples/s1010_n364.pdb,samples/s1010_n364.pt
s1011_n320,1011,320,samples/s1011_n320.pdb,samples/s1011_n320.pt
s1012_n325,1012,325,samples/s1012_n325.pdb,samples/s1012_n325.pt
s1013_n423,1013,423,samples/s1013_n423.pdb,samples/s1013_n423.pt
s1014_n396,1014,396,samples/s1014_n396.pdb,samples/s1014_n396.pt
s1015_n300,1015,300,samples/s1015_n300.pdb,samples/s1015_n300.pt
s1016_n310,1016,310,samples/s1016_n310.pdb,samples/s1016_n310.pt
s1017_n459,1017,459,samples/s1017_n459.pdb,samples/s1017_n459.pt
s1018_n389,1018,389,samples/s1018_n389.pdb,samples/s1018_n389.pt
s1019_n399,1019,399,samples/s1019_n399.pdb,samples/s1019_n399.pt
s1020_n304,1020,304,samples/s1020_n304.pdb,samples/s1020_n304.pt
s1021_n465,1021,465,samples/s1021_n465.pdb,samples/s1021_n465.pt
s1022_n373,1022,373,samples/s1022_n373.pdb,samples/s1022_n373.pt
s1023_n308,1023,308,samples/s1023_n308.pdb,samples/s1023_n308.pt
s1024_n356,1024,356,samples/s1024_n356.pdb,samples/s1024_n356.pt
s1025_n374,1025,374,samples/s1025_n374.pdb,samples/s1025_n374.pt
s1026_n362,1026,362,samples/s1026_n362.pdb,samples/s1026_n362.pt
s1027_n302,1027,302,samples/s1027_n302.pdb,samples/s1027_n302.pt
s1028_n369,1028,369,samples/s1028_n369.pdb,samples/s1028_n369.pt
s1029_n304,1029,304,samples/s1029_n304.pdb,samples/s1029_n304.pt
s1030_n551,1030,551,samples/s1030_n551.pdb,samples/s1030_n551.pt
s1031_n429,1031,429,samples/s1031_n429.pdb,samples/s1031_n429.pt
s1032_n314,1032,314,samples/s1032_n314.pdb,samples/s1032_n314.pt
s1033_n345,1033,345,samples/s1033_n345.pdb,samples/s1033_n345.pt
s1034_n324,1034,324,samples/s1034_n324.pdb,samples/s1034_n324.pt
s1035_n696,1035,696,samples/s1035_n696.pdb,samples/s1035_n696.pt
s1036_n378,1036,378,samples/s1036_n378.pdb,samples/s1036_n378.pt
s1037_n326,1037,326,samples/s1037_n326.pdb,samples/s1037_n326.pt
s1038_n316,1038,316,samples/s1038_n316.pdb,samples/s1038_n316.pt
s1039_n424,1039,424,samples/s1039_n424.pdb,samples/s1039_n424.pt
s1040_n300,1040,300,samples/s1040_n300.pdb,samples/s1040_n300.pt
s1041_n362,1041,362,samples/s1041_n362.pdb,samples/s1041_n362.pt
s1042_n567,1042,567,samples/s1042_n567.pdb,samples/s1042_n567.pt
s1043_n404,1043,404,samples/s1043_n404.pdb,samples/s1043_n404.pt
s1044_n395,1044,395,samples/s1044_n395.pdb,samples/s1044_n395.pt
s1045_n363,1045,363,samples/s1045_n363.pdb,samples/s1045_n363.pt
s1046_n318,1046,318,samples/s1046_n318.pdb,samples/s1046_n318.pt
s1047_n751,1047,751,samples/s1047_n751.pdb,samples/s1047_n751.pt
s1048_n377,1048,377,samples/s1048_n377.pdb,samples/s1048_n377.pt
s1049_n365,1049,365,samples/s1049_n365.pdb,samples/s1049_n365.pt
s1050_n522,1050,522,samples/s1050_n522.pdb,samples/s1050_n522.pt
s1051_n313,1051,313,samples/s1051_n313.pdb,samples/s1051_n313.pt
s1052_n450,1052,450,samples/s1052_n450.pdb,samples/s1052_n450.pt
s1053_n335,1053,335,samples/s1053_n335.pdb,samples/s1053_n335.pt
s1054_n301,1054,301,samples/s1054_n301.pdb,samples/s1054_n301.pt
s1055_n372,1055,372,samples/s1055_n372.pdb,samples/s1055_n372.pt
s1056_n491,1056,491,samples/s1056_n491.pdb,samples/s1056_n491.pt
s1057_n393,1057,393,samples/s1057_n393.pdb,samples/s1057_n393.pt
s1058_n416,1058,416,samples/s1058_n416.pdb,samples/s1058_n416.pt
s1059_n326,1059,326,samples/s1059_n326.pdb,samples/s1059_n326.pt
s1060_n363,1060,363,samples/s1060_n363.pdb,samples/s1060_n363.pt
s1061_n385,1061,385,samples/s1061_n385.pdb,samples/s1061_n385.pt
s1062_n407,1062,407,samples/s1062_n407.pdb,samples/s1062_n407.pt
s1063_n389,1063,389,samples/s1063_n389.pdb,samples/s1063_n389.pt
s1064_n455,1064,455,samples/s1064_n455.pdb,samples/s1064_n455.pt
s1065_n539,1065,539,samples/s1065_n539.pdb,samples/s1065_n539.pt
s1066_n368,1066,368,samples/s1066_n368.pdb,samples/s1066_n368.pt
s1067_n384,1067,384,samples/s1067_n384.pdb,samples/s1067_n384.pt
s1068_n303,1068,303,samples/s1068_n303.pdb,samples/s1068_n303.pt
s1069_n519,1069,519,samples/s1069_n519.pdb,samples/s1069_n519.pt
s1070_n391,1070,391,samples/s1070_n391.pdb,samples/s1070_n391.pt
s1071_n493,1071,493,samples/s1071_n493.pdb,samples/s1071_n493.pt
s1072_n379,1072,379,samples/s1072_n379.pdb,samples/s1072_n379.pt
s1073_n376,1073,376,samples/s1073_n376.pdb,samples/s1073_n376.pt
s1074_n305,1074,305,samples/s1074_n305.pdb,samples/s1074_n305.pt
