protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s1000_n310,310,0.7914367741935483,616.431,2024,-17.093851068821145,4.925178337097167,0.2084584025822323,0.0,3.7050314843269785,1291.2903750003575,4,4.45562927423054,39.648672027594074,-48.23897663045711,18.350757598876953
s1001_n376,376,0.8022468085106383,924.666,1487,0.17379792468484112,7.074658393859862,0.1736646410794735,0.0,3.823896375533851,1562.3028266781619,2,3.8499658879350758,62.899815991580176,-48.31362251915699,18.987592697143555
s1002_n442,442,0.7606160633484162,747.891,3316,3.827356938411846,8.926308631896976,0.18129785180792,0.027149321266968326,3.2701904481757684,1207.1320940025264,0,4.8183659502908975,17.986352142839525,-12.999031234561631,22.43854522705078
s1003_n480,480,0.8378272916666667,248.0,1,-134.13118429512855,4.0500284194946286,0.8123772444093346,1.0,2.7491475708522626,2659.7459348778916,6,9.866561595733607,0.2034354139962533,-209.21682856217885,21.059852600097656
s1004_n540,540,0.8165603703703705,341.468,95,-26.170277146195815,5.004014015197753,0.5096237029265648,0.5222222222222223,2.9184406399571854,1181.4338679255272,3,4.9005715008865,86.5697679149695,-99.95890690540502,25.45623207092285
s1005_n573,573,0.7804301919720767,526.702,424,-0.4996453124586552,5.275022315979004,0.15511609142624716,0.0,2.2157806270418634,11813.278775089651,40,80.87944663889351,0.0,0.0,21.545955657958984
s1006_n610,610,0.8117637704918033,249.048,217,-100.22144669615804,4.0500284194946286,0.6261482281345683,0.6639344262295082,2.6681623674037933,6161.636762458391,15,37.98262574192048,0.009404064122272904,-154.43172120718967,21.99776268005371
s1007_n660,660,0.8069363636363638,1224.73,3224,-37.15016869530619,4.912446403503417,0.12002804117194724,0.0,3.44493302959396,1658.222196012839,0,3.5777324911509494,73.0580338431019,-124.88524043945364,24.89775276184082
s1008_n725,725,0.7793907586206897,1569.39,1600,1.4955884298971505,8.313407707214356,0.2952306260475052,0.020689655172413793,3.183621034218828,6720.287617693364,18,37.776474441918324,30.679578391677683,-13.846597634956668,28.13460922241211
s1009_n776,776,0.822146262886598,2326.08,1878,-198.08244820032974,4.0500284194946286,0.6357460047067358,0.8414948453608248,3.6717790100668726,1805.8775900294888,3,3.3713897083358737,8.498587855167948,-300.03111118947083,24.934967041015625
s1010_n314,314,0.8023140127388536,559.38,3344,-49.12977615738764,4.390323448181152,0.07064376680642816,0.0,3.1858667082746472,1268.3346763262903,1,2.8691876737774407,20.934010314039327,-92.58303269561353,19.562467575073242
s1011_n359,359,0.8244545961002785,984.654,832,-35.27461849693335,4.53668384552002,0.41161711732147815,0.2479108635097493,3.6948619005508205,1350.7080103700464,1,3.702308873291909,88.15688656276888,-111.8777681944246,18.341537475585938
s1012_n424,424,0.8219254716981131,956.856,252,-131.2687913315448,4.0500284194946286,0.677399870411394,0.9811320754716981,3.5095565288698314,1861.2068335642502,4,3.8210027359283196,12.580131053112837,-175.78007393221498,19.60040283203125
s1013_n464,464,0.7892101293103448,892.373,2121,11.52953066334085,9.172513389587401,0.14751888967972773,0.0,3.011246423044129,2529.0613601535406,4,5.963702785910818,56.861851042868395,-35.017624398532334,22.36457061767578
s1014_n513,513,0.8358857699805068,337.321,467,-134.04680765010608,4.0500284194946286,0.644709215125085,0.9064327485380117,3.081271419222841,1177.940626337933,0,5.981010767263509,14.839925998349507,-225.0600013903678,23.165733337402344
s1015_n587,587,0.8391187393526407,475.687,264,-192.91208625531016,4.0500284194946286,0.6199678001182761,0.7495741056218058,3.0366423543685577,1581.1276412935222,0,4.006179822147489,10.857330324023492,-280.25169695111504,23.135051727294922
s1016_n609,609,0.7891075533661741,1334.71,5359,-6.387006964915869,5.532616615295409,0.09273850657574242,0.0,3.229597492472787,1578.3984715205575,0,4.200682309365983,74.29539012560875,-65.90422737310372,24.85077476501465
s1017_n677,677,0.7974020679468243,1961.0,1705,-12.247840862898613,5.275533866882324,0.21117494797697475,0.01772525849335303,3.471458226967144,2368.2241264120994,3,4.218834724082949,66.14612798587268,-70.16162615112822,24.204509735107422
s1018_n700,700,0.76588,1612.82,0,-4.47142325449628,6.710547828674316,0.1492210926705701,0.04428571428571428,3.5472963306465894,3184.7699696124373,1,8.399895553319805,42.28904090401831,-30.563581194900216,26.798240661621094
s1019_n793,793,0.8143622950819672,488.51,174,-144.83083298558353,4.0500284194946286,0.36790003407921107,0.1664564943253468,3.6547835988061084,3789.082294320924,8,18.232044413409362,23.45918075469665,-221.02537246917296,26.709531784057617
s1020_n344,344,0.8071255813953488,698.494,1139,-25.02331002169604,4.740735816955566,0.3298751321427128,0.08430232558139535,3.813787798030231,1279.6108253150724,2,4.375196334130208,29.838319138183028,-69.18073721657248,18.4657039642334
s1021_n390,390,0.7675151282051281,761.86,0,-26.307164370241587,4.636834144592284,0.3825068115461139,0.038461538461538464,3.520286708429992,1171.0971538259557,1,0.6610286947025876,2.4451861783078197,-41.86586347633171,21.492706298828125
s1022_n434,434,0.753933870967742,690.579,1945,-3.326127880927604,5.013108253479003,0.05117688473244188,0.0,2.3583546365293557,1101.4084295937907,1,2.643416933959404,1.7352619741587973,-1.869537574362428,21.899065017700195
s1023_n462,462,0.7945341991341992,1170.22,3063,-10.37727485370489,5.287072181701659,0.05679917782626272,0.0,3.417579332780255,2017.9389417238694,2,3.4530556947546143,65.34807217470858,-67.8328663481397,21.84925079345703
