protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s1000_n310,310,0.7957780645161291,606.093,1397,-5.5087900817005675,6.001538276672362,0.3460057623779359,0.06451612903225806,3.6595582091197487,1217.9163578057921,3,2.55568968337207,53.06278793761584,-40.93375398145992,17.63495445251465
s1001_n376,376,0.7978212765957446,1045.84,2297,3.711334684583342,8.558645439147952,0.20372542797412263,0.0,3.9092884493539595,1861.1906669839796,4,3.741218375352688,67.8729114274712,-40.0644286258311,21.226974487304688
s1002_n442,442,0.8075744343891402,1117.38,1389,-59.91516052736259,4.339850425720216,0.5650509294760989,0.6018099547511312,3.7114466613421895,2741.6123614261483,5,7.239815803952408,27.347472992405063,-126.94285512915825,22.36787986755371
s1003_n480,480,0.8236247916666666,997.624,12,-145.1568693466146,4.0500284194946286,0.6168837798998116,0.8520833333333333,3.5541704013602646,2001.811473387683,2,3.6425245572050686,8.841104803811737,-187.90613102869577,21.99588394165039
s1004_n540,540,0.8123187037037037,559.626,1335,19.803870201582356,9.567124366760254,0.3285972909622442,0.06296296296296296,3.4930096807681768,3477.2930032141016,7,18.28155497488575,119.84390012827433,-46.221035902811565,25.30575180053711
s1005_n573,573,0.7892752181500874,670.292,264,-14.440371218926131,5.158502388000487,0.23856440351081595,0.1431064572425829,3.66293983800628,4327.5606607646205,4,13.631445484401533,62.60082060572952,-98.27806676051549,24.811260223388672
s1006_n610,610,0.772342131147541,1578.32,101,-11.580485713987912,6.054796409606933,0.12980210614049598,0.001639344262295082,3.7351170419579454,1345.5718121637506,2,5.232766777738739,40.45113351760783,-67.64238981113914,26.547882080078125
s1007_n660,660,0.7935542424242423,649.206,1318,-50.81964860286551,4.303985023498536,0.4619016494000398,0.18484848484848485,3.362862173382596,1881.88080345359,3,8.37512395602063,39.21847435124902,-88.64813004235644,26.81085205078125
s1008_n725,725,0.8004204137931035,1868.57,6689,-54.12165205534937,4.626262092590332,0.18061083611321926,0.0,3.6485280735145325,2160.3318789238797,0,4.62521698379647,66.51248939915915,-127.8392583364046,26.675466537475586
s1009_n776,776,0.769506443298969,1568.08,1287,-49.67660702436718,4.085950660705566,0.3305907064843425,0.06829896907216494,3.3077578296499084,2366.5043039897632,4,8.291605318385603,16.7821749109785,-51.035998240241646,26.84769630432129
s1010_n314,314,0.8009614649681528,522.886,1466,-21.114955675345428,4.666447257995605,0.483083663978944,0.4299363057324841,3.6371966232519557,1857.8279706161327,5,6.376783570887817,31.93717524310607,-54.83993997403882,18.159029006958008
s1011_n359,359,0.7864381615598885,656.021,599,-8.771216238137058,5.4742429733276365,0.3224659230947068,0.11142061281337047,3.995543945638737,3094.117461988675,7,10.509581909101765,37.03914750196659,-34.61084018835343,18.723918914794922
s1012_n424,424,0.7988099056603774,646.131,1361,-34.01572552387428,4.862655448913574,0.3736517169013355,0.1957547169811321,3.6683124537209726,1164.5715654511064,4,4.207077864694157,34.71997097133726,-88.83824260388252,20.12027359008789
s1013_n464,464,0.8090674568965517,975.057,2190,-25.173753153495767,4.885902595520019,0.22172476745511913,0.015086206896551725,3.6423433797955096,2123.6969068493986,2,7.207755114973791,54.82992555666155,-83.48442812077933,21.94020652770996
s1014_n513,513,0.7961489278752436,2520.39,2102,-94.29591475920095,4.0500284194946286,0.5754850494834759,0.7270955165692008,3.5669900500894207,4541.838849376553,13,25.10700747359609,4.47914918084883,-144.33905478620707,25.368961334228516
s1015_n587,587,0.791397444633731,854.562,4377,-29.89376917744221,5.13065128326416,0.2559279202466272,0.039182282793867124,3.6477378215988674,1571.4041815758223,4,5.332317954910788,60.168950028560474,-97.82217207754826,23.777250289916992
s1016_n609,609,0.7975495894909689,1534.24,6353,-10.729724040501665,5.6489660263061525,0.09471422270993553,0.0,3.4998819509743937,1844.6543823626107,3,4.011715774835814,91.0506369333012,-84.04509409161328,23.796001434326172
s1017_n677,677,0.7516592319054652,1020.81,2692,-1.9452599202212113,6.62966594696045,0.04570373987006677,0.0,2.52369505753134,2451.0373916751146,1,6.046275574677842,1.0324625157215632,-1.4333617644114682,25.802879333496094
s1018_n700,700,0.8061150000000001,939.384,42,-113.72071081066831,4.292617225646972,0.42902039954451515,0.2257142857142857,3.601630681029098,1056.4474121570065,2,1.616110713146004,43.508329537464434,-216.55900365780786,26.331533432006836
s1019_n793,793,0.8284055485498109,1055.3,1087,-281.22765625292004,4.0500284194946286,0.4160930749425411,0.24337957124842372,3.1241460434244277,2013.8824836429485,1,4.586539494378955,10.863476354524078,-389.2215855675387,26.492271423339844
s1020_n344,344,0.7921735465116279,1220.31,17,-1.092634746726148,6.556627845764161,0.29565640548736344,0.06395348837209303,3.890523755792361,2059.5433327171,4,5.407532832473088,46.86407218106711,-30.337127972140255,19.69886589050293
s1021_n390,390,0.775843076923077,1198.51,3333,-8.50801763084165,5.652887916564941,0.23323529461182838,0.0,3.937976693399822,2322.787195681312,11,9.444844185274812,33.9360392465377,-48.87751932520396,19.93398094177246
s1022_n434,434,0.7929467741935483,991.64,4016,-18.33104202818602,5.009697914123534,0.13281602332988043,0.0,3.622740891236827,1522.3805905111667,2,3.423172251679518,74.02910616080496,-80.62547684411615,22.19182777404785
s1023_n462,462,0.8015989177489178,599.918,3932,-58.350684498266105,4.147564125061035,0.39231564961071363,0.22510822510822512,3.6632674299296535,2698.0281439364653,4,11.30126057374083,69.28302464110259,-123.00120690995476,20.910709381103516
s1024_n539,539,0.8250781076066791,862.586,2930,-103.81157547443533,4.249135398864747,0.3851634564176079,0.23562152133580705,3.712877229654448,2223.0218083570276,2,2.8792604185780912,39.60766184673179,-175.54860967477052,25.344940185546875
s1025_n559,559,0.8152153846153847,1153.06,634,-5.3875922596568415,5.842559623718262,0.23982585544483,0.008944543828264758,3.639308593833421,1851.3900628264794,4,3.5693049057324355,112.17752529008044,-97.65177483057485,25.194366455078125
s1026_n631,631,0.7870904912836767,1170.66,1,-21.74579535907121,5.556318473815917,0.2524088360122207,0.05705229793977813,3.772596259831645,1594.8879352882602,2,2.942561538758257,59.1320113489816,-101.38601552963377,25.250812530517578
s1027_n699,699,0.7920118741058656,1976.14,2497,2.795862762764415,8.332103538513184,0.11557739971738437,0.0,3.1795072915238065,6283.798009300574,14,35.75794515986283,85.12478359658792,-52.93588401512369,25.9704532623291
s1028_n707,707,0.7737333804809052,1313.69,58,-32.27808045217546,4.456142997741699,0.43811688010008326,0.19377652050919378,3.1674351058590466,1058.2954786243286,1,1.6921868003526672,37.79352028393751,-67.27455896087585,26.440349578857422
s1029_n783,783,0.8017163473818646,2393.95,393,-25.47194239215223,4.0500284194946286,0.5157783606542248,0.5644955300127714,2.708424595281932,2982.6494206760603,6,17.112504501502478,2.4449175379895047,-44.61111320490708,26.910486221313477
s1030_n305,305,0.7900573770491803,349.547,338,-5.785520777857343,5.692049980163574,0.4215140054967231,0.11475409836065574,3.8026232406978693,2827.744709346081,10,7.829783703365146,24.213427415307216,-16.65975039386726,17.282705307006836
s1031_n364,364,0.7850461538461538,697.59,1714,-11.375217176101664,5.48686122894287,0.3303587985950991,0.1346153846153846,3.8519308359708666,2641.1769890321953,9,9.081066923679751,35.89446841076516,-38.93826356110841,18.497610092163086
s1032_n421,421,0.773021377672209,514.946,1777,-5.0013018860892124,5.624297904968262,0.2854254474829588,0.1021377672209026,3.4395398523785428,1736.7571064890349,2,7.14565365231272,13.842801024823157,-26.711432694399214,21.048803329467773
s1033_n460,460,0.8040969565217391,375.691,1173,6.080224794301799,10.749603462219238,0.2876648323985052,0.008695652173913044,3.0457330900850605,2054.5896341749535,5,5.472908902137055,87.08700959085115,-54.23597456624114,22.05337142944336
s1034_n545,545,0.791242752293578,584.447,3137,-5.366708090571663,6.103280067443847,0.38905436899419166,0.1669724770642202,3.4923185538406867,1874.0658942119817,3,9.986771509449138,64.51210708720637,-58.64711071166515,22.446332931518555
s1035_n581,581,0.8106285714285714,1054.34,272,-10.333512187474767,5.323562812805175,0.399420955930829,0.14457831325301204,3.6855830653080903,2084.149285449104,6,9.161822772904314,84.99011009372909,-74.1536062227796,23.70650291442871
s1036_n642,642,0.8097221183800623,1042.38,1584,-107.0691820392578,4.0500284194946286,0.5025363489216699,0.40965732087227413,3.3147382438304964,3468.544716171284,14,7.065455122441448,21.57765739304173,-175.28987131529686,24.33315086364746
s1037_n682,682,0.8159136363636363,2011.4,0,-41.15141540947882,4.0500284194946286,0.8381218185843996,1.0,2.922639311329312,834.0291108503956,1,0.6693512849795987,0.0,-66.76579543111741,24.945180892944336
s1038_n718,718,0.797684818941504,2520.69,2,-102.37690317462625,4.0500284194946286,0.7103870100829816,0.9930362116991643,3.3012616957909366,1384.0169903699805,1,3.194994875192938,11.406646851475104,-165.39272788154676,26.493223190307617
s1039_n794,794,0.7674250629722922,1072.42,7,3.4878184276783415,7.931045722961426,0.28784551159668137,0.011335012594458438,3.1788438880004604,2074.040676864367,6,4.429189320441765,45.3265409159974,-6.487368044716009,27.97176742553711
s1040_n323,323,0.7832934984520125,546.474,392,2.008639878454815,8.792149925231932,0.32529885071963616,0.11764705882352941,3.623938359153176,2111.1964056615934,6,7.71328265868925,48.19743050016417,-32.91662957577929,18.30662727355957
s1041_n398,398,0.7522231155778895,478.926,1349,-0.7949577651012927,6.696338081359863,0.11110735548786876,0.02512562814070352,3.006360962698235,1397.098884673533,4,5.820707928943094,6.60359181834426,-5.153374284311921,20.884822845458984
s1042_n440,440,0.8064020454545455,983.609,946,-70.40092127033913,4.172459602355956,0.47541936169328197,0.4090909090909091,3.6210449456838196,2967.3946122369753,6,6.517761870650579,17.545194153123465,-134.80865610027206,21.01287841796875
s1043_n457,457,0.7676636761487966,551.38,1954,-8.30744061861995,4.94643611907959,0.27307620071608135,0.03938730853391685,3.2876825713821685,1601.332974297055,3,6.004769872099849,26.961191167609975,-17.837330777571278,24.81951904296875
s1044_n534,534,0.789008988764045,1385.21,5619,31.78273731469787,9.577632713317868,0.07700644700768,0.0,3.2736182954783732,2240.978636231653,4,6.210400177067304,94.40543591715567,-29.423902120666117,23.012401580810547
s1045_n584,584,0.7937280821917809,1471.95,4660,-16.381423842894492,5.082053947448729,0.1407003300417046,0.0,3.399450880467633,2091.677083790204,1,3.652237010038535,58.93319954367452,-76.64952509289083,22.816781997680664
s1046_n640,640,0.77346703125,1231.43,5168,-4.241586742961154,6.494673347473144,0.17432512178618934,0.0171875,3.538124392951286,1283.9652252064886,1,2.070994798348548,26.7516541653871,-31.836026033925087,25.10375213623047
s1047_n672,672,0.7884227678571429,1746.01,1558,7.732312567983726,8.527249336242676,0.23383512833507356,0.0,3.886113372041713,4924.308245710967,22,13.851732997506547,164.2901272837273,-112.80669852552715,28.936426162719727
s1048_n717,717,0.8186970711297074,608.066,76,-197.02413581379258,4.0500284194946286,0.3817785820466081,0.2384937238493724,3.4388120565495037,3016.0627225572653,3,6.144757408219359,8.8960644817603,-280.31710501959907,24.882410049438477
s1049_n750,750,0.7682086666666668,963.451,447,37.78509069098703,10.431387519836424,0.31155776142028513,0.08,3.3361510670883363,662.5509969633648,0,2.9030045465276526,96.91433893363133,-31.355979838239815,27.20823860168457
s1050_n342,342,0.7975195906432748,851.578,698,-27.098777280512444,4.716010856628418,0.2350604998287184,0.0,3.874543952693391,1445.6672919257103,1,3.493511219194557,42.43830045483471,-82.96136714806072,18.7078857421875
s1051_n364,364,0.8383653846153847,759.049,693,-133.86212473139375,4.0500284194946286,0.6360540298764173,0.7197802197802198,3.316216551327909,843.2035124081112,2,1.1251858257384721,3.921489767144184,-227.2401700403878,19.3775691986084
s1052_n449,449,0.793403118040089,1090.25,1733,-16.768460107199843,5.050565147399902,0.43096808040229007,0.24053452115812918,3.5923198859731427,1736.0833890926774,3,5.611030790190783,53.8573055646048,-73.90508508539517,22.24604034423828
s1053_n469,469,0.8035980810234542,545.188,2609,3.345293367994117,9.465844535827639,0.41126249679928784,0.21108742004264391,3.2667000446621444,880.0372535836295,1,3.041646424308743,82.18484208724854,-51.9008456228112,22.08409309387207
s1054_n536,536,0.7857305970149254,1015.2,3524,23.53324980608543,9.445021247863771,0.43843059829431624,0.4123134328358209,3.6824506417773466,5123.815348600813,12,20.82000282358928,110.48844615424949,-45.22377032631994,29.759363174438477
s1055_n566,566,0.7707247349823322,990.23,1398,-13.751168901828215,4.9716157913208,0.28121838198185406,0.04946996466431095,3.6888447275803538,5012.480486782071,18,21.83109360560452,18.52842349205364,-28.906226839241675,23.554107666015625
s1056_n606,606,0.7845983498349837,3029.47,1373,-95.07835472615581,4.0500284194946286,0.5415951254670188,0.4636963696369637,3.4012717946496434,4871.443217422839,21,19.425571573194485,0.16586965253054411,-135.13623984964798,28.491207122802734
s1057_n697,697,0.8023235294117648,692.83,350,-64.46764834831443,4.635583686828612,0.5375001439299496,0.5494978479196556,3.5991722081740765,816.4038088526007,1,0.37123114643203514,61.645803100207246,-139.36194022955857,26.305274963378906
s1058_n700,700,0.7986867142857142,1930.58,628,-17.210490482852222,5.230176353454589,0.16958415551963008,0.0,3.5926647508002403,3323.579755918448,11,12.679151146092497,81.78542261799572,-82.2725786054438,25.728008270263672
s1059_n785,785,0.8245784713375796,595.137,190,-185.92894635173113,4.0500284194946286,0.7482024173919348,0.9439490445859873,3.125985873389054,5977.078481905474,18,30.740107942046855,0.6313896559477746,-296.038115422493,25.183319091796875
s1060_n305,305,0.8054898360655738,674.495,1081,-11.253934869857865,5.149464988708496,0.11830840337177535,0.0,3.5936671104767357,1641.303061576773,2,2.686103464519884,47.85607472093919,-50.02628175189625,17.80036735534668
s1061_n356,356,0.8082168539325844,737.753,2699,-29.275694746800674,4.667243003845214,0.18705263057349325,0.0,3.603316635530989,1414.9223465342434,2,3.199400261700036,28.620290158085353,-75.46562413073696,19.290983200073242
s1062_n411,411,0.8055335766423357,740.998,2097,-14.349801936554307,5.076426887512206,0.32136541996617785,0.0681265206812652,3.8052292837332278,1576.8358667613777,3,4.613374993955421,58.12026682529354,-69.50368828009194,20.662099838256836
s1063_n467,467,0.7988638115631691,1145.53,2130,-20.934980964730784,5.042607688903809,0.16740748442827116,0.0,3.866922170430282,2796.3284866050576,5,6.481324770123978,49.2704655415313,-74.01702024131714,21.39486312866211
s1064_n533,533,0.8059909943714823,1066.51,996,-95.87165988936052,4.0500284194946286,0.5075212897335267,0.5459662288930581,3.6937695125540735,3275.894343556801,7,12.32444828657345,22.9196251713948,-156.09029066069968,23.087528228759766
s1065_n590,590,0.7927333898305086,509.051,235,-33.42896169404496,4.742043113708497,0.14201693650052596,0.02711864406779661,3.6947755736268197,4391.295438074807,13,13.49178652157152,81.52447329261022,-111.68404734913744,24.504343032836914
s1066_n645,645,0.7833176744186046,198.369,1088,0.49534968264633883,8.137860298156738,0.3473921823264333,0.0,2.0905144481199947,12472.515008381997,18,82.04939898436677,1.6763500492271617,0.0,24.727495193481445
s1067_n657,657,0.7513911719939117,1998.17,5324,-39.679836901911386,4.0500284194946286,0.15140454686563629,0.0060882800608828,3.549170386606931,4388.444158372841,18,16.346790408385324,25.585812983161347,-73.126418070342,26.028547286987305
s1068_n742,742,0.8456494609164421,802.447,1789,-336.51239892107844,4.0500284194946286,0.6605985077874476,0.7560646900269542,2.87992816925601,1621.9767975779996,1,3.418049232008702,3.2190853241934203,-416.6297602933641,25.78980827331543
s1069_n752,752,0.7816453457446808,2015.77,7574,11.542315530853955,9.12796573638916,0.0920027095689985,0.0,2.8041965186510085,2038.6979878009242,4,2.9038746741628945,57.500131603707445,-33.603562193410504,25.071962356567383
s1070_n308,308,0.8004340909090909,623.748,1805,-17.907522814989512,4.9656476974487305,0.21847629316483863,0.02922077922077922,3.891357947913526,1423.0458880834328,3,3.10446982439172,35.42793305040861,-57.92472703764884,18.613880157470703
s1071_n365,365,0.8035471232876713,920.335,225,-26.31578220264219,4.943707847595214,0.402712875848138,0.16986301369863013,3.882566151344989,2413.9146464663786,4,6.23865963518605,47.99906157337604,-76.63061462912616,20.67620086669922
s1072_n423,423,0.7766286052009457,1091.43,811,-20.507275860624723,4.058724784851075,0.3230541946450668,0.0,3.2836150264965256,3192.640904238962,11,7.704447174704697,20.538056343039116,-14.845478931261788,20.770933151245117
s1073_n471,471,0.8000836518046708,456.65,761,-6.008037751890328,6.178705406188963,0.4164964059870293,0.1910828025477707,3.3794715462337517,1327.9686779649821,2,7.824604511296394,62.55322197015376,-50.996907415261575,21.521005630493164
s1074_n536,536,0.8030947761194029,691.872,527,-22.987525925386095,4.918243980407714,0.5912628050869869,0.7238805970149254,3.531695332454899,1516.4702330828668,4,8.148517927948257,62.26273751973163,-88.91798300138326,21.15088653564453
s1075_n590,590,0.8042969491525425,839.4,1086,1.496358683545341,9.524575233459473,0.5015670828346368,0.5508474576271186,2.5746027464905263,2884.0004932270367,7,10.390514254225188,4.682003402276502,0.0,24.250001907348633
s1076_n628,628,0.8156691082802547,845.457,68,-36.14477118115869,4.9641130447387685,0.29759788248917424,0.07961783439490445,3.3741988355655668,1073.9720734941882,2,1.43771992377467,94.6528190425137,-135.63066975116342,25.61196517944336
s1077_n650,650,0.7615193846153845,948.121,1841,4.763415695790952,9.100889015197755,0.1690074057818636,0.02923076923076923,2.7234313562854116,1416.8932598105698,1,5.3438636996801225,7.101372807638331,-2.5828407153582047,24.76862335205078
s1078_n709,709,0.7660132581100141,768.487,1503,-20.497899164011308,4.602787590026855,0.2820524037849895,0.10296191819464035,3.3822644492857328,2233.6694557107353,6,10.213059660047001,53.42481666702659,-51.59527290560024,28.490381240844727
s1079_n772,772,0.7759038860103629,1015.21,170,-16.6283913293409,5.94003849029541,0.322150594713625,0.02461139896373057,3.295744762821364,1273.8898367887127,4,2.311265916228202,57.55231431360131,-70.34917163495777,28.8603515625
s1080_n328,328,0.7760003048780487,1039.91,417,17.48959095777485,11.509556770324707,0.5842686912198014,0.8323170731707317,3.4894757906933207,1184.5762923331308,7,5.312730873072973,24.885637149750142,-1.8860201539384973,17.397056579589844
s1081_n377,377,0.7969108753315649,781.35,1445,-25.94574105011681,4.652578544616699,0.4041529436674853,0.21750663129973474,3.6753630347538837,1330.393276609181,2,5.2628418515617295,30.438978921914178,-59.948652693703956,19.52313804626465
s1082_n437,437,0.7790107551487413,1245.51,3497,-48.12731367339007,4.0500284194946286,0.41715466883740926,0.2288329519450801,3.5589565063443063,1571.8413404855048,2,4.66468579195783,15.025710431319839,-57.46645203585436,20.075403213500977
s1083_n450,450,0.8101342222222223,1125.41,706,-15.391992285684822,5.035673332214355,0.34446912969463744,0.09555555555555556,3.728897963676616,1623.063930712809,2,3.857389753758431,56.390488785983514,-72.86885913077447,20.679533004760742
s1084_n510,510,0.8011007843137253,1175.12,1624,-41.305989940015955,4.422266960144044,0.42604618730426064,0.2803921568627451,3.6758942066718143,2068.93462973521,6,9.262248903653681,36.208593727737025,-88.07959350340953,23.529640197753906
s1085_n564,564,0.7826773049645389,64.6636,419,0.5077470728619708,8.492952156066895,0.1670843549860169,0.0,2.0576709011093977,12721.6225039185,34,99.01454545717087,6.746420433067974,-4.327569785062494,21.221494674682617
s1086_n600,600,0.7956419999999998,419.412,101,-27.801066042698473,4.397712516784668,0.4045490019817535,0.32,3.0031459718294817,9843.837163653265,29,57.9608113518297,21.935308358853767,-42.09584915976393,23.221403121948242
s1087_n652,652,0.819189417177914,1464.43,610,-156.01595946283516,4.0500284194946286,0.6947007006411158,0.9233128834355828,3.5850946332431604,2365.756977856475,4,7.94402792136022,3.911688264940439,-251.09714040219683,24.75452995300293
s1088_n735,735,0.7998749659863945,803.77,1841,1.5947936446727482,8.02568531036377,0.38499227423131327,0.021768707482993196,3.296705905322085,2438.275425966687,2,15.71018952983918,111.78858097582304,-72.44982339094162,28.297142028808594
s1089_n778,778,0.7747398457583546,1558.9,1147,-19.428107440789915,4.57044620513916,0.28658467885762257,0.014138817480719794,3.566432478378354,9204.110365475117,26,23.795379236176462,31.640426215420117,-55.216112525665736,27.052335739135742
s1090_n333,333,0.8093261261261262,639.315,1261,-10.723573650789767,5.450882148742674,0.31176660631708514,0.06606606606606606,3.8894733802533055,2408.316977870235,5,7.233146152971696,46.116525324348075,-55.40284316374185,19.484127044677734
s1091_n397,397,0.8044193954659951,924.7,2974,-66.0468776896143,4.0500284194946286,0.41976639742971666,0.2972292191435768,3.591456710801374,1684.1630625222856,2,4.9156595241661885,16.418071922084476,-129.37010595090698,20.03169822692871
s1092_n442,442,0.8129576923076922,1281.53,581,-19.208312655394053,4.971161079406738,0.28560039150160554,0.03167420814479638,3.736211769271998,2540.267513807827,7,4.801744750086948,53.8423506608471,-75.54155099226622,20.9259090423584
s1093_n486,486,0.7533123456790124,1042.42,57,16.308099749427374,9.187276649475098,0.1149394922306701,0.0,3.3459345069326156,3019.846730587638,1,7.1384088262216805,41.6865110219889,-13.838694411307609,23.47514533996582
s1094_n524,524,0.8029433206106871,1443.42,1629,-5.127445878969127,5.791461372375489,0.2707105076499472,0.015267175572519083,3.5801189069653185,2807.293933065535,7,7.979574744754423,64.6002626991712,-61.69927298556591,23.070642471313477
s1095_n592,592,0.7908,1571.1,1283,-15.483086586223447,4.0500284194946286,0.5646238973610626,0.8344594594594594,3.3082820282615684,3211.5471225907327,7,14.009971724726881,9.73892344830465,-22.277839796623894,27.11861801147461
s1096_n618,618,0.7681247572815534,2127.75,6388,-24.53686965486224,4.0500284194946286,0.43666879928095775,0.2766990291262136,3.2056641978152163,5429.595631491285,20,21.30820358356363,1.0322533995357537,-36.71082335996624,29.324613571166992
s1097_n677,677,0.8141317577548005,888.031,958,-68.63992191398127,4.636663627624511,0.23179809476687452,0.05465288035450517,3.6343666414481133,2175.2266017468996,1,7.370029397340553,65.98991014984098,-141.31680917999176,25.07870101928711
s1098_n708,708,0.7919745762711862,305.293,5,-0.23989838581069733,5.525000190734862,0.35588209729059045,0.0014124293785310734,2.3670732673521853,12217.03675943613,35,78.75562301021257,0.0,0.0,24.553577423095703
s1099_n768,768,0.7932885416666666,1259.86,2582,-2.336143896475619,6.009779930114745,0.3013454631657944,0.061197916666666664,3.1811396418081603,2972.1600334835466,5,11.741295690729634,89.26608911035363,-64.93217754061759,28.38230323791504
s1100_n339,339,0.798461651917404,573.678,1453,-9.621104708323912,5.490953636169433,0.45971987969638795,0.31563421828908556,3.6082805401042704,2060.032140252451,4,7.453360416551299,44.31483009468169,-43.24096637581877,18.577327728271484
s1101_n380,380,0.7900018421052631,890.766,3294,-17.162624000955397,4.940013313293456,0.28428810226628365,0.02894736842105263,3.6781280206920814,1738.1070452352737,2,6.097370221114615,54.658167098856225,-66.96583021330716,21.382200241088867
