target,mode,lambda,length,seed,guided,unguided,delta,abs_delta,scRMSD_min,designable
contact_order,baseline,16,300,42,0.0729,0.2094,-0.1365,0.1365,,
contact_order,baseline,16,400,42,0.0486,0.0722,-0.0236,0.0236,,
contact_order,baseline,16,300,43,0.0747,0.1946,-0.1199,0.1199,,
contact_order,baseline,16,400,43,0.0283,0.07,-0.0417,0.0417,,
contact_order,baseline,16,300,44,0.0167,0.1086,-0.0919,0.0919,,
contact_order,baseline,16,400,44,0.0332,0.0743,-0.0411,0.0411,,
contact_order,baseline,16,300,45,0.0294,0.1278,-0.0984,0.0984,,
contact_order,baseline,16,400,45,0.029,0.1231,-0.0941,0.0941,,
contact_order,baseline,16,300,46,0.0674,0.1697,-0.1022,0.1022,,
contact_order,baseline,16,400,46,0.0375,0.1008,-0.0633,0.0633,,
contact_order,baseline,16,300,47,0.0563,0.1909,-0.1346,0.1346,,
contact_order,baseline,16,400,47,0.056,0.0697,-0.0137,0.0137,,
contact_order,baseline,32,300,42,0.01,0.2094,-0.1994,0.1994,,
contact_order,baseline,32,400,42,0.0078,0.0722,-0.0643,0.0643,,
contact_order,baseline,32,300,43,0.01,0.1946,-0.1846,0.1846,,
contact_order,baseline,32,400,43,0.0075,0.07,-0.0625,0.0625,,
contact_order,baseline,32,300,44,0.01,0.1086,-0.0986,0.0986,,
contact_order,baseline,32,400,44,0.018,0.0743,-0.0563,0.0563,,
contact_order,baseline,32,300,45,0.01,0.1278,-0.1178,0.1178,,
contact_order,baseline,32,400,45,0.0096,0.1231,-0.1135,0.1135,,
contact_order,baseline,32,300,46,0.01,0.1697,-0.1597,0.1597,,
contact_order,baseline,32,400,46,0.0233,0.1008,-0.0775,0.0775,,
contact_order,baseline,32,300,47,0.01,0.1909,-0.1809,0.1809,,
contact_order,baseline,32,400,47,0.0141,0.0697,-0.0556,0.0556,,
contact_order,baseline,4,300,42,0.1871,0.2094,-0.0223,0.0223,,
contact_order,baseline,4,400,42,0.0623,0.0722,-0.0098,0.0098,,
contact_order,baseline,4,300,43,0.1727,0.1946,-0.022,0.022,,
contact_order,baseline,4,400,43,0.0532,0.07,-0.0168,0.0168,,
contact_order,baseline,4,300,44,0.0765,0.1086,-0.0321,0.0321,,
contact_order,baseline,4,400,44,0.0509,0.0743,-0.0235,0.0235,,
contact_order,baseline,4,300,45,0.0921,0.1278,-0.0357,0.0357,,
contact_order,baseline,4,400,45,0.092,0.1231,-0.0311,0.0311,,
contact_order,baseline,4,300,46,0.1624,0.1697,-0.0072,0.0072,,
