arm,target,mode,lambda,length,n,unguided_mean,guided_mean,mean_delta,delta_sigma,s_mean,s_min,frac_dP_pos,n_folded,desig_rate,ung_desig_rate,mean_scRMSD
contact_order_baseline_w16,contact_order,baseline,16,300,6,0.1668,0.0529,-0.1139,-2.817,1.0,1.0,0.964,0,nan,1.0,nan
contact_order_baseline_w16,contact_order,baseline,16,400,6,0.085,0.0388,-0.0463,-1.35,1.0,1.0,0.964,0,nan,1.0,nan
contact_order_baseline_w32,contact_order,baseline,32,300,6,0.1668,0.01,-0.1568,-3.879,1.0,1.0,0.985,0,nan,1.0,nan
contact_order_baseline_w32,contact_order,baseline,32,400,6,0.085,0.0134,-0.0716,-2.091,1.0,1.0,0.985,0,nan,1.0,nan
contact_order_baseline_w4,contact_order,baseline,4,300,6,0.1668,0.1434,-0.0235,-0.581,1.0,1.0,0.833,0,nan,1.0,nan
contact_order_baseline_w4,contact_order,baseline,4,400,6,0.085,0.0677,-0.0173,-0.505,1.0,1.0,0.833,0,nan,1.0,nan
contact_order_baseline_w8,contact_order,baseline,8,300,6,0.1668,0.1156,-0.0513,-1.267,1.0,1.0,0.911,0,nan,1.0,nan
contact_order_baseline_w8,contact_order,baseline,8,400,6,0.085,0.0537,-0.0313,-0.914,1.0,1.0,0.911,0,nan,1.0,nan
contact_order_prop_w16,contact_order,prop,16,300,6,0.1668,0.086,-0.0808,-1.998,0.483,0.0,0.929,0,nan,1.0,nan
contact_order_prop_w16,contact_order,prop,16,400,6,0.085,0.0466,-0.0384,-1.122,0.483,0.0,0.929,0,nan,1.0,nan
contact_order_prop_w32,contact_order,prop,32,300,6,0.1668,0.0697,-0.0971,-2.402,0.298,0.0,0.991,0,nan,1.0,nan
contact_order_prop_w32,contact_order,prop,32,400,6,0.085,0.0466,-0.0384,-1.121,0.298,0.0,0.991,0,nan,1.0,nan
contact_order_prop_w4,contact_order,prop,4,300,6,0.1668,0.1447,-0.0222,-0.548,0.834,0.0,0.854,0,nan,1.0,nan
contact_order_prop_w4,contact_order,prop,4,400,6,0.085,0.0669,-0.0181,-0.529,0.834,0.0,0.854,0,nan,1.0,nan
contact_order_prop_w8,contact_order,prop,8,300,6,0.1668,0.1201,-0.0468,-1.156,0.652,0.0,0.895,0,nan,1.0,nan
contact_order_prop_w8,contact_order,prop,8,400,6,0.085,0.0577,-0.0273,-0.796,0.652,0.0,0.895,0,nan,1.0,nan
rg_baseline_w16,rg,baseline,16,300,6,17.7751,10.9036,-6.8714,-14.014,1.0,1.0,0.995,0,nan,1.0,nan
rg_baseline_w16,rg,baseline,16,400,6,20.564,13.9659,-6.5981,-5.406,1.0,1.0,0.995,0,nan,1.0,nan
rg_baseline_w32,rg,baseline,32,300,6,17.7751,0.0015,-17.7736,-36.249,1.0,1.0,0.825,4,0.0,1.0,32.95
rg_baseline_w32,rg,baseline,32,400,6,20.564,1.0232,-19.5408,-16.01,1.0,1.0,0.825,4,0.0,1.0,26.463
rg_baseline_w4,rg,baseline,4,300,6,17.7751,16.5893,-1.1858,-2.418,1.0,1.0,0.926,1,1.0,1.0,0.999
rg_baseline_w4,rg,baseline,4,400,6,20.564,18.9648,-1.5993,-1.31,1.0,1.0,0.926,0,nan,1.0,nan
rg_baseline_w8,rg,baseline,8,300,6,17.7751,15.4859,-2.2891,-4.669,1.0,1.0,0.969,0,nan,1.0,nan
rg_baseline_w8,rg,baseline,8,400,6,20.564,17.5874,-2.9766,-2.439,1.0,1.0,0.969,0,nan,1.0,nan
rg_prop_w16,rg,prop,16,300,6,17.7751,14.3433,-3.4318,-6.999,0.634,0.0,0.992,0,nan,1.0,nan
rg_prop_w16,rg,prop,16,400,6,20.564,16.4653,-4.0988,-3.358,0.634,0.0,0.992,0,nan,1.0,nan
rg_prop_w32,rg,prop,32,300,6,17.7751,14.1394,-3.6356,-7.415,0.358,0.0,0.996,0,nan,1.0,nan
rg_prop_w32,rg,prop,32,400,6,20.564,16.1653,-4.3987,-3.604,0.358,0.0,0.996,0,nan,1.0,nan
rg_prop_w4,rg,prop,4,300,6,17.7751,16.6112,-1.1638,-2.374,0.896,0.0,0.911,0,nan,1.0,nan
rg_prop_w4,rg,prop,4,400,6,20.564,19.0734,-1.4906,-1.221,0.896,0.0,0.911,0,nan,1.0,nan
rg_prop_w8,rg,prop,8,300,6,17.7751,15.5835,-2.1915,-4.47,0.833,0.0,0.969,0,nan,1.0,nan
rg_prop_w8,rg,prop,8,400,6,20.564,17.8027,-2.7614,-2.262,0.833,0.0,0.969,0,nan,1.0,nan
