protein_id,scRMSD_ca_min,scRMSD_ca_all
s42_n300,3.1554,13.4484;20.0968;11.0827;3.1554;4.8001;16.6021;6.2606;22.4403
s42_n400,3.2560,19.9819;4.8367;18.5914;4.1138;15.1333;3.2560;6.9414;7.4823
s43_n300,2.4391,3.6461;3.4859;3.8311;4.9776;2.4391;3.7233;2.6906;2.6826
s43_n400,6.3402,9.3730;12.0987;6.3402;6.6676;10.4934;8.8901;9.0035;10.7841
s44_n300,14.3060,20.2822;16.8289;21.3206;17.1278;14.3060;20.7052;17.0085;19.5042
s44_n400,2.8507,5.3814;3.9438;2.8507;5.3776;6.4934;3.4525;4.6346;3.6064
s45_n300,7.3367,8.8835;8.9326;7.3367;9.7245;10.4370;13.6951;7.3740;9.0068
s45_n400,4.2214,4.5468;5.6476;6.7749;4.3131;4.2214;6.3690;5.3865;14.4657
s46_n300,3.9235,4.1754;6.1206;3.9235;5.7604;4.1576;5.4456;5.8870;5.5200
s46_n400,2.5300,5.0756;5.0910;3.1187;5.5521;3.4936;2.5300;3.1576;3.0328
s47_n300,2.9917,2.9917;3.4919;3.6382;5.7300;3.1745;4.7862;4.4466;3.9663
s47_n400,2.5734,12.8384;10.3151;3.3179;2.8049;2.8751;2.5734;3.4416;3.7431
s48_n300,16.4638,16.4638;21.5509;23.6141;20.8819;21.1650;22.1892;20.0188;21.2161
s48_n400,7.2286,17.4055;7.6390;11.7014;13.3988;7.2286;22.9978;13.2914;8.8833
s49_n300,2.0098,2.2452;7.3417;2.0098;2.2359;2.7907;2.5601;3.1037;2.6292
s49_n400,1.2226,1.6366;1.8043;1.2226;1.9518;1.3134;1.3720;1.4573;1.4356
s50_n300,1.1395,2.2042;1.1395;2.0803;1.1608;1.3827;1.3533;1.3285;1.9980
s50_n400,10.3465,12.9218;12.1856;11.3931;11.7521;12.4395;10.3465;11.1853;11.3553
s51_n300,2.2936,2.2936;2.5393;2.8059;2.7937;2.5387;2.8569;3.1100;4.1167
s51_n400,3.3114,3.7409;3.4620;4.1389;7.8686;3.6457;5.3662;5.7854;3.3114
s52_n300,2.7153,4.1611;2.7153;2.9022;3.4321;2.8965;7.2790;3.0327;2.8354
s52_n400,5.3843,13.5704;11.3494;9.4933;5.3843;7.3087;7.1123;7.2188;8.0384
s53_n300,3.9962,5.0559;3.9962;5.4146;4.6064;4.5894;5.0828;5.4366;5.2740
s53_n400,5.9187,10.7819;6.4284;8.5052;6.2124;5.9187;6.8293;7.7286;10.0355
s54_n300,3.5099,5.9629;3.8604;6.2522;3.5099;6.2074;4.4047;4.4887;4.2303
s54_n400,3.3940,5.8843;4.4216;5.8965;3.3940;20.1924;4.6757;6.9757;8.0861
s55_n300,3.3738,4.8394;3.3738;8.0992;8.0008;5.6425;7.9710;11.7897;6.0991
s55_n400,2.1608,2.2347;2.3971;2.2333;2.3901;2.5394;2.5824;2.3779;2.1608
s56_n300,6.1249,13.3247;15.0939;6.1249;22.0782;23.3090;14.4230;15.5847;16.0645
s56_n400,10.1907,14.9862;12.8483;16.6450;11.7917;14.9367;17.4420;11.6151;10.1907
s57_n300,2.7147,3.0421;2.9961;3.2835;2.7373;3.3677;2.7147;2.8315;3.3897
s57_n400,7.4073,9.8835;8.5015;9.7456;8.3892;7.4073;10.6542;10.4258;9.8446
