arm,L,sample_idx,ca_esmfold,bb3o_esmfold,wall_s
baseline,50,0,1.4561059474945068,1.4561059474945068,13.925494909286499
baseline,50,1,6.18577241897583,6.18577241897583,13.921541929244995
baseline,50,2,1.1726539134979248,1.1726539134979248,14.032586574554443
baseline,100,0,5.097042560577393,5.097042560577393,21.180381536483765
baseline,100,1,10.612540245056152,10.612540245056152,20.36794137954712
baseline,100,2,3.942317008972168,3.942317008972168,22.00436544418335
baseline,200,0,13.366607666015625,13.366607666015625,59.49392747879028
baseline,200,1,15.448302268981934,15.448302268981934,58.91098141670227
baseline,200,2,13.54939079284668,13.54939079284668,60.06497645378113
hybrid,50,0,8.117890357971191,8.117890357971191,12.977606296539307
hybrid,50,1,2.119670867919922,2.119670867919922,11.726774454116821
hybrid,50,2,1.1283230781555176,1.1283230781555176,11.486496686935425
hybrid,100,0,6.047528266906738,6.047528266906738,21.310965538024902
hybrid,100,1,5.612373352050781,5.612373352050781,21.243939876556396
hybrid,100,2,12.169475555419922,12.169475555419922,21.2890408039093
hybrid,200,0,12.88440227508545,12.88440227508545,59.45917105674744
hybrid,200,1,16.086952209472656,16.086952209472656,58.84318661689758
hybrid,200,2,16.97522735595703,16.97522735595703,60.75739336013794
