label,n_pairs,mean,median,p10,p90,set,direction,w,L
hydpatch_min_w128_L300,120,0.4967158938087291,0.3471202811886013,0.28801397005044105,0.8385403219092687,steered,hydpatch_min,128,300
hydpatch_min_w128_L400,120,0.33212023530349793,0.2996834176615151,0.25144127680684575,0.462499166845931,steered,hydpatch_min,128,400
hydpatch_min_w128_L500,120,0.3949256436289203,0.3749835352292137,0.2920451102446427,0.5366579036798222,steered,hydpatch_min,128,500
hydpatch_min_w32_L300,120,0.49656153829326244,0.3485791969810783,0.29280592147648743,0.8395817974385514,steered,hydpatch_min,32,300
hydpatch_min_w32_L400,120,0.33121736358904896,0.2984965624190911,0.24752719553965621,0.46386413471719457,steered,hydpatch_min,32,400
hydpatch_min_w32_L500,120,0.39526118102739133,0.3743158778614789,0.2930316109137429,0.5381566098918398,steered,hydpatch_min,32,500
hydpatch_min_w48_L300,120,0.49612888963783014,0.34589801274723336,0.2898725277932887,0.839202935772423,steered,hydpatch_min,48,300
hydpatch_min_w48_L400,120,0.3312515834067084,0.2993980357771555,0.24764608906993646,0.46443604348137957,steered,hydpatch_min,48,400
hydpatch_min_w48_L500,120,0.39534287501685894,0.37521922175032296,0.2921155698450478,0.5367307781124487,steered,hydpatch_min,48,500
hydpatch_min_w64_L300,120,0.49599659105949634,0.348987753778498,0.2876922078015459,0.8391146075499818,steered,hydpatch_min,64,300
hydpatch_min_w64_L400,120,0.33133344803390996,0.30096332789753527,0.24692402140548286,0.4660719060253323,steered,hydpatch_min,64,400
hydpatch_min_w64_L500,120,0.394903155007759,0.37385617683738276,0.29314379572668897,0.5386069733894596,steered,hydpatch_min,64,500
