arm,ckpt,L,n,wall_s,wall_s_per_protein,peak_gpu_mb,gpu
canonical_dense,baseline_wd0.05_step2646.ckpt,100,2,8.910807958018268,4.455403979009134,769.453125,NVIDIA A100-SXM4-80GB
canonical_dense,baseline_wd0.05_step2646.ckpt,200,2,8.950773081014631,4.475386540507316,1239.63720703125,NVIDIA A100-SXM4-80GB
canonical_dense,baseline_wd0.05_step2646.ckpt,300,2,12.224599558976479,6.112299779488239,2022.35986328125,NVIDIA A100-SXM4-80GB
canonical_dense,baseline_wd0.05_step2646.ckpt,400,2,18.2523604890157,9.12618024450785,3117.6181640625,NVIDIA A100-SXM4-80GB
canonical_dense,baseline_wd0.05_step2646.ckpt,500,2,26.184139110991964,13.092069555495982,4525.4169921875,NVIDIA A100-SXM4-80GB
canonical_dense,baseline_wd0.05_step2646.ckpt,600,2,36.069421173015144,18.034710586507572,6245.75439453125,NVIDIA A100-SXM4-80GB
canonical_dense,baseline_wd0.05_step2646.ckpt,700,2,47.556939767993754,23.778469883996877,8278.62744140625,NVIDIA A100-SXM4-80GB
canonical_dense,baseline_wd0.05_step2646.ckpt,800,2,61.81507408601465,30.907537043007324,10624.04052734375,NVIDIA A100-SXM4-80GB
canonical_dense,baseline_wd0.05_step2646.ckpt,900,2,77.72744357699412,38.86372178849706,13281.9921875,NVIDIA A100-SXM4-80GB
canonical_dense,baseline_wd0.05_step2646.ckpt,1000,2,94.42260933801299,47.211304669006495,16252.4794921875,NVIDIA A100-SXM4-80GB
canonical_dense,baseline_wd0.05_step2646.ckpt,1200,2,136.60105737598496,68.30052868799248,23131.07275390625,NVIDIA A100-SXM4-80GB
canonical_dense,baseline_wd0.05_step2646.ckpt,1400,2,183.06878331000917,91.53439165500458,31259.8173828125,NVIDIA A100-SXM4-80GB
canonical_dense,baseline_wd0.05_step2646.ckpt,1600,2,236.27701317702304,118.13850658851152,40638.7138671875,NVIDIA A100-SXM4-80GB
canonical_dense,baseline_wd0.05_step2646.ckpt,1800,2,297.65975520800566,148.82987760400283,51267.765625,NVIDIA A100-SXM4-80GB
canonical_dense,baseline_wd0.05_step2646.ckpt,2000,2,364.9472446520231,182.47362232601154,63146.966796875,NVIDIA A100-SXM4-80GB
canonical_dense,baseline_wd0.05_step2646.ckpt,2200,2,441.1297471720027,220.56487358600134,76276.32373046875,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,100,2,9.98583590099588,4.99291795049794,685.216796875,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,200,2,10.06041625799844,5.03020812899922,758.62646484375,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,300,2,10.11178468700382,5.05589234350191,832.03515625,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,400,2,10.04749246899155,5.023746234495775,905.44287109375,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,500,2,10.726662100001704,5.363331050000852,978.8525390625,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,600,2,12.216204289987218,6.108102144993609,1052.26123046875,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,700,2,13.476905292016454,6.738452646008227,1125.6689453125,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,800,2,14.907010477996664,7.453505238998332,1199.07763671875,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,900,2,16.67011602400453,8.335058012002264,1272.4873046875,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,1000,2,17.955711054994026,8.977855527497013,1345.89501953125,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,1200,2,20.915638365026098,10.457819182513049,1492.71337890625,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,1400,2,23.51576860199566,11.75788430099783,1639.52978515625,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,1600,2,26.51755620900076,13.25877810450038,1786.34619140625,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,1800,2,29.370594191976124,14.685297095988062,1933.166015625,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,2000,2,32.16168344797916,16.08084172398958,2079.98193359375,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,2200,2,34.970583232003264,17.485291616001632,2226.80029296875,NVIDIA A100-SXM4-80GB
sparse_K40,sparse_K40_step1259.ckpt,2400,2,38.96684518601978,19.48342259300989,2373.61669921875,NVIDIA A100-SXM4-80GB
