arm,ckpt,L,n,wall_s,wall_s_per_protein,peak_gpu_mb,gpu
official_LD3,LD3_ucond_notri_800.ckpt,100,2,10.03108639299171,5.015543196495855,1747.29833984375,NVIDIA A100-SXM4-80GB
official_LD3,LD3_ucond_notri_800.ckpt,200,2,9.307770788000198,4.653885394000099,2217.505859375,NVIDIA A100-SXM4-80GB
official_LD3,LD3_ucond_notri_800.ckpt,300,2,12.971412132988917,6.485706066494458,3000.25390625,NVIDIA A100-SXM4-80GB
official_LD3,LD3_ucond_notri_800.ckpt,400,2,19.31764214899158,9.65882107449579,4095.53564453125,NVIDIA A100-SXM4-80GB
official_LD3,LD3_ucond_notri_800.ckpt,500,2,27.64324141299585,13.821620706497924,5503.35986328125,NVIDIA A100-SXM4-80GB
official_LD3,LD3_ucond_notri_800.ckpt,600,2,38.08315510698594,19.04157755349297,7223.720703125,NVIDIA A100-SXM4-80GB
official_LD3,LD3_ucond_notri_800.ckpt,700,2,50.28016964002745,25.140084820013726,9256.619140625,NVIDIA A100-SXM4-80GB
official_LD3,LD3_ucond_notri_800.ckpt,800,2,65.10636856799829,32.553184283999144,11602.0556640625,NVIDIA A100-SXM4-80GB
official_LD3,LD3_ucond_notri_800.ckpt,900,2,81.82064439999522,40.91032219999761,14260.03271484375,NVIDIA A100-SXM4-80GB
official_LD3,LD3_ucond_notri_800.ckpt,1000,2,99.37663066599634,49.68831533299817,17230.54345703125,NVIDIA A100-SXM4-80GB
official_LD3,LD3_ucond_notri_800.ckpt,1200,2,143.71238619100768,71.85619309550384,24109.185546875,NVIDIA A100-SXM4-80GB
official_LD3,LD3_ucond_notri_800.ckpt,1400,2,192.40193168600672,96.20096584300336,32237.97900390625,NVIDIA A100-SXM4-80GB
official_LD3,LD3_ucond_notri_800.ckpt,1600,2,244.99317287199665,122.49658643599832,41616.92431640625,NVIDIA A100-SXM4-80GB
official_LD3,LD3_ucond_notri_800.ckpt,1800,2,308.6047762199887,154.30238810999435,52246.02490234375,NVIDIA A100-SXM4-80GB
official_LD3,LD3_ucond_notri_800.ckpt,2000,2,379.82352312799776,189.91176156399888,64125.27490234375,NVIDIA A100-SXM4-80GB
official_LD3,LD3_ucond_notri_800.ckpt,2200,2,456.8069128979987,228.40345644899935,77254.6806640625,NVIDIA A100-SXM4-80GB
