arm,ckpt,L,n,wall_s,wall_s_per_protein,peak_gpu_mb,gpu
canonical_dense,baseline_wd0.05_step2646.ckpt,50,2,5.3096319870091975,2.6548159935045987,652.9072265625,NVIDIA L4
canonical_dense,baseline_wd0.05_step2646.ckpt,100,2,5.481461577001028,2.740730788500514,774.078125,NVIDIA L4
canonical_dense,baseline_wd0.05_step2646.ckpt,200,2,16.618721294915304,8.309360647457652,1242.16845703125,NVIDIA L4
canonical_dense,baseline_wd0.05_step2646.ckpt,300,2,33.72650858806446,16.86325429403223,2025.46923828125,NVIDIA L4
canonical_dense,baseline_wd0.05_step2646.ckpt,400,2,56.69500014896039,28.347500074480195,3118.4931640625,NVIDIA L4
canonical_dense,baseline_wd0.05_step2646.ckpt,500,2,87.3153741939459,43.65768709697295,4526.2919921875,NVIDIA L4
sparse_K40,sparse_K40_step1259.ckpt,50,2,6.390823940047994,3.195411970023997,649.66943359375,NVIDIA L4
sparse_K40,sparse_K40_step1259.ckpt,100,2,6.284518957021646,3.142259478510823,687.458984375,NVIDIA L4
sparse_K40,sparse_K40_step1259.ckpt,200,2,10.867933355970308,5.433966677985154,770.72412109375,NVIDIA L4
sparse_K40,sparse_K40_step1259.ckpt,300,2,16.667141175013967,8.333570587506983,839.0205078125,NVIDIA L4
sparse_K40,sparse_K40_step1259.ckpt,400,2,21.693006796995178,10.846503398497589,908.95458984375,NVIDIA L4
sparse_K40,sparse_K40_step1259.ckpt,500,2,26.885396893019788,13.442698446509894,983.734375,NVIDIA L4
