label,n_pairs,mean,median,p10,p90,set,direction,w,L
iupred_max_w128_L300,120,0.49628978652418093,0.3462021600860976,0.29283459944077284,0.8400006749913198,steered,iupred_max,128,300
iupred_max_w128_L400,120,0.3323607936249948,0.3005170438732923,0.24924444531573733,0.46632646230290026,steered,iupred_max,128,400
iupred_max_w128_L500,120,0.3941885685615793,0.3729861469854586,0.2902676541443896,0.5380783649922103,steered,iupred_max,128,500
iupred_max_w16_L300,120,0.49580902943127125,0.3482821064709547,0.29062992120958936,0.8394168349388232,steered,iupred_max,16,300
iupred_max_w16_L400,120,0.3312426449468607,0.29875467081794216,0.24773718021321672,0.4635504895236599,steered,iupred_max,16,400
iupred_max_w16_L500,120,0.39502921668375907,0.37571762663554537,0.29202358353675045,0.5380569607579064,steered,iupred_max,16,500
iupred_max_w32_L300,120,0.4959394155490934,0.3468195895470176,0.29205597884752144,0.8386754336850782,steered,iupred_max,32,300
iupred_max_w32_L400,120,0.3315651335532427,0.30214302645446967,0.2506801983073991,0.46370002514852104,steered,iupred_max,32,400
iupred_max_w32_L500,120,0.39444283132444374,0.3764061050442298,0.2906685488365676,0.5363602971512901,steered,iupred_max,32,500
iupred_max_w64_L300,120,0.49554826444507005,0.3473852680564467,0.2905045043684127,0.8388380798195485,steered,iupred_max,64,300
iupred_max_w64_L400,120,0.3313243546951154,0.30140594856683417,0.25024824194699263,0.4634496125031128,steered,iupred_max,64,400
iupred_max_w64_L500,120,0.39485653905428675,0.37598608339494544,0.28906018776611464,0.5386966279170974,steered,iupred_max,64,500
