protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7885396666666667,599.021,661,-8.760356106649745,5.456395530700683,0.3382553119247885,0.22666666666666666,3.8759039210583723,2551.220928514665,5,8.759410813818667,32.95197126836106,-39.57917766317842,18.073829650878906
s42_n400,400,0.81480975,1072.16,889,-30.20589007340393,4.643484306335449,0.3227404319190728,0.0225,3.556752742728401,2372.839696173756,7,5.630725307836336,42.9136243685697,-79.34403054477582,20.915292739868164
s42_n500,500,0.8078504000000001,1026.28,499,-2.036497251563887,6.352575874328613,0.3498925168850761,0.072,3.641401715962513,2161.5843930931774,5,6.525737090944415,66.85036881821028,-57.0960001963516,22.071680068969727
s43_n300,300,0.78539,628.929,1037,-8.018529269046766,5.323790168762207,0.29121932385283233,0.016666666666666666,3.8706631476271767,2359.087168672886,7,10.33260468064359,31.599163158366522,-31.89915991426884,17.695316314697266
s43_n400,400,0.8175020000000001,1106.99,2845,4.611339340986476,8.680232810974118,0.1901225953505952,0.0,3.4703088585677793,2103.0871996665282,6,4.95378353898526,75.64943136055803,-55.89668676627832,23.212757110595703
s43_n500,500,0.7888914,579.268,1353,-3.3040591362745033,6.3632616043090815,0.37267147788628163,0.154,3.6706227901080792,1581.0813925238313,1,8.834334036526629,61.68700527362564,-57.95386042650985,21.857017517089844
s44_n300,300,0.8038673333333335,710.903,476,-0.4308253998888034,6.604827308654786,0.1462893983680654,0.0,3.1981163371213013,1421.4441227847456,1,1.8028069055342222,45.043346859731166,-43.204536245867175,18.400421142578125
s44_n400,400,0.7725839999999999,1429.3,2204,-12.214689831801923,4.103229713439941,0.4383500378700381,0.2325,3.4186687135187643,2107.3392592063324,4,8.936025163023825,4.155801455389435,-7.362316313791879,19.45477867126465
s44_n500,500,0.8123288,1585.45,61,4.725306741818841,8.520673561096192,0.3480146794593129,0.062,3.6387653229192707,1571.3396917521063,2,3.4955514507234695,85.69780766527103,-45.46562854013361,23.68752670288086
s45_n300,300,0.7937893333333333,584.974,499,-17.757736319055148,4.980482673645019,0.25274911296264074,0.0,3.7224085097855424,1041.3711867301254,2,3.8064482573685163,33.7272452571269,-58.41805338283734,17.296722412109375
s45_n400,400,0.797946,883.269,202,-21.797724845107567,5.225231361389159,0.5680014252825075,0.65,3.7605265229654123,1210.8192730696082,1,4.128240982097041,44.46916211775566,-67.42990001236787,19.22440528869629
s45_n500,500,0.8109364,749.246,1040,-24.397884294822305,5.353460121154785,0.38669891443897947,0.156,3.7490048757305017,2951.3904708988107,4,8.807568490689876,75.88913739789204,-87.06107924538725,24.03557777404785
s46_n300,300,0.8029599999999999,507.695,1286,-34.874151212025865,4.325868034362794,0.38270074987110975,0.14666666666666667,3.6134032777276985,1599.5735988817771,4,5.611602326774093,20.373626298385236,-70.42022605193776,17.89536476135254
s46_n400,400,0.77073925,1797.81,1309,-10.395165435589334,4.589828300476075,0.2749519983664537,0.0,3.5759837641803873,4952.578169498844,23,14.49939767734401,15.35279541226418,-13.092695115575875,19.843109130859375
s46_n500,500,0.8054595999999999,562.765,42,-3.131908190669918,6.4389142990112305,0.5649337665563002,0.652,3.5676075895165194,805.9336418809103,1,0.4411905563225838,43.834872787035835,-55.35841175615431,23.824718475341797
s47_n300,300,0.796416,559.492,2763,-12.869662161244449,5.06540012359619,0.35646940958799117,0.13666666666666666,3.425883059541058,1825.9603286412835,5,6.042532133455099,33.43828194277447,-40.645560034348364,17.28791618347168
s47_n400,400,0.7834645,612.093,58,44.53834053983901,11.513876152038574,0.3935688402536171,0.1425,3.4699783432488287,1121.2679047294164,3,4.044340529637307,145.15641320199333,-50.9554733890575,20.720413208007812
s47_n500,500,0.7864285999999999,1153.47,632,1.4535306368536078,8.328622245788573,0.29196197250038336,0.046,2.117275882199169,903.1218786927242,2,0.9015539267033718,12.477857841972183,-4.0442948317403955,23.33989143371582
s48_n300,300,0.802896,529.571,801,-14.80407547058023,5.144804191589355,0.2516744125754169,0.0033333333333333335,3.8874957951262368,1636.129557093679,5,2.537234540837898,45.00376787083711,-64.30621803264361,18.06549644470215
s48_n400,400,0.82082975,1043.69,1528,-53.13637073840512,4.34417018890381,0.35940235127328174,0.0475,3.6572044402609776,1966.5190934110221,5,4.615995049968614,27.95945481400624,-110.15162264171501,20.531728744506836
s48_n500,500,0.7954962000000001,1369.94,4341,63.626437112548984,10.053731727600098,0.2290706651688632,0.036,3.5863037865605087,2833.0738527354983,7,11.103040368039538,149.30338463039544,-9.334817489918596,21.493633270263672
s49_n300,300,0.7707376666666668,894.748,2226,6.193535508868935,9.846981620788572,0.38465918047729536,0.08666666666666667,3.5088228021947443,2042.6313888332531,6,6.783048048188592,14.021634787680203,-7.67260698106918,17.386219024658203
s49_n400,400,0.7849842499999999,643.448,575,-6.197280970093928,5.391655921936036,0.32281041326850984,0.1225,3.9765143863370214,4232.03735755214,11,12.529825840655615,46.70137993558255,-37.4754122403379,20.296260833740234
s49_n500,500,0.8085974,978.12,2857,3.8177452076403853,8.40469493865967,0.08003131952696539,0.0,3.1289487229362862,1043.2536454429599,0,1.2295223359277934,92.30169040549066,-74.31830224744064,23.241981506347656
s50_n300,300,0.7792503333333334,592.498,1039,-7.898602340185381,5.399897575378417,0.23064284255523176,0.03,4.03060700838739,2690.6064608393044,10,9.811486893167038,33.28767615810747,-31.072995899816846,17.910934448242188
s50_n400,400,0.80053925,993.457,600,-41.121097341607765,4.733233070373536,0.4597459194614328,0.3475,3.9197800935140115,2514.4173583289207,6,7.863155335954729,18.63309606187833,-84.72021462372479,20.81255340576172
s50_n500,500,0.783019,949.704,5790,-0.20412541214591307,5.57001667022705,0.1570290986980279,0.0,2.186037479625029,9897.232781818511,25,65.37429623839913,0.0,0.0,20.610668182373047
s51_n300,300,0.7923866666666667,488.347,1465,-3.1404144731979713,5.859042930603027,0.3428626589333562,0.10333333333333333,3.5451703224964874,1687.7264859999561,4,6.225539776032987,43.93741867318015,-35.30905693954834,17.433748245239258
s51_n400,400,0.798563,891.264,4562,7.574750322497863,8.838953971862793,0.09354800776279233,0.0,3.4464603873899726,1949.5360284870544,3,3.940867262343216,77.37040668424277,-46.39042198100573,21.148563385009766
s51_n500,500,0.778886,1607.11,95,6.564122187512201,9.228536415100098,0.4391214758692985,0.23,3.6103043419984737,2158.723066960328,6,9.239397455796453,15.674569402945844,-15.549556869254637,22.848857879638672
s52_n300,300,0.792665,594.838,1373,-15.147672085222446,4.84247760772705,0.3063483349382134,0.04,3.673939168011621,2249.525601709991,6,6.55975696217877,33.22578241221351,-47.38587666945101,17.592571258544922
s52_n400,400,0.8074872500000001,974.019,1142,-32.00724765224636,4.660649681091309,0.29546902170168804,0.0725,3.9072253710133893,2330.3164800785225,4,5.840680993895925,44.769951615576645,-89.19069737808655,20.6899356842041
s52_n500,500,0.7931372000000001,867.935,0,-23.719403301865796,4.839010429382324,0.19006872736513528,0.146,3.4276851448107695,1304.5453365698354,1,1.8238577114443193,70.05327386535136,-85.735646558711,23.259361267089844
s53_n300,300,0.8077136666666667,527.882,677,-38.86301468040406,4.188601875305175,0.5568305261828095,0.62,3.5226539278301607,1284.3803529949594,3,4.2295315819033075,18.074350367207664,-78.74540221570749,17.154966354370117
s53_n400,400,0.80848075,843.364,2014,57.51995961828848,9.87476749420166,0.09891505743401474,0.0,3.1550231206481336,1175.4373633297657,1,1.6020227338383919,136.21710628447872,-24.723344999771605,20.54952621459961
s53_n500,500,0.792936,1231.06,1290,-0.4776172819285591,6.344788932800292,0.4391483170974594,0.246,3.219091725714452,1627.2925595692764,4,6.064530892316561,18.960546600587065,-13.687052303717687,24.518646240234375
