label,n_pairs,mean,median,p10,p90,set,direction,w,L
iupred_target_w16_L300,120,0.496156956831392,0.34638090325189796,0.29082295106782763,0.8398681073303693,steered,iupred_target,16,300
iupred_target_w16_L400,120,0.33175604322059155,0.30200853626766233,0.2482158008950533,0.4627267357741264,steered,iupred_target,16,400
iupred_target_w16_L500,120,0.39460526639726534,0.3732410900473617,0.2913835789762109,0.5378341319186989,steered,iupred_target,16,500
iupred_target_w24_L300,120,0.4956257699652005,0.34381958780338484,0.290421678806023,0.83947038898264,steered,iupred_target,24,300
iupred_target_w24_L400,120,0.3320607774235388,0.3005667877859706,0.2505506484383044,0.4624558202330324,steered,iupred_target,24,400
iupred_target_w24_L500,120,0.3949690859191845,0.37445140816485845,0.29113390506261005,0.5379717146796997,steered,iupred_target,24,500
iupred_target_w32_L300,120,0.49636356491229683,0.3464180945177245,0.29431101480777166,0.8397019043886336,steered,iupred_target,32,300
iupred_target_w32_L400,120,0.3316394673942318,0.30071165940686545,0.2507474290982119,0.4631871966204885,steered,iupred_target,32,400
iupred_target_w32_L500,120,0.3952653887778208,0.37531529692372173,0.29161881308834653,0.5383241094806648,steered,iupred_target,32,500
iupred_target_w8_L300,120,0.4955793235627436,0.34621662142115817,0.2912835533808514,0.8399734337890519,steered,iupred_target,8,300
iupred_target_w8_L400,120,0.3317495273362301,0.30154933801703454,0.2476120518842877,0.4622652992314688,steered,iupred_target,8,400
iupred_target_w8_L500,120,0.39457770199108244,0.374846073190787,0.2898464219062948,0.5377062097845476,steered,iupred_target,8,500
