label,n_pairs,mean,median,p10,p90,set,direction,w,L
net_charge_max_w128_L300,120,0.49424922807295507,0.34580092367158066,0.2886449404308238,0.8382825934513845,steered,net_charge_max,128,300
net_charge_max_w128_L400,120,0.33069180325107744,0.29963394918578845,0.24961821821113164,0.4646495441556048,steered,net_charge_max,128,400
net_charge_max_w128_L500,120,0.394621750070451,0.37350984673071175,0.29109315891225296,0.5375789800766281,steered,net_charge_max,128,500
net_charge_max_w16_L300,120,0.4954742960022929,0.34883706986772406,0.29291573687902245,0.8392565691066388,steered,net_charge_max,16,300
net_charge_max_w16_L400,120,0.33122031761544357,0.30066278601852603,0.25009468320677786,0.46384862473680716,steered,net_charge_max,16,400
net_charge_max_w16_L500,120,0.39457787027251906,0.3739859784863837,0.29373374682761083,0.537698304582601,steered,net_charge_max,16,500
net_charge_max_w32_L300,120,0.49460315808990246,0.34572120369501935,0.28980577098161536,0.8394374737966975,steered,net_charge_max,32,300
net_charge_max_w32_L400,120,0.33105557229750016,0.29685165352307086,0.2513328838395066,0.46454918988207644,steered,net_charge_max,32,400
net_charge_max_w32_L500,120,0.39526740621009004,0.37495957037848404,0.29270855977309046,0.5377691727690281,steered,net_charge_max,32,500
net_charge_max_w64_L300,120,0.49445491273697445,0.3468047552114896,0.2897443397764236,0.838508091399043,steered,net_charge_max,64,300
net_charge_max_w64_L400,120,0.33167905728030234,0.3010943801623721,0.2501905201277656,0.463630281739959,steered,net_charge_max,64,400
net_charge_max_w64_L500,120,0.39487785853174817,0.376266303328921,0.289608844543466,0.5372013849989488,steered,net_charge_max,64,500
