label,n_pairs,mean,median,p10,p90,set,direction,w,L
net_charge_max_w128_L300,120,0.49424922807295507,0.34580092367158066,0.2886449404308238,0.8382825934513845,steered,net_charge_max,128,300
net_charge_max_w128_L400,120,0.33069180325107744,0.29963394918578845,0.24961821821113164,0.4646495441556048,steered,net_charge_max,128,400
net_charge_max_w128_L500,120,0.394621750070451,0.37350984673071175,0.29109315891225296,0.5375789800766281,steered,net_charge_max,128,500
net_charge_max_w32_L300,120,0.49460315808990246,0.34572120369501935,0.28980577098161536,0.8394374737966975,steered,net_charge_max,32,300
net_charge_max_w32_L400,120,0.33105557229750016,0.29685165352307086,0.2513328838395066,0.46454918988207644,steered,net_charge_max,32,400
net_charge_max_w32_L500,120,0.39526740621009004,0.37495957037848404,0.29270855977309046,0.5377691727690281,steered,net_charge_max,32,500
net_charge_max_w48_L300,120,0.49460283587168763,0.3459972924524974,0.2910176610402458,0.838905401072626,steered,net_charge_max,48,300
net_charge_max_w48_L400,120,0.33126010918505266,0.3006705124499526,0.2464141283704854,0.46548819968368643,steered,net_charge_max,48,400
net_charge_max_w48_L500,120,0.3949829295826494,0.3756552929412824,0.29179624888114325,0.5370568035987457,steered,net_charge_max,48,500
net_charge_max_w64_L300,120,0.49445491273697445,0.3468047552114896,0.2897443397764236,0.838508091399043,steered,net_charge_max,64,300
net_charge_max_w64_L400,120,0.33167905728030234,0.3010943801623721,0.2501905201277656,0.463630281739959,steered,net_charge_max,64,400
net_charge_max_w64_L500,120,0.39487785853174817,0.376266303328921,0.289608844543466,0.5372013849989488,steered,net_charge_max,64,500
