label,n_pairs,mean,median,p10,p90,set,direction,w,L
net_charge_target_w16_L300,120,0.4959104399096882,0.3487490293325412,0.29073326480612155,0.8386909120080654,steered,net_charge_target,16,300
net_charge_target_w16_L400,120,0.33110830778819167,0.29741535541506925,0.2487741457975187,0.4627266380676033,steered,net_charge_target,16,400
net_charge_target_w16_L500,120,0.39502173007738367,0.37481686416249227,0.29243574756331064,0.5342208875125875,steered,net_charge_target,16,500
net_charge_target_w24_L300,120,0.4954904565143945,0.34579429012124635,0.2929179463428286,0.8386080626772312,steered,net_charge_target,24,300
net_charge_target_w24_L400,120,0.33095457870118267,0.2992792737995552,0.2489087232605006,0.4622431181800584,steered,net_charge_target,24,400
net_charge_target_w24_L500,120,0.3942687161250196,0.3743736475049423,0.2906640203404866,0.5368875134766533,steered,net_charge_target,24,500
net_charge_target_w32_L300,120,0.4956118631186096,0.3447953162466077,0.29294270219693413,0.8386993874751709,steered,net_charge_target,32,300
net_charge_target_w32_L400,120,0.3305500032297266,0.2970345046980278,0.24795733982277546,0.464357976849066,steered,net_charge_target,32,400
net_charge_target_w32_L500,120,0.3942236226822961,0.37459047601610207,0.29123976494563364,0.53725085096118,steered,net_charge_target,32,500
net_charge_target_w8_L300,120,0.49587048410925877,0.34668562246499357,0.29192470891846684,0.8387748264106212,steered,net_charge_target,8,300
net_charge_target_w8_L400,120,0.33179953061147754,0.2982847456344365,0.2519122180903472,0.462786535751187,steered,net_charge_target,8,400
net_charge_target_w8_L500,120,0.39442065747845717,0.37393696138872184,0.2891077557806316,0.5375527214703542,steered,net_charge_target,8,500
