protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7880060000000001,593.278,662,-6.850350756777544,5.5931501388549805,0.3312141727117964,0.19,3.8712836007006333,2641.017292085283,6,9.083375461464763,34.452372832729054,-36.72069340690089,18.078065872192383
s42_n400,400,0.8126339999999999,1060.37,1001,-10.252019451067888,5.245522880554199,0.31481037578870785,0.015,3.5721955459493437,2209.3936239218306,6,5.885488021388903,56.28247196048282,-57.96031215540448,20.91520881652832
s42_n500,500,0.8080645999999999,991.521,416,6.039350307914901,8.619181251525884,0.3503602634598504,0.066,3.6546975877488146,2094.2724592578966,4,5.901174826424137,75.82033295642154,-52.12734473907081,22.067798614501953
s43_n300,300,0.7831730000000001,608.359,1316,-4.116244605259837,5.727290153503419,0.2787096795615453,0.0,3.878074920058024,2455.3859439899584,5,10.842460538645696,31.073922955619608,-27.979692412746655,17.69175148010254
s43_n400,400,0.8159795,1097.21,2890,5.605149476946522,8.781319236755369,0.17350106660716239,0.0,3.4447606778338544,2201.5441778028694,7,5.239388876933457,75.99747056590972,-55.75355401905887,23.213623046875
s43_n500,500,0.7918134,566.158,686,-4.118834191695015,6.320348167419434,0.40803228981169815,0.184,3.671054685092275,1565.1750912835819,1,8.792120509891031,59.78770748572268,-59.41418720046181,21.855852127075195
s44_n300,300,0.8016850000000001,755.476,714,-3.428583878009121,5.594627952575683,0.10844275062724139,0.0,3.230956842316838,1649.2490346801085,2,3.132341843250726,40.88693430828654,-44.843547997169374,18.398853302001953
s44_n400,400,0.7725839999999999,1429.3,2204,-12.214689831801923,4.103229713439941,0.4383500378700381,0.2325,3.4186687135187643,2133.482577738994,4,8.956388329476825,4.090554290225692,-7.089494910493534,19.456695556640625
s44_n500,500,0.8118652,1548.44,64,0.8182236139606971,7.476112174987794,0.3390853896752263,0.054,3.666568293686131,1635.5748633074859,2,3.9903517510992192,78.15567533314865,-48.58309961193008,23.6879825592041
s45_n300,300,0.7889273333333333,605.62,638,-8.770138927487835,5.500445747375487,0.21683691770442873,0.0,3.7042137600808016,1115.8698130108803,2,5.109025119288087,40.16558814160611,-50.91098470009061,17.295690536499023
s45_n400,400,0.8003037499999999,861.18,308,-10.456185056298025,5.999946784973144,0.6465225782162568,0.825,3.717499784196189,1119.259065715756,1,3.7583001281983415,55.675153897224135,-55.91751358908297,19.21627426147461
s45_n500,500,0.8108411999999999,757.961,1040,-23.400694756795517,5.391769599914551,0.38849936200500435,0.166,3.751450322490965,2856.459747650884,4,8.483944034485264,76.23164195999918,-88.4284460045804,24.035093307495117
s46_n300,300,0.802046,473.973,1268,-27.881623596546497,4.493315696716309,0.4178379923604425,0.24333333333333335,3.597847906200807,1528.3288413848265,4,5.063963526067717,25.528535334846513,-64.82889644977513,17.887897491455078
s46_n400,400,0.7697459999999999,1837.7,1578,-9.484459385782756,4.57698268890381,0.2660093807187245,0.0,3.554027745093096,5220.353308631442,24,15.347277608344015,15.15505190918818,-13.031584081482334,19.848041534423828
s46_n500,500,0.8061969999999999,559.494,42,-1.9583722741359537,6.632792091369629,0.579032588423842,0.758,3.547415730731944,679.0417504806302,1,0.16944780591484945,45.03616431170714,-55.06731785658171,23.826351165771484
s47_n300,300,0.7940836666666666,539.034,2770,-2.7892525382289364,6.222755622863769,0.3588268879893005,0.16666666666666666,3.379780031382053,1819.0964061217774,6,6.725880113983182,40.4701359698993,-29.379647901096142,17.28531265258789
s47_n400,400,0.80020275,489.17,43,-3.3845586903059086,5.807717323303222,0.49002318222088076,0.45,3.492891268629799,622.4671566584869,1,1.8650543271865296,119.26594174046936,-100.74223091229116,20.73175811767578
s47_n500,500,0.7856246,1146.12,631,-1.544471361148391,4.935523033142089,0.28659369901027787,0.038,2.099340252331993,992.4403277064374,2,0.8541912557271688,6.654611286396129,-3.558723308768557,23.337627410888672
s48_n300,300,0.7983093333333333,504.014,850,-2.736902816902763,6.309150886535646,0.20640451292585935,0.0,3.8865640902154674,1744.5283073590995,5,2.928186000941227,53.25404818609631,-49.29090304432337,18.06338882446289
s48_n400,400,0.8168612500000001,1075.16,1648,-11.130437793447655,5.285423851013182,0.30013341055449416,0.0025,3.6717555542818086,1997.4709776479617,6,5.378033207252836,63.468873894047036,-68.02822589877233,20.52694320678711
