protein_id,coScRMSD_ca
s42_n300,5.3268
s42_n400,1.8676
s42_n500,4.9740
s43_n300,1.0088
s43_n400,2.3959
s43_n500,2.2392
s44_n300,0.8294
s44_n400,3.0785
s44_n500,1.7260
s45_n300,1.5153
s45_n400,0.9276
s45_n500,21.4878
s46_n300,0.8350
s46_n400,4.0265
s46_n500,15.0349
s47_n300,0.7632
s47_n400,1.4621
s47_n500,5.1184
s48_n300,1.2325
s48_n400,3.1920
s48_n500,2.7581
s49_n300,1.5029
s49_n400,2.9563
s49_n500,0.8073
s50_n300,1.5964
s50_n400,8.7405
s50_n500,27.7171
s51_n300,1.0240
s51_n400,0.9045
s51_n500,8.4115
s52_n300,0.7683
s52_n400,0.9936
s52_n500,11.6623
s53_n300,0.9637
s53_n400,0.8381
s53_n500,7.0574
s54_n300,0.5034
s54_n400,1.4984
s54_n500,24.8340
s55_n300,1.9262
s55_n400,1.2357
s55_n500,0.6031
s56_n300,1.0300
s56_n400,5.2527
s56_n500,9.8853
s57_n300,1.2242
s57_n400,4.8256
s57_n500,20.2430
