label,n_pairs,mean,median,p10,p90,set,direction,w,L
camsol_max_w1_L300,120,0.49541806198028754,0.34534199749285555,0.29268435685593247,0.8393440331394195,steered,camsol_max,1,300
camsol_max_w1_L400,120,0.33131808152077036,0.2990658248939113,0.2504507650519206,0.4620911031728238,steered,camsol_max,1,400
camsol_max_w1_L500,120,0.3948684390312039,0.3735124196536913,0.2907224039651198,0.5376491838736519,steered,camsol_max,1,500
camsol_max_w2_L300,120,0.4950090218810416,0.34687972602838324,0.28955908514816875,0.8389359118467479,steered,camsol_max,2,300
camsol_max_w2_L400,120,0.3320767397076343,0.29948500230214764,0.2493051878338207,0.46250340795129097,steered,camsol_max,2,400
camsol_max_w2_L500,120,0.39478537300113015,0.37366564671912605,0.29162745751894437,0.5377751474789644,steered,camsol_max,2,500
camsol_max_w4_L300,120,0.4953671174579777,0.34930433076959067,0.29092372176085796,0.8389100106846609,steered,camsol_max,4,300
camsol_max_w4_L400,120,0.3309399946369132,0.2984251191224674,0.24716794741802434,0.45754869707447926,steered,camsol_max,4,400
camsol_max_w4_L500,120,0.394629878395555,0.3729718296493915,0.29224168827076347,0.5376418421537266,steered,camsol_max,4,500
camsol_max_w8_L300,120,0.4953190930705174,0.34622213629887844,0.29172255630780064,0.8400686227932053,steered,camsol_max,8,300
camsol_max_w8_L400,120,0.33128845957498787,0.2990114386905356,0.24910116115045033,0.46271777516679435,steered,camsol_max,8,400
camsol_max_w8_L500,120,0.39459584617153315,0.37427428167161125,0.2914961850780029,0.5366948533859899,steered,camsol_max,8,500
camsol_max_w16_L300,120,0.4959831930118177,0.3445034946591216,0.2919385726296646,0.8395597486583891,steered,camsol_max,16,300
camsol_max_w16_L400,120,0.3316962919458303,0.29887762766805837,0.2493640036870922,0.46406079324587934,steered,camsol_max,16,400
camsol_max_w16_L500,120,0.3948110496381246,0.3739028985341815,0.289755133144274,0.5380546054805245,steered,camsol_max,16,500
tango_min_w1_L300,120,0.4962806116960539,0.3443537044927739,0.2927367718661706,0.8396392679264665,steered,tango_min,1,300
tango_min_w1_L400,120,0.33114776716288896,0.29941438982282287,0.25004399496824414,0.46326601483552493,steered,tango_min,1,400
tango_min_w1_L500,120,0.3942148471826812,0.37596377519117186,0.2920494547474165,0.5378486688738567,steered,tango_min,1,500
tango_min_w2_L300,120,0.4950807953543034,0.34624419914211346,0.2908395952505495,0.8389374607882272,steered,tango_min,2,300
tango_min_w2_L400,120,0.33129566926515913,0.2995469959612645,0.25060043814571986,0.4639893625188062,steered,tango_min,2,400
tango_min_w2_L500,120,0.3944965009434673,0.3741524949296674,0.28945367231730845,0.5376635352606828,steered,tango_min,2,500
tango_min_w4_L300,120,0.49534140030294105,0.34994355345954453,0.29123900171854683,0.8387582691495292,steered,tango_min,4,300
tango_min_w4_L400,120,0.32985971987807655,0.2976033073141019,0.24728021151729965,0.4637063549734256,steered,tango_min,4,400
tango_min_w4_L500,120,0.39477136413614683,0.3745547575211022,0.291337197588488,0.5363616828871176,steered,tango_min,4,500
tango_min_w8_L300,120,0.4950594273647674,0.3466565477928304,0.2901534476389427,0.8388510804362865,steered,tango_min,8,300
tango_min_w8_L400,120,0.33100988280821764,0.29776556394834747,0.24826244987547352,0.46429170571346584,steered,tango_min,8,400
tango_min_w8_L500,120,0.39455774569566376,0.37407149936198336,0.29080727234776266,0.5378645727016738,steered,tango_min,8,500
tango_min_w16_L300,120,0.495291930562878,0.34626528266796697,0.2936811042232881,0.838730897913123,steered,tango_min,16,300
tango_min_w16_L400,120,0.33148019566616255,0.3001673904140713,0.2511357505591003,0.46443926138284175,steered,tango_min,16,400
tango_min_w16_L500,120,0.39517240423662253,0.3735675899652532,0.29088033243972244,0.537934520819858,steered,tango_min,16,500
baseline_L300,120,0.4538668425845941,0.33063055605208735,0.28438325102380074,0.8553945211343623,baseline,unsteered,0,300
baseline_L400,120,0.3661964698158284,0.3105286306995808,0.26636120567191734,0.6455106456989961,baseline,unsteered,0,400
baseline_L500,120,0.4179757197492453,0.38633807327043573,0.29680991648816085,0.5782749861161895,baseline,unsteered,0,500
