direction,w,length,seed,protein_id,predictor,real,gap
camsol_max,1,300,42,s42_n300,1.7254542112350464,,
camsol_max,1,400,42,s42_n400,1.6609461307525635,,
camsol_max,1,500,42,s42_n500,1.7274036407470703,,
camsol_max,1,300,43,s43_n300,1.3111408948898315,,
camsol_max,1,400,43,s43_n400,1.641997218132019,,
camsol_max,1,500,43,s43_n500,2.406928300857544,,
camsol_max,1,300,44,s44_n300,1.1840312480926514,,
camsol_max,1,400,44,s44_n400,-1.4465360641479492,,
camsol_max,1,500,44,s44_n500,0.9829480648040771,,
camsol_max,1,300,45,s45_n300,2.609924077987671,,
camsol_max,1,400,45,s45_n400,2.3698670864105225,,
camsol_max,1,500,45,s45_n500,1.8456214666366577,,
camsol_max,1,300,46,s46_n300,2.130528450012207,,
camsol_max,1,400,46,s46_n400,-0.39671000838279724,,
camsol_max,1,500,46,s46_n500,2.27854585647583,,
camsol_max,1,300,47,s47_n300,2.639760971069336,,
camsol_max,1,400,47,s47_n400,3.6907923221588135,,
camsol_max,1,500,47,s47_n500,-3.6487436294555664,,
camsol_max,1,300,48,s48_n300,1.6350682973861694,,
camsol_max,1,400,48,s48_n400,1.9693803787231445,,
camsol_max,1,500,48,s48_n500,0.33083951473236084,,
camsol_max,1,300,49,s49_n300,-0.12861573696136475,,
camsol_max,1,400,49,s49_n400,1.5304051637649536,,
camsol_max,1,500,49,s49_n500,0.5624449253082275,,
camsol_max,1,300,50,s50_n300,0.9644495248794556,,
camsol_max,1,400,50,s50_n400,1.995500922203064,,
camsol_max,1,500,50,s50_n500,-0.9878524541854858,,
camsol_max,1,300,51,s51_n300,2.661059617996216,,
camsol_max,1,400,51,s51_n400,0.5193499326705933,,
camsol_max,1,500,51,s51_n500,-0.9696938991546631,,
camsol_max,1,300,52,s52_n300,1.8634663820266724,,
camsol_max,1,400,52,s52_n400,1.3701547384262085,,
camsol_max,1,500,52,s52_n500,0.171870619058609,,
camsol_max,1,300,53,s53_n300,2.284311532974243,,
camsol_max,1,400,53,s53_n400,1.0572171211242676,,
camsol_max,1,500,53,s53_n500,-0.5435147285461426,,
camsol_max,1,300,54,s54_n300,0.15505507588386536,,
camsol_max,1,400,54,s54_n400,2.131303548812866,,
camsol_max,1,500,54,s54_n500,-1.3493586778640747,,
camsol_max,1,300,55,s55_n300,2.169250965118408,,
camsol_max,1,400,55,s55_n400,0.6796656847000122,,
camsol_max,1,500,55,s55_n500,1.473629117012024,,
camsol_max,1,300,56,s56_n300,2.041072130203247,,
camsol_max,1,400,56,s56_n400,0.27673131227493286,,
camsol_max,1,500,56,s56_n500,2.2499403953552246,,
camsol_max,1,300,57,s57_n300,1.81732177734375,,
camsol_max,1,400,57,s57_n400,1.5821712017059326,,
camsol_max,1,500,57,s57_n500,-0.09539732336997986,,
camsol_max,2,300,42,s42_n300,1.756299376487732,,
camsol_max,2,400,42,s42_n400,1.6851556301116943,,
camsol_max,2,500,42,s42_n500,1.767948865890503,,
camsol_max,2,300,43,s43_n300,1.3334600925445557,,
camsol_max,2,400,43,s43_n400,1.6666419506072998,,
camsol_max,2,500,43,s43_n500,2.44857120513916,,
camsol_max,2,300,44,s44_n300,1.2091259956359863,,
camsol_max,2,400,44,s44_n400,-1.3984112739562988,,
camsol_max,2,500,44,s44_n500,1.0444443225860596,,
camsol_max,2,300,45,s45_n300,2.6303067207336426,,
camsol_max,2,400,45,s45_n400,2.3879432678222656,,
camsol_max,2,500,45,s45_n500,1.8720582723617554,,
camsol_max,2,300,46,s46_n300,2.1696369647979736,,
camsol_max,2,400,46,s46_n400,-0.35345450043678284,,
camsol_max,2,500,46,s46_n500,2.2930076122283936,,
camsol_max,2,300,47,s47_n300,2.5330886840820312,,
camsol_max,2,400,47,s47_n400,3.7155587673187256,,
camsol_max,2,500,47,s47_n500,-3.565807342529297,,
camsol_max,2,300,48,s48_n300,1.790012001991272,,
camsol_max,2,400,48,s48_n400,1.9910277128219604,,
camsol_max,2,500,48,s48_n500,0.38344264030456543,,
camsol_max,2,300,49,s49_n300,-0.08612865209579468,,
camsol_max,2,400,49,s49_n400,1.55777108669281,,
camsol_max,2,500,49,s49_n500,0.6217477321624756,,
camsol_max,2,300,50,s50_n300,1.044426679611206,,
camsol_max,2,400,50,s50_n400,2.05199933052063,,
camsol_max,2,500,50,s50_n500,-0.9171679019927979,,
camsol_max,2,300,51,s51_n300,2.7008564472198486,,
camsol_max,2,400,51,s51_n400,0.6029435396194458,,
camsol_max,2,500,51,s51_n500,-0.8248288631439209,,
camsol_max,2,300,52,s52_n300,1.8858922719955444,,
camsol_max,2,400,52,s52_n400,1.429887056350708,,
camsol_max,2,500,52,s52_n500,0.230301171541214,,
camsol_max,2,300,53,s53_n300,2.279240846633911,,
camsol_max,2,400,53,s53_n400,1.1747455596923828,,
camsol_max,2,500,53,s53_n500,-0.4764045178890228,,
camsol_max,2,300,54,s54_n300,0.18381060659885406,,
camsol_max,2,400,54,s54_n400,2.1554243564605713,,
camsol_max,2,500,54,s54_n500,-1.253467321395874,,
camsol_max,2,300,55,s55_n300,2.194936513900757,,
camsol_max,2,400,55,s55_n400,0.7617694139480591,,
camsol_max,2,500,55,s55_n500,1.4989938735961914,,
camsol_max,2,300,56,s56_n300,2.0736942291259766,,
camsol_max,2,400,56,s56_n400,0.3328056037425995,,
camsol_max,2,500,56,s56_n500,2.2725839614868164,,
camsol_max,2,300,57,s57_n300,1.9060872793197632,,
camsol_max,2,400,57,s57_n400,1.6045032739639282,,
camsol_max,2,500,57,s57_n500,0.035754069685935974,,
camsol_max,4,300,42,s42_n300,1.8003345727920532,,
camsol_max,4,400,42,s42_n400,1.749714732170105,,
camsol_max,4,500,42,s42_n500,1.8630764484405518,,
camsol_max,4,300,43,s43_n300,1.375963807106018,,
camsol_max,4,400,43,s43_n400,1.75387704372406,,
camsol_max,4,500,43,s43_n500,2.522623062133789,,
camsol_max,4,300,44,s44_n300,1.36495041847229,,
camsol_max,4,400,44,s44_n400,-1.3109773397445679,,
camsol_max,4,500,44,s44_n500,1.160919427871704,,
camsol_max,4,300,45,s45_n300,2.8377113342285156,,
camsol_max,4,400,45,s45_n400,2.425534725189209,,
camsol_max,4,500,45,s45_n500,1.9202033281326294,,
camsol_max,4,300,46,s46_n300,2.2525722980499268,,
camsol_max,4,400,46,s46_n400,-0.1822599172592163,,
camsol_max,4,500,46,s46_n500,2.3230583667755127,,
camsol_max,4,300,47,s47_n300,2.581123113632202,,
camsol_max,4,400,47,s47_n400,3.7617433071136475,,
camsol_max,4,500,47,s47_n500,-3.410573720932007,,
camsol_max,4,300,48,s48_n300,1.9946701526641846,,
camsol_max,4,400,48,s48_n400,2.122729778289795,,
camsol_max,4,500,48,s48_n500,0.46342524886131287,,
camsol_max,4,300,49,s49_n300,-0.0045747309923172,,
camsol_max,4,400,49,s49_n400,1.6234210729599,,
camsol_max,4,500,49,s49_n500,0.7599259614944458,,
camsol_max,4,300,50,s50_n300,1.0925896167755127,,
camsol_max,4,400,50,s50_n400,2.1709964275360107,,
camsol_max,4,500,50,s50_n500,-0.7803788185119629,,
camsol_max,4,300,51,s51_n300,2.846734046936035,,
camsol_max,4,400,51,s51_n400,0.7555413246154785,,
camsol_max,4,500,51,s51_n500,-0.7970681190490723,,
camsol_max,4,300,52,s52_n300,1.9641096591949463,,
camsol_max,4,400,52,s52_n400,1.4695892333984375,,
camsol_max,4,500,52,s52_n500,0.338667631149292,,
camsol_max,4,300,53,s53_n300,2.3760552406311035,,
camsol_max,4,400,53,s53_n400,1.2759685516357422,,
camsol_max,4,500,53,s53_n500,-0.38901934027671814,,
camsol_max,4,300,54,s54_n300,0.34179577231407166,,
camsol_max,4,400,54,s54_n400,2.2492425441741943,,
