cell,direction,w,seed,length,scRMSD
camsol_max_w1,camsol_max,1,42,300,0.7694
camsol_max_w1,camsol_max,1,42,400,0.8054
camsol_max_w1,camsol_max,1,42,500,1.663
camsol_max_w1,camsol_max,1,43,300,0.7935
camsol_max_w1,camsol_max,1,43,400,0.965
camsol_max_w1,camsol_max,1,43,500,0.8789
camsol_max_w1,camsol_max,1,44,300,0.5894
camsol_max_w1,camsol_max,1,44,400,1.153
camsol_max_w1,camsol_max,1,44,500,1.4575
camsol_max_w1,camsol_max,1,45,300,0.4993
camsol_max_w1,camsol_max,1,45,400,0.8627
camsol_max_w1,camsol_max,1,45,500,12.8749
camsol_max_w2,camsol_max,2,42,300,1.0329
camsol_max_w2,camsol_max,2,42,400,0.9031
camsol_max_w2,camsol_max,2,42,500,1.272
camsol_max_w2,camsol_max,2,43,300,0.9553
camsol_max_w2,camsol_max,2,43,400,0.8815
camsol_max_w2,camsol_max,2,43,500,1.0099
camsol_max_w2,camsol_max,2,44,300,0.5623
camsol_max_w2,camsol_max,2,44,400,2.066
camsol_max_w2,camsol_max,2,44,500,1.4953
camsol_max_w2,camsol_max,2,45,300,0.5007
camsol_max_w2,camsol_max,2,45,400,0.7887
camsol_max_w2,camsol_max,2,45,500,10.8561
camsol_max_w4,camsol_max,4,42,300,4.0368
camsol_max_w4,camsol_max,4,42,400,0.9224
camsol_max_w4,camsol_max,4,42,500,1.7796
camsol_max_w4,camsol_max,4,43,300,0.9211
camsol_max_w4,camsol_max,4,43,400,0.8456
camsol_max_w4,camsol_max,4,43,500,1.0113
camsol_max_w4,camsol_max,4,44,300,0.6016
camsol_max_w4,camsol_max,4,44,400,1.6657
camsol_max_w4,camsol_max,4,44,500,1.5082
camsol_max_w4,camsol_max,4,45,300,0.4835
camsol_max_w4,camsol_max,4,45,400,0.8688
camsol_max_w4,camsol_max,4,45,500,16.1973
camsol_max_w8,camsol_max,8,42,300,1.4294
camsol_max_w8,camsol_max,8,42,400,0.9657
camsol_max_w8,camsol_max,8,42,500,1.1652
camsol_max_w8,camsol_max,8,43,300,0.8593
camsol_max_w8,camsol_max,8,43,400,1.0972
camsol_max_w8,camsol_max,8,43,500,0.9236
camsol_max_w8,camsol_max,8,44,300,0.558
camsol_max_w8,camsol_max,8,44,400,1.3049
camsol_max_w8,camsol_max,8,44,500,1.3876
camsol_max_w8,camsol_max,8,45,300,0.5435
camsol_max_w8,camsol_max,8,45,400,0.8401
camsol_max_w8,camsol_max,8,45,500,17.6622
camsol_max_w16,camsol_max,16,42,300,4.1891
camsol_max_w16,camsol_max,16,42,400,0.9367
camsol_max_w16,camsol_max,16,42,500,1.7443
camsol_max_w16,camsol_max,16,43,300,0.7936
camsol_max_w16,camsol_max,16,43,400,1.0322
camsol_max_w16,camsol_max,16,43,500,1.0836
camsol_max_w16,camsol_max,16,44,300,0.4795
camsol_max_w16,camsol_max,16,44,400,1.5921
camsol_max_w16,camsol_max,16,44,500,1.6271
camsol_max_w16,camsol_max,16,45,300,0.4931
camsol_max_w16,camsol_max,16,45,400,0.7947
camsol_max_w16,camsol_max,16,45,500,12.3685
tango_min_w1,tango_min,1,42,300,4.1605
tango_min_w1,tango_min,1,42,400,0.9431
tango_min_w1,tango_min,1,42,500,inf
tango_min_w1,tango_min,1,43,300,0.8483
tango_min_w1,tango_min,1,43,400,1.1289
tango_min_w1,tango_min,1,43,500,1.1627
tango_min_w1,tango_min,1,44,300,0.6103
tango_min_w1,tango_min,1,44,400,2.3113
tango_min_w1,tango_min,1,44,500,1.5927
tango_min_w1,tango_min,1,45,300,0.5152
tango_min_w1,tango_min,1,45,400,0.8018
tango_min_w1,tango_min,1,45,500,5.385
tango_min_w2,tango_min,2,42,300,0.7539
tango_min_w2,tango_min,2,42,400,0.9762
tango_min_w2,tango_min,2,42,500,1.7415
tango_min_w2,tango_min,2,43,300,inf
tango_min_w2,tango_min,2,43,400,0.9929
tango_min_w2,tango_min,2,43,500,0.9141
tango_min_w2,tango_min,2,44,300,0.5782
tango_min_w2,tango_min,2,44,400,2.074
tango_min_w2,tango_min,2,44,500,1.6774
tango_min_w2,tango_min,2,45,300,0.4967
tango_min_w2,tango_min,2,45,400,0.8517
tango_min_w2,tango_min,2,45,500,14.2712
tango_min_w4,tango_min,4,42,300,0.9531
tango_min_w4,tango_min,4,42,400,0.7995
tango_min_w4,tango_min,4,42,500,0.9312
tango_min_w4,tango_min,4,43,300,0.9217
tango_min_w4,tango_min,4,43,400,0.9154
tango_min_w4,tango_min,4,43,500,0.8426
tango_min_w4,tango_min,4,44,300,0.5764
