protein_id,coScRMSD_ca
s42_n300,5.2914
s42_n400,2.0758
s42_n500,2.5818
s43_n300,3.7195
s43_n400,2.3865
s43_n500,2.2019
s44_n300,0.8207
s44_n400,3.0171
s44_n500,1.6457
s45_n300,1.1914
s45_n400,0.7159
s45_n500,20.0214
s46_n300,0.8446
s46_n400,3.8196
s46_n500,15.4686
s47_n300,0.9673
s47_n400,1.3046
s47_n500,5.1922
s48_n300,1.6507
s48_n400,3.3227
s48_n500,8.5029
s49_n300,1.5346
s49_n400,2.8171
s49_n500,0.8710
s50_n300,1.7814
s50_n400,11.4299
s50_n500,26.0866
s51_n300,0.5789
s51_n400,2.1086
s51_n500,2.5781
