label,n_pairs,mean,median,p10,p90,set,direction,w,L
camsol_max_w128_L300,120,0.49570497663783264,0.3491079713762177,0.2931279387811243,0.8383370971139964,steered,camsol_max,128,300
camsol_max_w128_L400,120,0.3319807033129743,0.298375812644168,0.2530635120130021,0.4646987571858682,steered,camsol_max,128,400
camsol_max_w128_L500,120,0.39460431905919646,0.3729456386594071,0.29295497130723025,0.5377097009281788,steered,camsol_max,128,500
camsol_max_w32_L300,120,0.4963689926059563,0.34710808022360895,0.2947801176132374,0.8393530895060904,steered,camsol_max,32,300
camsol_max_w32_L400,120,0.3319360332486615,0.3004481593913749,0.2483564691686587,0.46372018767466927,steered,camsol_max,32,400
camsol_max_w32_L500,120,0.3947725058817867,0.376672783307642,0.2904786552015174,0.5383530934785119,steered,camsol_max,32,500
camsol_max_w48_L300,120,0.4954305336972952,0.34741700660181163,0.2942290064184983,0.8385375094148164,steered,camsol_max,48,300
camsol_max_w48_L400,120,0.33150527126606477,0.2996566581489914,0.2505381774167264,0.46506699983182254,steered,camsol_max,48,400
camsol_max_w48_L500,120,0.39529074240163176,0.3741803234019625,0.29040683888487623,0.5382039711933982,steered,camsol_max,48,500
camsol_max_w64_L300,120,0.4957952368558041,0.34604793342757445,0.2888192391406138,0.8386494113070782,steered,camsol_max,64,300
camsol_max_w64_L400,120,0.33146928301776785,0.301414560813405,0.24835186110693327,0.4637082438298133,steered,camsol_max,64,400
camsol_max_w64_L500,120,0.39509178480317353,0.37429113430878913,0.29342065194998246,0.5383434395808804,steered,camsol_max,64,500
tango_min_w128_L300,120,0.49482460962694313,0.34580142885029963,0.2903757313853781,0.8386372743276491,steered,tango_min,128,300
tango_min_w128_L400,120,0.33061570611326313,0.29848320054755234,0.25253265915965656,0.46296842442703173,steered,tango_min,128,400
tango_min_w128_L500,120,0.3936293297627191,0.3736631455488527,0.2886646323410554,0.5356268455003671,steered,tango_min,128,500
tango_min_w32_L300,120,0.4950352246485331,0.3475487541092348,0.28868398100965653,0.8392880967825763,steered,tango_min,32,300
tango_min_w32_L400,120,0.33148019838272896,0.30056357260894473,0.2501173469293816,0.46119448318473744,steered,tango_min,32,400
tango_min_w32_L500,120,0.39518831874314664,0.3734726853104208,0.29259818852160163,0.5356241714471515,steered,tango_min,32,500
tango_min_w48_L300,120,0.4953900264824039,0.3462659329804062,0.2896171185929176,0.839574887524964,steered,tango_min,48,300
tango_min_w48_L400,120,0.3311981853255317,0.2978404319305519,0.2503086028420392,0.4630775470115219,steered,tango_min,48,400
tango_min_w48_L500,120,0.39470161640434304,0.3754593624168826,0.2900242488396439,0.5383432316085209,steered,tango_min,48,500
tango_min_w64_L300,120,0.4944732738936542,0.3458091749173559,0.2864257261211742,0.8397391971977874,steered,tango_min,64,300
tango_min_w64_L400,120,0.3312588627952342,0.2999990977419543,0.25339166605287805,0.46319209545309076,steered,tango_min,64,400
tango_min_w64_L500,120,0.3939360026847248,0.3737844082543026,0.28856974465600527,0.5386861011769972,steered,tango_min,64,500
