property,ref_n,gen_n,ref_mean,gen_mean,ref_sd,gen_sd,ref_var,gen_var,ref_median,gen_median,ref_iqr,gen_iqr,ref_skew,gen_skew,ref_kurt,gen_kurt,ref_min,gen_min,ref_max,gen_max,ref_modes,gen_modes,mean_diff,mean_diff_sd,ks_d,ks_p,wasserstein
sequence_length,56008,1000,404.5487966004857,548.475,97.11680549376075,143.22039469452827,9431.673909312958,20512.081456456457,376.0,549.0,123.0,248.25,1.3391123668887086,0.002328406103484544,1.5121727238065183,-1.1945886144701865,300.0,300.0,796.0,799.0,1,1,143.92620339951435,1.4669667660325114,0.45353163833738036,5.123549082502696e-185,143.92620339951435
swi,56008,1000,0.7787062779889279,0.7954540836118622,0.0101049924716675,0.01898598846655739,0.00010211087285245687,0.0003604677580522502,0.7792604286953908,0.7969889930024362,0.00979999708380297,0.01944494063853408,-27.144865011289372,-0.16879685766627792,1941.7205372978558,1.2592340132994213,0.0488790560471976,0.7379420545746388,0.8172912280701756,0.8847119845360827,2,1,0.01674780562293432,1.6218139022935387,0.6230474217968862,0.0,0.017841515803240747
tango,56008,1000,999.4216587987431,1128.4020076000002,281.57462343479506,614.1234587340334,79284.26856244664,377147.622567452,956.435,1026.51,337.18349999999987,662.03875,1.1890211669989896,1.25643637599392,2.1947560871022977,2.76676465001806,317.695,17.9438,2850.5,4587.09,1,1,128.98034880125704,0.4436949506029148,0.19491501214112272,3.6882197051857454e-33,246.7124687085274
tango_aggregation_positions,56008,1000,1617.5457077560347,1464.945,1173.955757046537,1755.2005529158075,1378172.1195027076,3080728.9809559565,1508.0,943.0,1070.0,1672.25,5.195296305292007,2.445745101889429,49.63459399343125,8.323954820918509,16.0,0.0,19962.0,14178.0,1,1,-152.6007077560348,-0.12860383076028148,0.28373018140265677,1.921155424793693e-70,620.4127820311385
net_charge,56008,1000,-7.0315149582818615,-32.35131757653289,8.60513004964948,61.99291773395976,74.04826317138046,3843.1218491695017,-6.3803615330912535,-18.79267593661475,10.43090975432332,44.91905932292059,-0.5966448661949524,-1.0817416572035883,3.4175833207763118,7.1702189782016,-84.8456086409185,-421.5415718226009,55.54559729701215,257.30315595147835,1,1,-25.319802618251032,-2.139155509064484,0.4303472361091273,1.0037027836459776e-165,34.02913449166975
pI,56008,1000,6.131709482560513,5.601763762664794,1.2051385495813287,1.9457412433395607,1.452358923686989,3.7859089860325796,5.851653861999511,4.897526168823242,1.2183295249938961,1.4910145759582516,1.0541377859862948,1.659495463528876,0.4927073555085859,1.7524907809573547,4.0500284194946286,4.0500284194946286,11.3716588973999,11.999967765808105,2,2,-0.5299457198957196,-0.43367528095691704,0.42812941008427363,6.0620652557523355e-164,0.9118844304975517
iupred3,56008,1000,0.21580591912225125,0.3321016773359945,0.06780871083954301,0.1763913657144042,0.004598021265720758,0.03111391389859269,0.2135603902376788,0.3089130724378587,0.09702863759786332,0.24341803284427982,0.2755263014466546,0.665494001323743,0.17656557377441162,0.1684892934094182,0.005443971654625,0.0262698342399638,0.5462681896976518,0.9934020967988808,2,1,0.11629575821374324,1.6344545653146065,0.4232775317811741,4.367723898872235e-160,0.12117474460192378
iupred3_fraction_disordered,56008,1000,0.03366271093906052,0.20121143447805423,0.04979526991191063,0.2843973279719294,0.002479568905600032,0.08088184015757317,0.0163043478260869,0.05972410442609115,0.0459518599562363,0.26377067319701014,2.995000137855585,1.568713225661544,14.257554882904572,1.2945633260896097,0.0,0.0,0.6963855421686747,1.0,1,1,0.1675487235389937,2.699056070411019,0.3575646336237681,6.869116508735817e-113,0.16754872353899367
shannon_entropy,56008,1000,4.096066028841176,3.359140040369323,0.09570190024542623,0.43157404903365215,0.009158853710585514,0.18625615979930119,4.1150310809632495,3.452130563390831,0.11298336164459855,0.41625934582681445,-1.4010305301930652,-1.523745309175034,3.108484492522268,2.8787851211582804,3.274348816422746,1.5624604201395969,4.266875063064066,4.135203908109179,2,1,-0.7369259884718531,-6.654819866663638,0.9209874303670904,0.0,0.7369259884718532
hydrophobic_patch_total_area,56008,1000,3964.174505450566,2787.2665775689848,1325.965060032156,2459.150121947168,1758183.3404260792,6047419.322272771,3677.7580459084834,2041.682837671962,1384.429925536614,1343.8749584098905,2.2355921206155283,3.0773474369951903,10.726956113174518,10.8020868042157,748.3830870916178,326.4706386852193,19022.608562687063,18361.695148784605,1,1,-1176.9079278815811,-0.8692001746381574,0.5990541351235538,0.0,1632.269244922355
