property,ref_n,gen_n,ref_mean,gen_mean,ref_sd,gen_sd,ref_var,gen_var,ref_median,gen_median,ref_iqr,gen_iqr,ref_skew,gen_skew,ref_kurt,gen_kurt,ref_min,gen_min,ref_max,gen_max,ref_modes,gen_modes,mean_diff,mean_diff_sd,ks_d,ks_p,wasserstein
sequence_length,4998,1000,550.2100840336135,549.501,144.26066326525878,143.89775037005117,20811.13896573238,20706.56256156156,551.0,550.0,249.0,249.25,-0.023739686527908425,0.00279021472010797,-1.1982075868752953,-1.1997918877815275,300.0,300.0,799.0,799.0,1,2,-0.7090840336135216,-0.004917356091345737,0.012168067226890756,0.9995409597158758,1.8861204481792706
swi,4998,1000,0.7782044126011901,0.7951199593000984,0.012908878657462873,0.019099871176651628,0.00016663914819310048,0.00036480507896468765,0.7795952138779096,0.7965396565238272,0.012907868075061502,0.020003415175551154,-0.5662852099064708,-0.011525858387487684,2.084204831177149,1.5589988030665474,0.7052484507042254,0.7151372050816698,0.8452100271002709,0.8816365280289331,1,1,0.016915546698908268,1.1971404004040065,0.5395430172068828,6.056752079703732e-225,0.01692970643186217
tango,4998,1000,1311.9897164865947,1106.290643,425.38407461945934,534.0507874277919,180951.61093985377,285210.24355224456,1281.045,1042.4,632.72875,609.8059999999998,0.397424320055102,1.354505360021259,-0.1574112694600056,4.343511975839836,123.879,35.473,3012.22,4385.13,1,1,-205.69907348659467,-0.46189856289290493,0.2160532212885154,1.3329567140075513e-34,238.2381055554222
tango_aggregation_positions,4998,1000,3653.8397358943575,1560.955,3886.7609349772324,1887.7870274042662,15106910.565665089,3563739.860835836,2303.0,1148.5,2661.5,1767.5,2.0745692996705927,4.637048434362794,4.00841293532701,48.12388060685592,0.0,0.0,24514.0,28911.0,1,1,-2092.8847358943576,-0.5764037679158348,0.32768947579031615,6.008956790291097e-80,2104.1890040016006
net_charge,4998,1000,-5.207974459811533,-32.65720019241347,16.081556785776787,59.637192426949845,258.61646865416344,3556.594720569044,-4.4675375761350296,-18.69881944590128,17.282173561816794,39.929965531218066,-0.7797117633887684,-1.6402205303888606,6.37244009263023,7.612167967484455,-127.69459799946128,-336.7355230230887,133.06860626445746,331.0918303375597,1,1,-27.44922573260194,-0.9656029306454157,0.3579295718287315,1.109473192456702e-95,31.4490616195845
pI,4998,1000,6.781026006059771,5.63626594467163,1.6760116930939148,1.8202884808526223,2.8090151953875306,3.313450153524747,6.2036293029785154,5.010721015930175,3.0516499519348192,1.3807469367980953,0.5437322563212287,1.5882227101473394,-0.9869354076837507,1.5659491117484379,4.0500284194946286,4.0500284194946286,11.999967765808105,11.999967765808105,2,2,-1.1447600613881415,-0.6730320958137639,0.4281172468987595,2.540332665414553e-138,1.20163124998443
iupred3,4998,1000,0.25753296661772124,0.32111695999246265,0.137051854766825,0.16527585144422194,0.018783210895026888,0.027316107070612515,0.24162214378075392,0.3074419436560335,0.14584583084605324,0.21956635327468005,0.9820549141859286,0.852813871045548,1.72857453602587,1.0322370293917436,0.0017031917297832,0.0029749416122961,0.9251356247680343,0.9882805865086164,1,1,0.06358399337474141,0.4473213213909845,0.22429571828731493,2.823230057950639e-37,0.06358408014902463
iupred3_fraction_disordered,4998,1000,0.12317160898547747,0.17515916574071883,0.1792729333135968,0.25691032396353314,0.03213878461886133,0.06600291455904754,0.0498211580809816,0.0570776810033152,0.14016231370959922,0.22061219832339674,2.2473260616091597,1.8287646848229198,5.119997900981861,2.449547725822023,0.0,0.0,1.0,1.0,1,1,0.05198755675524136,0.26746263676215254,0.0820952380952381,2.4471456738549766e-05,0.05449050549452634
shannon_entropy,4998,1000,4.05395846457406,3.465188419019723,0.11427034957459478,0.4088554860135018,0.013057712791900095,0.16716280844333675,4.078631525139949,3.54479348671134,0.12967015679279736,0.3893804583138043,-1.7250132728574192,-1.6225050271628498,6.0511588112183485,3.4301695960027674,3.0491533351043336,1.6899551521053904,4.256588127748143,4.148044293177055,1,1,-0.588770045554337,-2.9915984406015634,0.8311652661064426,6.7e-322,0.588770045554337
hydrophobic_patch_total_area,4998,1000,9819.585782463468,2745.7214498660283,5320.065593467124,2120.3620707083032,28303097.918792706,4495935.310898404,8595.745048622666,2211.3708511901555,6625.684140383995,1384.6688265363491,1.318400213939747,3.4051072954031585,2.0769223817556615,14.634750708066896,2137.392076362338,405.2957300897463,40837.21926450919,17491.818301569652,1,1,-7073.864332597439,-1.433927264520253,0.8077735094037615,8.05e-322,7073.864332597441
