protein_id,seed,length,pdb,pt
s2000_n323,2000,323,samples/s2000_n323.pdb,samples/s2000_n323.pt
s2001_n457,2001,457,samples/s2001_n457.pdb,samples/s2001_n457.pt
s2002_n520,2002,520,samples/s2002_n520.pdb,samples/s2002_n520.pt
s2003_n665,2003,665,samples/s2003_n665.pdb,samples/s2003_n665.pt
s2004_n717,2004,717,samples/s2004_n717.pdb,samples/s2004_n717.pt
s2005_n302,2005,302,samples/s2005_n302.pdb,samples/s2005_n302.pt
s2006_n446,2006,446,samples/s2006_n446.pdb,samples/s2006_n446.pt
s2007_n550,2007,550,samples/s2007_n550.pdb,samples/s2007_n550.pt
s2008_n645,2008,645,samples/s2008_n645.pdb,samples/s2008_n645.pt
s2009_n764,2009,764,samples/s2009_n764.pdb,samples/s2009_n764.pt
s2010_n354,2010,354,samples/s2010_n354.pdb,samples/s2010_n354.pt
s2011_n426,2011,426,samples/s2011_n426.pdb,samples/s2011_n426.pt
s2012_n546,2012,546,samples/s2012_n546.pdb,samples/s2012_n546.pt
s2013_n696,2013,696,samples/s2013_n696.pdb,samples/s2013_n696.pt
s2014_n790,2014,790,samples/s2014_n790.pdb,samples/s2014_n790.pt
s2015_n341,2015,341,samples/s2015_n341.pdb,samples/s2015_n341.pt
s2016_n417,2016,417,samples/s2016_n417.pdb,samples/s2016_n417.pt
s2017_n553,2017,553,samples/s2017_n553.pdb,samples/s2017_n553.pt
s2018_n699,2018,699,samples/s2018_n699.pdb,samples/s2018_n699.pt
s2019_n706,2019,706,samples/s2019_n706.pdb,samples/s2019_n706.pt
