cell,direction,w,n_seqs,mean_shannon,mean_max_aa_freq,top_aa,top_aa_freq,mean_longest_run,mean_low_complexity_frac,mean_unique_3mer_frac,kl_vs_natural,kl_vs_unsteered,kl_vs_w1,flags
camsol_max_w1,camsol_max,1,48,3.507770743321977,0.1942118055555556,N,0.114375,4.416666666666667,0.15774305555555557,0.6394541551363909,0.10848009612940088,0.017957660148447508,0.0,ok
camsol_max_w2,camsol_max,2,48,3.505625598942617,0.19422916666666667,N,0.11395833333333333,4.520833333333333,0.15610416666666668,0.6385068719675392,0.10831176596533604,0.018196286730771716,1.1637104063354793e-05,ok
camsol_max_w4,camsol_max,4,48,3.5035488000064414,0.19462152777777778,N,0.11385416666666667,4.520833333333333,0.1566979166666667,0.6370869905600164,0.10888411016807249,0.017931354449476668,2.951327478850691e-05,ok
camsol_max_w8,camsol_max,8,48,3.5022543372969683,0.19462152777777778,N,0.11322916666666667,4.5,0.15636458333333333,0.6381611964930535,0.10959933252030184,0.017861496577954224,0.00016656201571196022,ok
camsol_max_w16,camsol_max,16,48,3.496250408237342,0.19567013888888893,N,0.11161458333333334,4.458333333333333,0.16134375,0.6370364175666614,0.11042601276662105,0.017994774911279095,0.0007195721793471883,ok
tango_min_w1,tango_min,1,48,3.5048828886077543,0.19467361111111106,N,0.11546875,4.4375,0.15638194444444445,0.6377511058815998,0.10923686766215757,0.018303928020529152,0.0,ok
tango_min_w2,tango_min,2,48,3.5042094217432935,0.19487152777777775,N,0.11583333333333333,4.4375,0.1570798611111111,0.6373700201410455,0.10919315825911774,0.018369383119590577,1.3324114955676322e-05,ok
tango_min_w4,tango_min,4,48,3.5025651818313803,0.19513194444444446,N,0.11651041666666667,4.4375,0.15931597222222224,0.6372720331146401,0.11008016042936666,0.018335062331417497,5.812601216957571e-05,ok
tango_min_w8,tango_min,8,48,3.5024678529413897,0.19568750000000001,N,0.11697916666666666,4.375,0.15934375,0.6379253552042758,0.1100143960161021,0.01852720186006106,0.00021660710229248086,ok
tango_min_w16,tango_min,16,48,3.504204664524478,0.1961875,N,0.11854166666666667,4.416666666666667,0.16268402777777777,0.6380243242031565,0.11059539232797616,0.018259032751928084,0.0008593045074238287,ok
