cell,direction,w,n_seqs,mean_shannon,mean_max_aa_freq,top_aa,top_aa_freq,mean_longest_run,mean_low_complexity_frac,mean_unique_3mer_frac,kl_vs_natural,kl_vs_unsteered,kl_vs_w1,flags
camsol_max_w1,camsol_max,1,48,3.5047682916082104,0.1946041666666667,N,0.11510416666666666,4.4375,0.1583298611111111,0.6384551575722697,0.10955701068258313,0.01822244073913286,0.0,ok
camsol_max_w2,camsol_max,2,48,3.5037167667307227,0.19483333333333333,N,0.11463541666666667,4.395833333333333,0.15905902777777778,0.6376591193278053,0.10948350007252161,0.018244717244977633,6.9206839865400765e-06,ok
camsol_max_w4,camsol_max,4,48,3.5057973401195306,0.19447916666666668,N,0.11416666666666667,4.395833333333333,0.15888194444444445,0.6383882832714737,0.10895805548898624,0.018126823701156078,4.6876601360190705e-05,ok
camsol_max_w8,camsol_max,8,48,3.4997438608461677,0.19491319444444444,N,0.11302083333333333,4.375,0.1568263888888889,0.6379932298189871,0.1099468698655379,0.01814202243534082,0.00024542677217628773,ok
camsol_max_w16,camsol_max,16,48,3.492897222453738,0.19637847222222224,E,0.11098958333333334,4.458333333333333,0.16168055555555558,0.6363260296139421,0.1130517973583696,0.01966178273678895,0.001371577346501581,ok
tango_min_w1,tango_min,1,48,3.505907442919579,0.19415972222222222,N,0.11484375,4.395833333333333,0.15703124999999998,0.6392274196670892,0.10842444302122364,0.01801253873474511,0.0,ok
tango_min_w2,tango_min,2,48,3.5037411156880958,0.19444444444444442,N,0.11510416666666666,4.4375,0.15746180555555556,0.6377295222394643,0.10914862061664753,0.017789390935322044,9.338878019081497e-06,ok
tango_min_w4,tango_min,4,48,3.501404640795066,0.19461805555555556,N,0.11552083333333334,4.416666666666667,0.16036111111111112,0.6378963658530562,0.10945510134919913,0.01743527356008202,4.30310132403156e-05,ok
tango_min_w8,tango_min,8,48,3.501056431572856,0.19491319444444444,N,0.11578125,4.395833333333333,0.16228819444444445,0.6372059305652004,0.10848312410601144,0.01664659588041381,0.0001873170515532392,ok
tango_min_w16,tango_min,16,48,3.4946384375738155,0.19637499999999997,N,0.11703125,4.583333333333333,0.16859375,0.6363212749483652,0.1095780585814245,0.014900852172207619,0.001166188157940934,ok
