protein_id,coScRMSD_ca
s42_n300,5.2700
s42_n400,2.1056
s42_n500,2.8683
s43_n300,0.7357
s43_n400,2.1780
s43_n500,2.3641
s44_n300,0.7560
s44_n400,3.0629
s44_n500,1.8112
s45_n300,1.8799
s45_n400,3.2297
s45_n500,20.2312
s46_n300,0.8689
s46_n400,4.1227
s46_n500,15.6707
s47_n300,4.0453
s47_n400,2.6282
s47_n500,4.2163
s48_n300,1.5208
s48_n400,0.8032
s48_n500,8.4382
s49_n300,1.5097
s49_n400,2.7494
s49_n500,0.8415
s50_n300,1.7421
s50_n400,11.1850
s50_n500,52.4749
s51_n300,1.1713
s51_n400,2.1176
s51_n500,9.1700
s52_n300,1.3909
s52_n400,1.1620
s52_n500,8.9347
s53_n300,1.4826
s53_n400,0.7902
s53_n500,3.7385
s54_n300,0.5792
s54_n400,2.4864
s54_n500,24.6568
s55_n300,1.1050
s55_n400,1.3728
s55_n500,7.4898
s56_n300,2.1854
s56_n400,6.0865
s56_n500,15.4354
s57_n300,1.0616
s57_n400,3.5029
s57_n500,15.9594
