set,family,w,n,codes_frac,burden_des,burden_non,corr,auc
net_charge_max,charge+,24,48,0.4583333333333333,0.29617132445790034,0.3019671368785545,0.018060936995727316,0.46153846153846156
net_charge_max,charge+,32,48,0.3541666666666667,0.3145772340977411,0.30787293615244066,-0.02060272346274239,0.44212523719165087
net_charge_max,charge+,48,48,0.2708333333333333,0.3229526169613442,0.315522406449026,-0.02199766259160135,0.46593406593406594
net_charge_max,charge+,64,48,0.20833333333333334,0.3489836078258133,0.33008320462778995,-0.06652452419753899,0.4236842105263158
net_charge_max,charge+,128,48,0.0625,0.4314162028447743,0.3597398014603923,-0.16517363599876725,0.4148148148148148
net_charge_min,charge-,16,48,0.5,0.22753565497683328,0.2655165461448472,0.13069042375651296,0.6076388888888888
net_charge_min,charge-,32,48,0.3541666666666667,0.24469929722287745,0.26478244138345286,0.08724537022170348,0.6148007590132827
net_charge_min,charge-,64,48,0.0625,0.38876127973748975,0.3049759649834931,-0.20374918121041724,0.45925925925925926
net_charge_min,charge-,128,48,0.0,nan,0.3754955389370549,nan,nan
camsol_max,polarize,32,48,0.4166666666666667,0.3911380801455372,0.431555598524377,0.3651689962070563,0.7267857142857143
camsol_max,polarize,48,48,0.2708333333333333,0.4174063188230557,0.4312572983061945,0.12203735699779597,0.5736263736263736
camsol_max,polarize,64,48,0.1875,0.42134417294606746,0.4461249807427396,0.21264655724167666,0.6353276353276354
camsol_max,polarize,128,48,0.020833333333333332,0.3681592039800995,0.47014232410756496,0.35746085211530587,1.0
hydpatch_min,polarize,32,48,0.5,0.37875051075576494,0.43754902447264293,0.5239214333148289,0.8263888888888888
hydpatch_min,polarize,48,48,0.3958333333333333,0.39957542414656216,0.42635107379659104,0.251150649377193,0.6333938294010889
hydpatch_min,polarize,64,48,0.3541666666666667,0.4027023834777303,0.4418654889740701,0.3436515025731963,0.6925996204933587
hydpatch_min,polarize,128,48,0.0625,0.4733504700769733,0.46662658004427665,-0.03936456552573914,0.4740740740740741
iupred_max,polarize,16,48,0.4166666666666667,0.38899288970580786,0.4238256619408368,0.31077338736095,0.6910714285714286
iupred_max,polarize,32,48,0.375,0.3929291290939235,0.431987137367106,0.33998968479116326,0.7129629629629629
iupred_max,polarize,64,48,0.10416666666666667,0.47173834135363873,0.4715511351988507,-0.0015583735201262587,0.46511627906976744
iupred_max,polarize,128,48,0.0,nan,0.5170292933415849,nan,nan
tango_min,aggregation,32,48,0.4583333333333333,0.7220325086878548,0.6985894505947108,-0.1166622789839398,0.45454545454545453
tango_min,aggregation,48,48,0.375,0.7284487805747063,0.6968917340897289,-0.15430023920110914,0.43703703703703706
tango_min,aggregation,64,48,0.22916666666666666,0.667859672522072,0.6986162324398782,0.11060842618994497,0.6511056511056511
tango_min,aggregation,128,48,0.0625,0.6623724602262782,0.6498859004313718,-0.023158365975816185,0.4962962962962963
sap_min,coord,32,48,0.4166666666666667,0.7374321000382905,0.7040703531498625,-0.19755713854021395,0.38035714285714284
sap_min,coord,48,48,0.08333333333333333,0.6766574514873827,0.7045549170257703,0.10271856941906433,0.6306818181818182
sap_min,coord,64,48,0.041666666666666664,0.6675018269130389,0.6921439886486301,0.060113659572218085,0.6413043478260869
rg_min,structural,4,48,0.5,0.5299166666666667,0.5378194444444445,0.1359732665831751,0.5486111111111112
rg_min,structural,8,48,0.4583333333333333,0.5232727272727274,0.5251474358974358,0.04691190500134905,0.479020979020979
rg_min,structural,16,48,0.4166666666666667,0.5273,0.5322559523809524,0.13904626662630057,0.5803571428571429
rg_min,structural,32,48,0.08333333333333333,0.5233333333333334,0.5285492424242424,0.0743301267432802,0.5284090909090909
rg_min,structural,48,48,0.0,nan,0.5200381944444444,nan,nan
rg_min,structural,64,48,0.0,nan,0.5167638888888889,nan,nan
