id,length,aliphatic_index,ivywrel_fraction,gravy,charged_fraction,log_acidic_basic_ratio,aromatic_fraction,t40_binary,t40_raw,t45_binary,t45_raw,t50_binary,t50_raw,t55_binary,t55_raw,t60_binary,t60_raw,t65_binary,t65_raw,t70_binary,t70_raw,t75_binary,t75_raw,t80_binary,t80_raw
s1000_n310,310,105.74193548387096,0.5967741935483871,-0.23741935483870946,0.3322580645161291,0.14187715852457963,0.06774193548387096,1,0.9996,1,0.9997,1,0.9998,1,0.9995,1,0.9994,1,0.9992,1,0.9981,1,0.9977,1,0.998
s1001_n376,376,98.5372340425532,0.46276595744680843,-0.5087765957446809,0.3351063829787234,0.0,0.09308510638297872,1,0.9973,1,0.9969,1,0.9977,1,0.9971,1,0.9959,1,0.9974,1,0.9932,1,0.9844,1,0.9826
s1002_n442,442,108.80090497737555,0.3891402714932127,-0.6565610859728507,0.09728506787330317,-0.0579919469776867,0.058823529411764705,1,0.9948,1,0.9942,1,0.9921,1,0.9477,1,0.7277,1,0.7436,1,0.6631,0,0.002637,0,0.0001046
s1003_n480,480,51.625,0.41875,-1.0745833333333332,0.28750000000000003,1.6595993124367443,0.035416666666666666,1,0.8454,1,0.5338,1,0.5561,0,0.4777,0,0.3554,0,0.4033,0,0.1593,0,0.1315,0,0.00372
s1004_n540,540,99.25925925925925,0.6185185185185185,-0.7312962962962964,0.44074074074074077,0.09446786328187616,0.0,1,0.9999,1,0.9999,1,1.0,1,0.9994,1,0.9998,1,0.9997,1,0.9876,0,0.001423,0,4.327e-05
s1005_n573,573,97.69633507853402,0.23036649214659685,0.3626527050610819,0.0,0.0,0.029668411867364748,0,0.01828,0,0.01362,0,0.007953,0,0.007121,0,0.003573,0,0.002142,0,0.0003479,0,0.003464,0,0.0004231
s1006_n610,610,59.983606557377044,0.3114754098360656,-0.6162295081967213,0.17049180327868851,1.5357159699855099,0.03934426229508197,1,0.9357,1,0.7517,1,0.6438,1,0.6954,1,0.7715,1,0.76,0,0.3523,0,0.1434,0,0.002422
s1007_n660,660,116.87878787878788,0.5696969696969697,-0.6022727272727271,0.39242424242424245,0.1239682457420924,0.08939393939393939,1,0.9998,1,0.9998,1,0.9994,1,0.9992,1,0.9995,1,0.9997,1,0.9968,1,0.9956,1,0.9952
s1008_n725,725,97.91724137931035,0.3117241379310345,-0.3467586206896554,0.06068965517241379,-0.0377885608893998,0.06482758620689655,0,0.2132,0,0.07781,0,0.1203,0,0.2636,0,0.006718,0,0.1155,0,0.002333,0,0.004216,0,8.372e-05
s1009_n776,776,88.55670103092783,0.5141752577319587,-0.5087628865979382,0.3324742268041237,0.8846065812979305,0.04639175257731959,1,0.9972,1,0.9552,1,0.9863,1,0.9733,1,0.9874,1,0.993,1,0.9736,1,0.9577,1,0.8967
s1010_n314,314,115.50955414012738,0.6210191082802548,-0.46592356687898095,0.40445859872611467,0.3473300153169504,0.1305732484076433,1,0.9999,1,0.9999,1,0.9997,1,0.9996,1,0.9996,1,0.9997,1,0.9975,1,0.9961,1,0.9944
s1011_n359,359,66.54596100278552,0.37325905292479106,-0.8245125348189418,0.42618384401114207,0.19957235490520403,0.08635097493036212,0,0.4782,0,0.2232,0,0.2025,0,0.3448,1,0.5612,1,0.5706,0,0.4299,0,0.0412,0,0.001172
s1012_n424,424,51.53301886792452,0.375,-0.9945754716981131,0.3938679245283019,0.8973376581028523,0.11320754716981132,1,0.9737,0,0.4074,0,0.03719,0,0.004405,0,0.185,0,0.3973,0,0.1203,0,0.0971,0,0.005768
s1013_n464,464,107.60775862068964,0.42241379310344823,-0.6995689655172415,0.21120689655172412,-0.10473535052001294,0.1206896551724138,0,0.03552,0,0.009678,0,0.02524,0,0.04477,0,0.004558,0,0.158,0,0.0007144,0,0.002581,0,0.01389
s1014_n513,513,97.38791423001949,0.6081871345029238,-0.527485380116959,0.4249512670565302,0.6145048107822201,0.01364522417153996,1,1.0,1,0.9998,1,0.9999,1,0.9996,1,0.9999,1,0.9999,1,0.9982,1,0.9956,1,0.9656
s1015_n587,587,105.33219761499146,0.6609880749574105,-0.5972742759795571,0.4582623509369676,0.7744233778644005,0.018739352640545145,1,0.9997,1,0.9946,1,0.9965,1,0.9909,1,0.9984,1,0.999,1,0.993,1,0.9846,1,0.8242
s1016_n609,609,124.53201970443351,0.4827586206896552,-0.379967159277504,0.2627257799671593,0.032184683371401235,0.09523809523809523,1,0.9993,1,0.9988,1,0.9953,1,0.9939,1,0.9809,1,0.9969,1,0.946,1,0.8871,1,0.9732
s1017_n677,677,105.56868537666173,0.42688330871491875,-0.6078286558345641,0.24224519940915806,0.06289928147243093,0.08419497784342689,1,0.869,1,0.8651,1,0.7931,1,0.9247,1,0.6337,1,0.9521,0,0.2233,0,0.4722,1,0.5184
s1018_n700,700,102.97142857142858,0.3085714285714286,-0.48085714285714276,0.08714285714285713,0.12493873660829992,0.02,0,0.4545,1,0.6056,0,0.3251,0,0.2518,0,0.02985,0,0.001749,0,0.005248,0,0.002181,0,1.14e-05
s1019_n793,793,104.59016393442622,0.4918032786885246,-0.40970996216897854,0.3165195460277428,0.5664593165867381,0.055485498108448925,1,0.875,1,0.7971,1,0.6697,1,0.5409,1,0.5221,0,0.4979,0,0.2949,0,0.06677,0,0.001271
s1020_n344,344,100.37790697674419,0.47965116279069764,-0.5302325581395347,0.311046511627907,0.202825512302926,0.06686046511627908,1,0.9995,1,0.9996,1,0.999,1,0.9979,1,0.9975,1,0.9983,1,0.9924,1,0.9879,1,0.9883
s1021_n390,390,70.15384615384616,0.2948717948717948,-0.3812820512820513,0.14615384615384616,0.42934847292366185,0.038461538461538464,0,0.4004,0,0.394,1,0.5364,1,0.5693,0,0.07513,0,0.1014,0,0.05039,0,0.04166,0,6.683e-05
s1022_n434,434,99.83870967741935,0.3156682027649769,-1.079493087557604,0.020737327188940093,0.24303804868629444,0.062211981566820285,1,0.9809,1,0.9575,1,0.9812,1,0.761,1,0.533,1,0.6176,1,0.8047,0,0.1773,0,0.0004902
s1023_n462,462,119.65367965367963,0.5303030303030303,-0.36233766233766207,0.34632034632034636,0.053684858962776354,0.11255411255411256,1,0.9998,1,0.9996,1,0.9992,1,0.999,1,0.9985,1,0.999,1,0.9921,1,0.9673,1,0.9856
s1024_n539,539,64.54545454545455,0.26716141001855287,-1.0098330241187383,0.10204081632653061,-0.045757490560675115,0.059369202226345084,1,0.8484,0,0.4534,0,0.2173,0,0.1233,0,0.03624,0,0.001546,0,0.0004675,0,2.67e-05,0,1.912e-07
s1025_n559,559,106.88729874776384,0.45438282647584977,-0.5355992844364937,0.20572450805008946,0.4057653461839943,0.06797853309481217,1,0.9457,1,0.8984,1,0.8816,1,0.8882,1,0.6596,1,0.9429,1,0.699,1,0.5338,1,0.7433
s1026_n631,631,76.71949286846275,0.4405705229793978,-0.5616481774960378,0.35974643423137875,0.07987667370927597,0.1045958795562599,1,0.9975,1,0.9974,1,0.9961,1,0.9949,1,0.9919,1,0.9969,1,0.9929,1,0.9899,1,0.9432
s1027_n699,699,77.15307582260372,0.5579399141630901,-0.9646638054363379,0.40343347639484983,1.0153597554092142,0.034334763948497854,1,0.9969,1,0.5072,1,0.5079,1,0.5164,1,0.8904,1,0.9919,1,0.9701,1,0.8558,0,0.4486
s1028_n707,707,110.65063649222064,0.6294200848656295,-0.4736916548797737,0.3932107496463932,0.39036805753105697,0.0297029702970297,1,0.9998,1,0.9993,1,0.9993,1,0.9976,1,0.9989,1,0.999,1,0.9959,1,0.9618,1,0.6723
