protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7884180000000001,594.395,661,-7.763166568622957,5.558819389343261,0.332710159414358,0.19,3.877535133079308,2637.9198555080447,6,9.092374428431663,33.221301338381046,-36.8417100855875,18.077526092529297
s42_n400,400,0.8160034999999999,1070.28,988,-31.211047380614673,4.643143272399903,0.3244526854976169,0.035,3.569127156635226,2271.6758965945232,7,5.596875267001183,40.7813912948839,-80.21998316933,20.917497634887695
s42_n500,500,0.809642,1028.24,394,-10.016403956745933,5.437752342224121,0.353167296354721,0.078,3.651855653774225,2175.92902802158,5,6.335872956916025,61.343512899098684,-69.94213105468353,22.07273292541504
s43_n300,300,0.7853863333333334,609.392,1041,-7.9331565418663885,5.397339820861816,0.3094407892618097,0.013333333333333334,3.883207629690907,2288.408401025597,6,10.477726416296317,29.472718543639388,-31.70724424837297,17.69325828552246
s43_n400,400,0.81842325,1083.35,2897,-2.378790211289413,5.983975028991699,0.18964968594758014,0.0,3.441902754679102,2089.2060622836216,6,4.814543246372633,69.1994025669934,-60.98829021445084,23.213998794555664
s43_n500,500,0.7921832,564.971,685,-7.116582669915331,6.03302707672119,0.41035106781169745,0.184,3.665164814550932,1592.8921948043608,1,8.817973683359966,58.49229403931729,-59.847978885387676,21.855228424072266
s44_n300,300,0.8059336666666667,726.606,689,-6.417528571140068,5.319129371643067,0.1343198680382803,0.0,3.2391561958000508,1403.6711412925144,2,1.9638136205416188,42.686308100949354,-50.771108882514135,18.395124435424805
s44_n400,400,0.7725839999999999,1429.3,2204,-12.214689831801923,4.103229713439941,0.4383500378700381,0.2325,3.4186687135187643,2111.0795714237415,4,8.944549472854142,4.150740946483475,-7.37602104630487,19.45501136779785
s44_n500,500,0.8108036,1553.07,60,4.900335818462366,8.517514610290526,0.336137283088338,0.054,3.685925677845893,1629.353398164044,3,4.069351768704318,80.3108515366331,-47.9749923862785,23.689889907836914
s45_n300,300,0.7942766666666667,568.813,501,-19.754915857181935,4.9061372756958,0.2557582497477606,0.0,3.7206122576111365,1037.196065688503,2,3.8365420637681256,32.2245387244022,-59.31802396097108,17.295068740844727
s45_n400,400,0.8049350000000001,842.798,201,-29.429568378458427,5.078416252136229,0.6559281028003161,0.8275,3.7247313468075025,1106.9985187433842,1,3.1726468451406826,40.29480752875865,-72.0967993800577,19.22469711303711
s45_n500,500,0.811345,749.195,1040,-24.397884294822305,5.353460121154785,0.39406634843897714,0.178,3.752236641610291,2885.915112348268,4,8.364791374217074,75.89421294946214,-87.0861661091702,24.035533905029297
s46_n300,300,0.8065249999999999,515.219,1204,-41.86287936443303,4.195024681091309,0.43367266739655785,0.33666666666666667,3.6074232694561976,1468.1336668915237,4,5.38264498632429,15.706255675730269,-75.81143013496921,17.88451385498047
s46_n400,400,0.76995425,1840.27,1375,-10.396164436588329,4.589828300476075,0.2653602644715851,0.0,3.5730588639325673,5220.284958892753,24,15.283795031372012,15.414517840083992,-13.089800344525315,19.846269607543945
s46_n500,500,0.8067624,560.169,42,-3.9544410512229007,6.385542488098144,0.5787630358156848,0.758,3.543146006860238,678.9508428337493,1,0.16990810106634305,43.878448433761406,-56.10692952546475,23.824359893798828
s47_n300,300,0.7990386666666668,579.418,2775,-15.776857049143445,4.969512748718262,0.37178160083759393,0.16666666666666666,3.434359308209314,1789.6943543452408,6,5.009669643815963,32.0159087402624,-47.746025922074864,17.291688919067383
s47_n400,400,0.79727975,482.278,42,8.594970959720698,9.432772254943849,0.47394627179384174,0.4225,3.482135689122851,612.2222648599917,1,1.862380666247742,127.29301981330258,-88.47044345848632,20.729211807250977
s47_n500,500,0.7857428,1153.99,634,1.4535306368536078,8.328622245788573,0.28400796044492677,0.038,2.1353243038612737,980.0324840452232,3,0.928456516608506,12.014287255065295,-4.036433922037737,23.336151123046875
s48_n300,300,0.7998636666666668,529.342,844,-12.811860937748442,5.24910373687744,0.193308637118442,0.0,3.85918511773319,2075.275484730399,7,3.9719428899572438,45.81600591558241,-59.99671582346081,18.068912506103516
s48_n400,400,0.8221712500000001,1054.58,1244,-60.04045686326627,4.26175365447998,0.4024838870852891,0.185,3.659071093860429,1899.8087193497986,5,4.486496274058716,23.754115204906515,-117.99356805070767,20.530929565429688
s48_n500,500,0.7954372,1470.58,4742,62.71556452151863,10.023624992370607,0.20578025851683127,0.004,3.623686590345332,2842.890295230938,7,11.19221054565779,152.61146272940988,-11.585017966688548,21.496931076049805
s49_n300,300,0.7707376666666668,894.748,2226,6.193535508868935,9.846981620788572,0.38465918047729536,0.08666666666666667,3.5088228021947443,2042.4861253379595,6,6.782351213669818,14.011478898245542,-7.077111416525117,17.386974334716797
s49_n400,400,0.7849842499999999,643.448,575,-6.197280970093928,5.391655921936036,0.32281041326850984,0.1225,3.9765143863370214,4228.57399438258,11,12.517381018910406,46.66282211200285,-37.502904052091196,20.294208526611328
s49_n500,500,0.8066603999999999,1027.47,3485,-0.26856652113897894,6.849121284484863,0.06260922285689405,0.0,3.0644507432201196,1371.0461071718826,1,2.2324491738969803,89.5627127527201,-79.70175585061499,23.246370315551758
s50_n300,300,0.7787946666666666,590.393,1041,-5.89973310102523,5.671872138977051,0.22962597487586747,0.03,4.031127533112768,2699.251973681998,10,9.899970751215541,34.251105745826536,-29.214333641289475,17.91101837158203
s50_n400,400,0.80855125,910.755,537,-49.00842479243473,4.61227970123291,0.5847920886766328,0.7475,3.873838502654568,1616.4833447955539,2,4.9686278304029585,18.18221075700628,-92.66674702472415,20.808937072753906
s50_n500,500,0.7830423999999999,951.369,6131,-0.20412541214591307,5.57001667022705,0.16880073069802418,0.0,2.2146230757247474,9877.650973186192,25,65.37390277854169,0.0,0.0,20.621458053588867
s51_n300,300,0.7969036666666667,518.485,1359,-5.215787873366196,5.474584007263183,0.3824952704077463,0.14333333333333334,3.492611184129042,1534.865757107162,4,5.3802501514437715,41.97789512407452,-39.44758005640159,17.41960334777832
s51_n400,400,0.7968747500000001,905.108,4457,-1.4266980367722937,6.2206525802612305,0.07822981592910475,0.0,3.456085097756871,2288.3977825079446,5,4.547788441501772,72.14200321959373,-59.16715424299086,21.160663604736328
s51_n500,500,0.7820826,1603.23,54,-11.393935105291984,4.571014595031738,0.4727778754331606,0.33,3.6567125574738877,1931.9601743682247,5,8.38809735427656,9.012409907822127,-38.72975245292934,22.852798461914062
s52_n300,300,0.7932183333333334,542.144,1359,-18.14373086240939,4.732209968566894,0.31990885931609764,0.05333333333333334,3.6590097803230064,2243.1847812855235,6,6.406115186415751,31.137534298555664,-50.32798153832655,17.589439392089844
s52_n400,400,0.80850875,960.531,1607,-33.00612689130652,4.6418359756469725,0.2953503116983229,0.09,3.896921993738713,2249.157300543877,4,5.381889496411858,44.56426021896578,-89.93450176797316,20.678558349609375
s52_n500,500,0.789592,877.554,0,-13.751974528774298,5.104277992248535,0.16028731269075933,0.094,3.4389727570941373,1362.8658484148132,1,1.8185232094662995,72.19048480855804,-69.72770464316298,23.258054733276367
