protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.814235,150.207,0,2.6215968765752393,9.552103233337402,0.698207350274396,1.0,3.3339153617546384,1423.3516382762455,2,2.8855275588181932,44.330714776444964,-37.190357494437045,18.035564422607422,5.202004
s42_n400,400,0.8606190000000001,235.962,0,-18.237467863286184,5.194651985168456,0.7386003109319387,1.0,3.029779328559081,769.1589449397416,2,1.0639586652529467,61.64301065749433,-82.11111699618294,20.93358039855957,8.539174
s42_n500,500,0.8301756,471.714,3,3.792051010706942,8.736126899719238,0.6952819663120808,1.0,3.3943827174255445,1365.0863135277532,3,1.1985741523448452,88.88927671970679,-73.48484725051425,22.060270309448242,6.617348
s43_n300,300,0.825448,152.464,1,-10.087768234218686,5.126331520080566,0.7390739539599416,1.0,3.3153224931957954,908.3404094755526,1,2.3892296031573035,46.53633559985576,-35.51224719673153,17.677289962768555,5.924062
s43_n400,400,0.8510665000000001,202.914,0,-8.257958775290916,5.546826362609862,0.6943811692288274,0.985,3.140676554602774,1052.6112118175733,4,1.2749573851994545,68.17890524159674,-76.83637783192358,23.1981143951416,8.116237
s43_n500,500,0.8245542,151.609,90,-12.042375502427404,5.4197912216186515,0.7269236864757536,0.974,3.152283857091132,950.3393843647747,1,5.008048400279919,65.19701505077865,-71.72901185386353,21.887666702270508,9.252115
s44_n300,300,0.8663730000000001,167.197,0,-12.25328497105616,5.340671348571777,0.5838517604220466,0.7733333333333333,2.8255090921066652,422.8251707708771,1,1.2071970720040301,57.65873959816048,-49.454163163490676,18.367189407348633,9.494104
s44_n400,400,0.8030219999999999,373.914,0,0.9894036499765306,8.03451747894287,0.8096149202958958,1.0,3.201392450615043,1205.911677217997,4,1.9918518048287346,26.909517287656527,-41.90564824947892,19.475099563598633,4.283895
s44_n500,500,0.846245,282.255,0,11.855205513114555,9.17012805938721,0.7802482730795881,1.0,3.203835867809712,483.50097870172345,0,1.025293559515408,105.6858219681563,-43.66362078093887,23.692487716674805,7.295562
s45_n300,300,0.8329113333333333,111.805,0,-12.101569629298979,5.2850259780883775,0.6995328103672698,0.9633333333333334,3.0104517048356434,447.22414211457277,1,1.1995948037048298,48.364393803332916,-51.76749010570106,17.305152893066406,8.387193
