protein_id,coScRMSD_ca
s42_n300,5.2913
s42_n400,2.0771
s42_n500,7.7861
s43_n300,2.5121
s43_n400,2.3877
s43_n500,2.0761
s44_n300,0.7980
s44_n400,3.0171
s44_n500,1.5802
s45_n300,1.1086
s45_n400,0.7290
s45_n500,20.0218
s46_n300,0.7094
s46_n400,3.8191
s46_n500,15.4671
s47_n300,0.8288
s47_n400,1.3038
s47_n500,4.8281
s48_n300,2.7082
s48_n400,3.3445
s48_n500,8.4597
s49_n300,1.5347
s49_n400,2.8171
s49_n500,0.8668
s50_n300,1.7801
s50_n400,11.2078
s50_n500,26.0855
s51_n300,0.5495
s51_n400,2.1870
s51_n500,7.2935
s52_n300,0.8844
s52_n400,1.0418
s52_n500,11.5110
s53_n300,0.8136
s53_n400,0.7547
s53_n500,6.9779
s54_n300,0.4910
s54_n400,1.5599
s54_n500,25.0206
s55_n300,1.8419
s55_n400,1.1589
s55_n500,7.3919
s56_n300,0.9776
s56_n400,6.1444
s56_n500,15.5161
s57_n300,1.2281
s57_n400,11.8801
s57_n500,14.9300
