protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.7956030000000001,128.089,388,6.051018631856071,9.418589210510255,0.3425516850248011,0.12333333333333334,3.2883862074237538,3639.0987668956313,14,15.86126108298376,38.48306271435844,-24.40321543059122,18.056751251220703,2.509224
s42_n400,400,0.7952525,314.439,459,21.134759608769517,9.823063850402832,0.44247813467478886,0.2875,3.0583233542162724,3692.5270353522033,12,11.473406785754177,69.60139939212647,-26.68566806400667,20.905908584594727,2.431005
s42_n500,500,0.8038132,345.895,114,11.1019094964986,9.29074840545654,0.5054609179395432,0.472,3.200237017464265,3068.333334510041,10,7.956926756659305,79.3198134685515,-49.39820058728158,22.040340423583984,3.337160
s43_n300,300,0.7936406666666668,129.775,142,0.9859405221003712,7.964311408996582,0.38808638159498465,0.28,3.2555062313628844,3694.344866796678,14,17.81491802019825,34.832395320104816,-24.954143232210978,17.691373825073242,2.746421
s43_n400,400,0.7962015000000001,257.163,591,19.147869896494463,9.674979972839356,0.4336800126516395,0.3825,3.0464112081021106,3831.8067103664825,15,10.731010069047885,59.01106230676636,-33.250659158563074,23.22835922241211,2.656579
s43_n500,500,0.7990941999999999,295.252,1374,-3.228174846156591,6.641772651672364,0.4420061087100587,0.364,3.413367164172054,2808.3192858673942,9,15.565490811032504,61.79510432424425,-64.68903071850977,21.869789123535156,4.107905
s44_n300,300,0.7783913333333333,272.429,1042,14.031561395878844,10.033359718322753,0.3036291084662789,0.18333333333333332,2.6020364379390157,3362.1173788352185,7,8.234676908320276,26.992707689462353,-11.917765414536273,18.39750862121582,1.585397
s44_n400,400,0.7860365,243.849,287,-2.0407657550926217,5.749173164367675,0.4350153497252701,0.36,3.088898130610978,5399.911333656104,20,24.994857812509625,18.82665190206083,-12.802165421887766,19.46889305114746,1.879325
s44_n500,500,0.8092628,283.415,177,22.799124420078414,9.588592338562012,0.5149413644884712,0.528,3.083416829776808,2528.718987193263,8,7.843958170528118,99.66529734418752,-32.525074486198164,23.701322555541992,3.571458
s45_n300,300,0.8082530000000001,124.173,11,-15.521399054501238,5.463557243347168,0.49788172882921694,0.41333333333333333,3.166178064013207,1045.6381573801386,1,4.481852651097813,31.45120754250058,-54.177864624648564,17.29432487487793,4.417853
