protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7886173333333333,461.579,486,-8.763156568722959,5.446732902526855,0.35458758797943435,0.25666666666666665,3.8076249495327636,2663.391163605315,6,9.469067106652837,32.06103150926281,-38.77009644014422,18.07184410095215
s43_n300,300,0.785348,452.204,956,-4.103867214844215,5.753436088562012,0.36928206490050625,0.056666666666666664,3.770247011617171,2129.054545858819,6,9.20723029269752,34.92919589574317,-31.700013993176928,17.69693374633789
s44_n300,300,0.7995956666666667,513.584,330,-2.342222149729743,5.897295570373536,0.13810993008252123,0.0033333333333333335,3.1879195220177667,1663.4904880224806,2,3.0917797039583825,41.03233828342101,-44.639320228182946,18.40631675720215
s45_n300,300,0.7933626666666667,419.203,122,-17.66846236866172,5.025953865051269,0.3052636466104905,0.02666666666666667,3.641938448012486,993.8270173296527,2,3.39625318835417,33.18481856281269,-58.86198859862016,17.305570602416992
s46_n300,300,0.805667,397.556,641,-34.61401004733084,4.399531364440918,0.48771449915272325,0.39666666666666667,3.5586035790400614,1757.3565315684878,5,6.208816226527911,21.38955785366701,-68.08977815361726,17.898099899291992
s47_n300,300,0.7995526666666668,415.213,1094,-6.785758495568558,5.646010398864747,0.44351709291591646,0.29,3.378639906401341,1481.5239651111383,4,5.0672057820444385,39.63643284645125,-35.546941925871984,17.2858943939209
s48_n300,300,0.801755,313.065,752,-4.514143435109148,6.139884376525878,0.32358293085556045,0.07,3.7374430566220003,1288.7245865531247,4,2.2602374691439033,52.729628221843384,-49.62558710463238,18.07332420349121
s49_n300,300,0.771308,850.574,1605,6.193535508868935,9.846981620788572,0.41040883027358194,0.15,3.520075824148034,2050.18623852542,6,6.727191619338687,13.724838807020088,-7.8037957796604065,17.388513565063477
s50_n300,300,0.7796679999999999,512.602,1041,-6.071281015461192,5.466853904724121,0.2647836476712083,0.08333333333333333,4.021216988692682,2523.3649946538003,9,8.938617697192768,36.2462887751303,-30.95484865695445,17.91038703918457
s51_n300,300,0.79691,430.886,1062,-1.2188518551210947,6.306934165954591,0.4227696987753926,0.25333333333333335,3.4216743216611185,1410.5275490351046,2,4.856643218162394,46.22964992729317,-33.74765234423514,17.421396255493164
s52_n300,300,0.7943026666666666,370.672,811,-12.889081742372738,5.078643608093261,0.3678605913109685,0.1,3.6269112500263603,2018.6471685119295,4,7.026491886106057,34.42326715432312,-44.25070066291394,17.56508445739746
s53_n300,300,0.8095430000000001,431.64,504,-39.76592950215047,4.1880903244018555,0.6219301356089136,0.81,3.4465642509666474,1198.396456773867,3,4.509901834348948,16.68386915324615,-77.93472189844228,17.13669204711914
s54_n300,300,0.7950713333333335,659.828,137,-12.070531519055095,5.138949775695799,0.10806704545830698,0.0,3.445972604036808,1477.6515032152176,0,2.2933703017988165,39.362686170975046,-54.65584408029858,18.209016799926758
s55_n300,300,0.7943056666666667,406.017,1530,-9.72303654807255,5.362327003479003,0.4300823965476343,0.2733333333333333,3.5964219185969153,2265.8607909340226,3,7.596331210344747,30.607853131724866,-46.12180372160483,18.147422790527344
s56_n300,300,0.8206413333333334,330.372,292,-18.273231606183074,4.9825288772583,0.22515507162868564,0.0,3.088451194133433,1595.306526976469,4,2.5619820434084897,42.04636878901493,-73.81977192937906,19.095672607421875
s57_n300,300,0.8050120000000001,327.946,72,0.09090242068826626,7.041862297058105,0.19801304095116826,0.023333333333333334,3.3689034838012017,842.5572240949712,0,1.7022778817937196,50.857100068683785,-38.37886826251787,18.082143783569336
