protein_id,coScRMSD_ca
s58_n400,5.2735
s59_n400,2.2648
s60_n400,1.2341
s61_n400,11.0521
s62_n400,0.9442
s63_n400,2.2144
s64_n400,1.7820
s65_n400,5.2885
s66_n400,0.6074
s67_n400,0.6477
s68_n400,3.7826
s69_n400,0.7870
s70_n400,1.0684
s71_n400,2.9692
s72_n400,1.0189
s73_n400,22.6815
s74_n400,1.2462
s75_n400,0.9802
s76_n400,6.8037
s77_n400,8.8964
s78_n400,6.4984
s79_n400,4.4950
s80_n400,5.6927
s81_n400,7.2482
s82_n400,1.4016
s83_n400,4.5285
s84_n400,1.7999
s85_n400,3.8301
s86_n400,1.6551
s87_n400,12.4313
s88_n400,6.4472
s89_n400,8.5987
s90_n400,0.8864
s91_n400,3.7811
s92_n400,3.9299
s93_n400,2.4393
s94_n400,1.1767
s95_n400,1.2320
s96_n400,3.8369
s97_n400,1.8589
s98_n400,0.5653
s99_n400,1.0065
s100_n400,2.3979
s101_n400,6.8869
s102_n400,0.9741
s103_n400,2.9704
s104_n400,13.4528
s105_n400,0.8686
