protein_id,coScRMSD_ca
s42_n300,5.3347
s42_n400,1.8650
s42_n500,7.7059
s43_n300,1.1273
s43_n400,1.4951
s43_n500,2.5508
s44_n300,5.0408
s44_n400,3.0867
s44_n500,2.2192
s45_n300,2.7337
s45_n400,1.2138
s45_n500,19.8056
s46_n300,0.8587
s46_n400,4.0122
s46_n500,10.4110
s47_n300,0.6935
s47_n400,1.2408
s47_n500,4.7545
s48_n300,5.3472
s48_n400,3.2033
s48_n500,9.1387
s49_n300,1.1181
s49_n400,2.7808
s49_n500,15.0087
s50_n300,1.4459
s50_n400,8.6407
s50_n500,25.4822
s51_n300,1.0220
s51_n400,12.7684
s51_n500,7.2704
s52_n300,0.8797
s52_n400,0.9686
s52_n500,12.8881
s53_n300,1.2125
s53_n400,11.1539
s53_n500,3.6531
s54_n300,0.7966
s54_n400,3.4121
s54_n500,24.8344
s55_n300,1.7608
s55_n400,1.4180
s55_n500,0.6276
s56_n300,14.1524
s56_n400,5.2645
s56_n500,12.3795
s57_n300,3.7166
s57_n400,13.1281
s57_n500,16.9515
