protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration,camsol_ph7
s42_n300,300,0.7952640000000001,700.024,3824,-7.133030785689115,5.4670812606811525,0.15815688053255555,0.05,3.322403187772796,7022.925290732359,21,33.018821224703046,59.42450956215492,-64.76864256205873,32.44525909423828,0.887180
s42_n400,400,0.833559,583.913,2379,-43.83823588659689,4.783933448791504,0.2631464582506979,0.0375,3.1263542778700772,3856.7723746811926,9,7.45985855206634,62.62072349386866,-121.66901984301872,29.907299041748047,4.610069
s42_n500,500,0.7877652,1415.41,10623,0.7975951680522968,7.614799308776856,0.09839146949196202,0.004,3.1950852001672008,10090.982327488264,33,52.93018343547773,95.64692256915882,-65.35758975109891,32.82279968261719,-2.010998
s43_n300,300,0.763107,386.673,880,-2.2226350794443306,5.863703727722167,0.09614147702604235,0.0,2.3429947977286103,2498.639649710656,9,4.615439097796902,5.8301374330536255,-11.947966351900229,30.554542541503906,0.765846
s43_n400,400,0.8349327500000001,495.763,1976,-33.87702276570016,4.9441625595092775,0.2629960389429171,0.0025,3.0811323098037047,5491.618261764366,14,15.26690990471297,69.35002448451692,-132.10395197602878,39.10540771484375,5.608046
s43_n500,500,0.8427362,747.991,1887,-157.88509300989168,4.0500284194946286,0.46699719760626757,0.414,2.880767520743396,5206.03722922594,17,7.188990056634713,13.86596653678258,-311.3558502022906,33.83815383911133,6.780156
s44_n300,300,0.8913396666666668,185.87,0,-167.97903355292104,4.0500284194946286,0.8943794248536893,1.0,2.093673796244119,2185.518230458521,5,1.141091818679716,3.384841041866029,-342.6100426585084,39.007164001464844,10.209511
s44_n400,400,0.75854925,588.143,28,-2.40701976202355,5.004696083068848,0.055314895989012874,0.0,1.8400125875587476,4938.8808557211105,16,8.141162377653748,6.091538260416226,-8.143305443380992,48.26490783691406,0.543377
s44_n500,500,0.7568722,355.524,6824,16.08624309666564,10.367241477966306,0.09856719440056426,0.0,2.9680859570151275,10171.031755774955,29,50.561519699325316,109.36149607657374,-58.599789198604434,35.91080856323242,1.125724
s45_n300,300,0.8848593333333334,251.457,2518,-145.92509362978717,4.0500284194946286,0.6619597863882846,0.61,2.0483263503447287,4486.294271037044,10,16.55967266034934,33.30279962604482,-297.39506182722056,43.302940368652344,9.616014
