protein_id,coScRMSD_ca
s42_n300,5.3571
s42_n400,2.0791
s42_n500,4.4354
s43_n300,0.9707
s43_n400,2.6099
s43_n500,1.8874
s44_n300,0.7616
s44_n400,3.0175
s44_n500,1.6874
s45_n300,0.8564
s45_n400,0.7003
s45_n500,20.0211
s46_n300,0.7709
s46_n400,3.7853
s46_n500,16.8226
s47_n300,1.0075
s47_n400,1.4317
s47_n500,5.0349
s48_n300,1.8632
s48_n400,3.3063
s48_n500,8.5001
s49_n300,1.5331
s49_n400,2.8259
s49_n500,0.9071
s50_n300,1.5779
s50_n400,11.6033
s50_n500,26.0862
s51_n300,1.2720
s51_n400,2.2400
s51_n500,3.0848
s52_n300,0.9207
s52_n400,0.9185
s52_n500,12.0202
s53_n300,0.8567
s53_n400,0.8683
s53_n500,3.2419
s54_n300,0.4956
s54_n400,2.3462
s54_n500,25.0384
s55_n300,1.8219
s55_n400,1.1900
s55_n500,7.4371
s56_n300,0.9563
s56_n400,5.2790
s56_n500,15.2490
s57_n300,1.2172
s57_n400,12.2697
s57_n500,14.9099
