header,subrun,orig_id,length,source_path,camsol_ph7,pH
steerCT_n400__camsol_max_w1__s42_n300,camsol_max_w1,s42_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,1.736347,7.00
steerCT_n400__camsol_max_w1__s42_n400,camsol_max_w1,s42_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,2.301964,7.00
steerCT_n400__camsol_max_w1__s42_n500,camsol_max_w1,s42_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,1.957207,7.00
steerCT_n400__camsol_max_w1__s43_n300,camsol_max_w1,s43_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,1.177425,7.00
steerCT_n400__camsol_max_w1__s43_n400,camsol_max_w1,s43_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,1.890917,7.00
steerCT_n400__camsol_max_w1__s43_n500,camsol_max_w1,s43_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,3.224112,7.00
steerCT_n400__camsol_max_w1__s44_n300,camsol_max_w1,s44_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,1.672696,7.00
steerCT_n400__camsol_max_w1__s44_n400,camsol_max_w1,s44_n400,400,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,-0.826263,7.00
steerCT_n400__camsol_max_w1__s44_n500,camsol_max_w1,s44_n500,500,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,2.051437,7.00
steerCT_n400__camsol_max_w1__s45_n300,camsol_max_w1,s45_n300,300,/home/ks2218/la-proteina/results/steering_camsol_tango_L500_nsteps400/camsol_max_w1/sequences_guided.fasta,2.735540,7.00
