protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7896989999999999,365.336,275,-5.660700563076922,5.878766059875488,0.38200178449712685,0.21333333333333335,3.6980176739679083,2636.977462480763,7,8.31851557201217,33.376429011928956,-37.084066058365046,18.079261779785156
s43_n300,300,0.7850063333333333,303.193,715,0.9845800366659674,7.800884056091309,0.36496150772008845,0.09,3.6766434539549637,2446.9087546245514,6,11.474686577734067,35.558087522931785,-28.040758687198387,17.703824996948242
s44_n300,300,0.7975260000000001,384.413,354,-4.426165815005646,5.460828971862793,0.21865956677832932,0.03,3.0427154259685283,1452.2684081430136,1,2.6967349508687137,39.363326896591055,-44.46470805954983,18.40979766845703
s45_n300,300,0.7971983333333335,275.871,2,-12.571994771546414,5.357382011413574,0.4204335630083572,0.2633333333333333,3.4018548019663717,989.868739626199,2,4.508854331867886,39.35698772688302,-49.24583239309041,17.31179428100586
s46_n300,300,0.8090620000000001,274.661,519,-34.596930192092884,4.427950859069825,0.5076542584325668,0.44666666666666666,3.54154735843082,1648.8517234039743,2,5.612732084268857,22.391041624186894,-69.21395586496354,17.88725471496582
s47_n300,300,0.7990036666666668,185.61,874,6.210192620382628,10.459689140319824,0.43730829226621637,0.37,3.3476792393408275,1400.8598122777003,2,5.066040074229072,54.57690836977313,-29.063293449431566,17.336477279663086
s48_n300,300,0.7934553333333334,251.38,904,1.5155435771187413,8.249326133728026,0.3385206803489828,0.11666666666666667,3.436280957832214,1050.0171458149039,2,1.7071743861588722,58.01833459600456,-44.64180854733105,18.063859939575195
s49_n300,300,0.7733336666666667,685.684,279,6.106361320614349,9.846917152404785,0.5214686700029865,0.5433333333333333,3.4862169781077244,2034.636546903894,6,7.071955611429089,13.663890962785715,-8.100706383189236,17.384185791015625
s50_n300,300,0.783548,316.535,617,-9.960065323130891,5.113144874572753,0.3698327665104107,0.16,3.9109675211179975,2509.5531605690503,8,8.292946017267687,31.825820940930893,-32.503315712566724,17.914865493774414
s51_n300,300,0.7975806666666667,288.217,321,8.939527969864855,10.999998664855958,0.4652409111722949,0.36333333333333334,3.467959680573332,1328.1070287212428,2,3.335593976774705,51.73915925415391,-28.57525543366027,17.477617263793945
s52_n300,300,0.7978130000000001,241.435,96,-5.967001542157604,5.623900032043457,0.4129775309111715,0.25333333333333335,3.5079325098548697,2048.287375541944,5,7.9689547896921225,38.99725920124431,-45.012548231762395,17.592281341552734
s53_n300,300,0.8099176666666666,280.677,163,-33.778447433841,4.3712255477905275,0.5538128930365821,0.5766666666666667,3.4652520915022493,1360.2690223413101,3,3.568198748951307,23.90506518018829,-77.79754506026165,17.21346664428711
s54_n300,300,0.7975490000000001,413.672,11,-8.983180789676716,5.389552879333496,0.20829370602004094,0.0,3.3056959204094998,1311.0860597591254,1,1.8147191921000791,38.56766800075765,-53.79320581479624,18.195158004760742
s55_n300,300,0.797384,254.904,998,-8.060050849717683,5.249956321716308,0.48023552781158513,0.38333333333333336,3.523020917374466,2329.4975014514534,5,7.172921132109261,33.32528814856281,-44.98530682225055,18.14793586730957
s56_n300,300,0.8190073333333333,264.93,257,-13.024884110227227,5.244840812683105,0.2951125975877457,0.0,3.0120885410790272,1751.906764825733,4,3.132852299302693,44.63222261007736,-65.55248785367357,19.066072463989258
s57_n300,300,0.8051586666666668,253.178,106,2.0019715526424164,8.159650611877442,0.2924631369622685,0.08333333333333333,3.27797731931489,788.5368807022924,0,1.5853589372936734,53.30533640250398,-39.36808088174535,18.02992820739746
