protein_id,sequence_length,swi,tango_total,tango_aggregation_positions,net_charge_ph7,pI,iupred3_mean,iupred3_fraction_disordered,shannon_entropy,hydrophobic_patch_total_area,hydrophobic_patch_n_large,sap_total,scm_positive,scm_negative,radius_of_gyration
s42_n300,300,0.7668606666666666,700.399,1528,30.850576320574756,11.999967765808105,0.19718958797364908,0.02666666666666667,3.809604046275552,3601.250670736247,11,15.898841545442892,54.66886763911937,-6.230174678701659,18.067434310913086
s42_n400,400,0.78881325,1138.34,2584,64.52410970403349,10.452726554870605,0.20315464565648597,0.0,3.4703327239861856,3973.291906105252,14,13.555526913041847,110.9965059382131,-6.446247124399771,20.917448043823242
s42_n500,500,0.78947,1213.59,1434,85.61358773754594,10.508040428161618,0.25736499481699193,0.042,3.542318927497494,3139.5482802791907,10,10.130118809656492,148.80307064428638,-2.998506114065934,22.060441970825195
s43_n300,300,0.7701013333333333,628.759,949,36.67279088026311,11.999967765808105,0.2334016602781207,0.0,3.848988305430027,3276.3744592082644,13,14.281319955942964,54.98239310348909,-3.861621220021127,17.679086685180664
s43_n400,400,0.7920607500000001,1276.96,3396,91.51812322007225,11.021273231506349,0.1406570104912757,0.0,3.378125125774969,3049.9026885232947,9,8.629124303163524,147.49106139628864,-5.169799671776133,23.22686004638672
s43_n500,500,0.7744609999999998,660.863,2328,45.70355101559657,11.911065864562985,0.30789129653618785,0.124,3.680936433513523,2300.2939163243223,4,14.539943343290926,89.18739310772119,-25.87435266767132,21.871810913085938
s44_n300,300,0.7803110000000001,875.324,2231,61.43520308188249,10.924377250671387,0.10943320620358693,0.0,2.8546692010668133,1895.4254384988624,2,3.6659684437254567,84.72288730686913,-0.17850769163985494,18.395219802856445
s44_n400,400,0.76514475,1385.13,2271,1.7604431907918627,8.814262580871585,0.36231896774117445,0.1075,3.426892209074018,2333.2865232839554,4,9.965289303346655,7.137535987103255,-0.6742675641209988,19.460628509521484
s44_n500,500,0.7939092000000001,1673.51,858,66.69772970439891,10.19523983001709,0.24490307236955933,0.0,3.651999933741913,3314.7261971796006,9,10.449378064763994,134.84665383662067,-13.036516668787325,23.694377899169922
s45_n300,300,0.769607,695.041,659,49.858455605455795,11.999967765808105,0.12341548545965016,0.0,3.726357205153481,2156.1037283719193,10,9.600721143033299,87.1967724860744,-10.493440460799187,17.294755935668945
s45_n400,400,0.78015175,917.134,194,50.19800628061796,11.999967765808105,0.5208942402522351,0.5225,3.7176905354152003,2061.9549425571113,7,8.480637301648082,95.77158649217442,-21.17249775104353,19.216968536376953
s45_n500,500,0.7944625999999998,784.795,919,17.524610232423527,9.306091880798338,0.2558301239905067,0.108,3.90712825072325,3965.841975412489,9,12.807621185678283,97.53618076332054,-50.67696970542506,24.01224708557129
s46_n300,300,0.7712979999999999,631.434,3270,20.79448141758502,11.81681308746338,0.13420808338489232,0.006666666666666667,3.5638468365140015,4064.1022243401476,19,19.230513010703415,42.242693837110615,-13.3062852472003,17.88348960876465
s46_n400,400,0.7622042499999999,1847.63,1782,8.487301354091485,9.499497032165529,0.20269998347382448,0.0,3.555303952353098,5261.21731456339,21,15.132674918989634,21.725520792523366,-4.796653508058,19.85121726989746
s46_n500,500,0.79031,573.421,97,32.72330833998414,10.692162132263181,0.435768101519054,0.174,3.544037239081428,2605.646663891708,10,10.29198202940235,64.17057708610724,-21.7049550155518,23.822507858276367
s47_n300,300,0.771625,606.84,3921,43.77982783004752,11.999967765808105,0.25194647936547343,0.013333333333333334,3.434002410290172,2359.068419836234,7,8.785404047428104,76.04311039100483,-5.000468532584641,17.279356002807617
s47_n400,400,0.7675227499999999,598.397,43,115.4527320614274,11.999967765808105,0.4654563663408878,0.3575,3.288970951637101,1274.610703326286,4,3.400726971813148,193.56120202065773,-7.645973319877722,20.70201301574707
s47_n500,500,0.7834126,1268.66,640,17.44253640764754,10.579342460632322,0.2641970140497247,0.008,2.2341362503415003,1137.7385460924984,2,1.72420774507846,30.45991859844847,-1.1382123359832068,23.327247619628906
s48_n300,300,0.7752493333333333,542.339,1509,85.96195845731404,11.999967765808105,0.23474407056124658,0.02,3.690238134562875,2195.0004813384476,7,6.987696916882358,132.3073882382185,-1.8615411861822904,18.059513092041016
s48_n400,400,0.7881495,1039.69,2229,72.71915330184771,10.96183338165283,0.19266658173436188,0.005,3.652712038251026,3029.710205174745,10,11.236901185873654,130.9105381843951,-9.252869843254672,20.526742935180664
